source_row,execution_id,model,system,scenario,family,item,regime,strategy,N,seed,agent_id,execution_complete,score_complete,score_status,terminal_classification,policy_version,terminal_origin,termination_reason,raw_answer_is_null,raw_answer_perf_is_null
307,job_c9f3c3c91cda87ce49786b2ee7a054f6160b2dcc3bcb82d9ed61cd8d65fd633b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
308,job_c9f3c3c91cda87ce49786b2ee7a054f6160b2dcc3bcb82d9ed61cd8d65fd633b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
309,job_c9f3c3c91cda87ce49786b2ee7a054f6160b2dcc3bcb82d9ed61cd8d65fd633b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
310,job_c9f3c3c91cda87ce49786b2ee7a054f6160b2dcc3bcb82d9ed61cd8d65fd633b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
327,job_f5662f565926924c174ee31985e68fd105aebc1840478dc6363bbc2acca6b564,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:higgs:steps,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
332,job_05d5eff171822e0222ae316d54dcc32c9bde38060192b476f9ef22e211e07494,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar100,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
346,job_f2ceae9117c26ca93cb2f31e640548ad7df51f94663892580b79f474e26f0e14,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
347,job_f2ceae9117c26ca93cb2f31e640548ad7df51f94663892580b79f474e26f0e14,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
348,job_f2ceae9117c26ca93cb2f31e640548ad7df51f94663892580b79f474e26f0e14,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
349,job_f2ceae9117c26ca93cb2f31e640548ad7df51f94663892580b79f474e26f0e14,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
358,job_05ceb0a3f41ab3da646573a0c63fb7bcc8b4d1dac5dbb95c0a6b6a01c56e76ec,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:adult:steps,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
359,job_e1e4c36eaceaaadbdf8667e33494fb476a3c8948fb1e17fb67b84a7747485354,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar100,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,time_budget_exceeded,False,False
413,job_22e210e34272d068de704356eeb5d3432262930da43fbc4acaf38c6ce1d33472,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:higgs:steps,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
429,job_8572b34eac71706c6af8fbf3961fe3d58b36c4654d82e3c5640e526cc00afa9d,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
512,job_6255454aaca220cfd0ac849ed7ae9cdb6f34d8de64cf063fd8d5ca75e83479b1,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar10-valid,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
524,job_a1a25d286d7fc61ea3b21f023778c0d40114be504bd49e84bcd0034bc3d4bead,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:A,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
550,job_1ab023b009a7fe26ea201877c5dd594cc41b0fb95bf536389fe363c1512f6460,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:adult:steps,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,time_budget_exceeded,False,False
558,job_7b26b0ba44f650bc53559a28b366173f431e2a759185f5f236574b48e7c5a3d1,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
559,job_7b26b0ba44f650bc53559a28b366173f431e2a759185f5f236574b48e7c5a3d1,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
560,job_7b26b0ba44f650bc53559a28b366173f431e2a759185f5f236574b48e7c5a3d1,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,poolact,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
561,job_7b26b0ba44f650bc53559a28b366173f431e2a759185f5f236574b48e7c5a3d1,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,poolact,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
604,job_75f18c8ab29c705ee585f82f1841dba68acc900c8797a70f0d77ff2ce126cc41,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
605,job_75f18c8ab29c705ee585f82f1841dba68acc900c8797a70f0d77ff2ce126cc41,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
606,job_75f18c8ab29c705ee585f82f1841dba68acc900c8797a70f0d77ff2ce126cc41,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,poolact,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
607,job_75f18c8ab29c705ee585f82f1841dba68acc900c8797a70f0d77ff2ce126cc41,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,poolact,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
608,job_51ba4d21525ad86509e64958d1c4e6ee81b060662b62bb16a63fd76a18bfaf4d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
609,job_51ba4d21525ad86509e64958d1c4e6ee81b060662b62bb16a63fd76a18bfaf4d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
610,job_51ba4d21525ad86509e64958d1c4e6ee81b060662b62bb16a63fd76a18bfaf4d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
611,job_51ba4d21525ad86509e64958d1c4e6ee81b060662b62bb16a63fd76a18bfaf4d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
629,job_502d2738d501c0196755babdee446301cd84c36a34b1326bc794519a9835b1cc,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
630,job_502d2738d501c0196755babdee446301cd84c36a34b1326bc794519a9835b1cc,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
631,job_502d2738d501c0196755babdee446301cd84c36a34b1326bc794519a9835b1cc,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,poolact,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
632,job_502d2738d501c0196755babdee446301cd84c36a34b1326bc794519a9835b1cc,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,poolact,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
635,job_c8c6f60aa5c7f4c77b719c9269800d34a9d8f3d77a00d3c64e4a53d27e06ed2c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
636,job_c8c6f60aa5c7f4c77b719c9269800d34a9d8f3d77a00d3c64e4a53d27e06ed2c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
637,job_c8c6f60aa5c7f4c77b719c9269800d34a9d8f3d77a00d3c64e4a53d27e06ed2c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,poolact,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
638,job_c8c6f60aa5c7f4c77b719c9269800d34a9d8f3d77a00d3c64e4a53d27e06ed2c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,poolact,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
670,job_fcbcd870cd83a566af31b29a24da77247762274112f2db40e5d3d3297c908872,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
708,job_98811ed1739b23540577eeb2e19d2dd2a5864480a278d9e1980fc210bdc9a189,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
729,job_f7aaa4c5ba2ff2f39475c873e3a3ac430cee51c1d515aa0641454662ff4ee59f,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
730,job_f7aaa4c5ba2ff2f39475c873e3a3ac430cee51c1d515aa0641454662ff4ee59f,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
731,job_f7aaa4c5ba2ff2f39475c873e3a3ac430cee51c1d515aa0641454662ff4ee59f,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
732,job_f7aaa4c5ba2ff2f39475c873e3a3ac430cee51c1d515aa0641454662ff4ee59f,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
813,job_309c14c246cdbcbca8292b5f66b60f06501d1d458063983081585866e33933f7,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
814,job_309c14c246cdbcbca8292b5f66b60f06501d1d458063983081585866e33933f7,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
815,job_309c14c246cdbcbca8292b5f66b60f06501d1d458063983081585866e33933f7,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
816,job_309c14c246cdbcbca8292b5f66b60f06501d1d458063983081585866e33933f7,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
864,job_25d0704ff12658da5ee4a2bbcf062cd3cdf4d7f431eaba778cdf6e931ec8b951,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,time_budget_exceeded,False,False
911,job_193b06a48d459f11a7747be189170eaf365862b402a2365cc9baedfaeaf00943,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
951,job_33d4e09e151fe8b4722edfae902f927e2c3377a5734b5de007aad4e44128fdc9,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
952,job_33d4e09e151fe8b4722edfae902f927e2c3377a5734b5de007aad4e44128fdc9,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
953,job_33d4e09e151fe8b4722edfae902f927e2c3377a5734b5de007aad4e44128fdc9,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
954,job_33d4e09e151fe8b4722edfae902f927e2c3377a5734b5de007aad4e44128fdc9,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
983,job_9e5e72828a6f893893d56a368a60cf56ec0af6efd3bc582a710c91e40e587110,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:adult:steps,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,max_steps_reached,False,False
1008,job_e0dab22b39c88ac71ca60c01a011448561111028720ee99cdf330b3a4a18000c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1009,job_e0dab22b39c88ac71ca60c01a011448561111028720ee99cdf330b3a4a18000c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1010,job_e0dab22b39c88ac71ca60c01a011448561111028720ee99cdf330b3a4a18000c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1011,job_e0dab22b39c88ac71ca60c01a011448561111028720ee99cdf330b3a4a18000c,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:A,cost_tight,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1056,job_db911a13765e658df438fefb0686a3e2e750d02d4ef5f89dcf81f4d7b57d1d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1057,job_db911a13765e658df438fefb0686a3e2e750d02d4ef5f89dcf81f4d7b57d1d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1058,job_db911a13765e658df438fefb0686a3e2e750d02d4ef5f89dcf81f4d7b57d1d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,poolact,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1059,job_db911a13765e658df438fefb0686a3e2e750d02d4ef5f89dcf81f4d7b57d1d2e,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,poolact,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1060,job_a19bad419acab2aec511978639326d6534bfc4812f672913af21ce68571b7bd8,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1061,job_a19bad419acab2aec511978639326d6534bfc4812f672913af21ce68571b7bd8,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1062,job_a19bad419acab2aec511978639326d6534bfc4812f672913af21ce68571b7bd8,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1063,job_a19bad419acab2aec511978639326d6534bfc4812f672913af21ce68571b7bd8,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1106,job_951b8db1da17b9f0dbc666bc8c367e578da3c98c04b62669639dab9d2bf39fb6,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1107,job_951b8db1da17b9f0dbc666bc8c367e578da3c98c04b62669639dab9d2bf39fb6,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1108,job_951b8db1da17b9f0dbc666bc8c367e578da3c98c04b62669639dab9d2bf39fb6,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1109,job_951b8db1da17b9f0dbc666bc8c367e578da3c98c04b62669639dab9d2bf39fb6,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1132,job_428e01de1fb9b5e632e057c809a048678c086281e427c9d272a00640a4d184a5,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,naive,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1133,job_428e01de1fb9b5e632e057c809a048678c086281e427c9d272a00640a4d184a5,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,naive,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1134,job_428e01de1fb9b5e632e057c809a048678c086281e427c9d272a00640a4d184a5,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,naive,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1135,job_428e01de1fb9b5e632e057c809a048678c086281e427c9d272a00640a4d184a5,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,naive,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1148,job_60979e0a72b035f35fcabbdc830fe9928341c2ddcc207429a8e6789af0c3405e,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:B,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1265,job_b05a593b243dea88f9239243db50b99088e0dc56fb54d2349705a0c8e95c4f59,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:cifar10-valid,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1273,job_7bbecf880f1f647a6ed649c3f67141190aee7580be7ebab4ddb1cc1111804635,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:B,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1450,job_f6186d4d1990e0ce00ea272794fa401229ce82deed6af51c6bae2ef9f2308eea,gpt-5.6-sol,expgym,tuning,nasbench101,hpobench:nasbench101:C,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1475,job_ea1388ef12a62b2c7ce96da55a21b84c586196e419a1b9a946b624d4db89da5e,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:letter:steps,cost_tight,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1477,job_dc37ee135f98d99b4f9300fc8eecc04629f76fdc0ed4ac425f2028409fe6694d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,cached,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1478,job_dc37ee135f98d99b4f9300fc8eecc04629f76fdc0ed4ac425f2028409fe6694d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,cached,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1479,job_dc37ee135f98d99b4f9300fc8eecc04629f76fdc0ed4ac425f2028409fe6694d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,cached,4,2200,2,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
1480,job_dc37ee135f98d99b4f9300fc8eecc04629f76fdc0ed4ac425f2028409fe6694d,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,cached,4,2200,3,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1530,job_d7def7232b0797caef6ece63527a7e0369a4abb9844631bdae710c3f8046773d,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:letter:steps,cost_moderate,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1653,job_ef6f7fe5afe900fd5851fa679a2d7d7d847780762206fbd5697abdbef5ee9285,gpt-5.6-sol,expgym,tuning,paramnet,hpobench:paramnet:higgs:steps,cost_free,single,1,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,natural_answer,False,False
1659,job_7b1c082ecff61e2a4fb6493ba2e4b52a58c0651a68e3723de3d0fdb8845a2b0b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,poolact,4,2200,0,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Natural answer,False,False
1660,job_7b1c082ecff61e2a4fb6493ba2e4b52a58c0651a68e3723de3d0fdb8845a2b0b,gpt-5.6-sol,poolact,tuning,nasbench101,hpobench:nasbench101:C,cost_tight,poolact,4,2200,1,True,True,scored_final_answer,completed_scored,task-abstention-v1,,Time budget exceeded,False,False
