model,beta,data_source,question_index,slot_id,main_overlap_slot_id,source_sha256,old_f1,new_f1,delta_f1,answer_changed,score_changed,old_missing_final,new_missing_final,extraction_source,reason,score_version
gpt,1,phantom_seed2,10,whois:gpt:beta1:phantom_seed2:10:R1,,f33cb206e52ff63e677f48a72267839a806cfe94d0812e2a5299085a694311d3,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,11,whois:gpt:beta1:phantom_seed2:11:R1,,8c6ca092ada0aa37db0854c12410759adf4b449c0073b9d61be8adfe7d137738,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,12,whois:gpt:beta1:phantom_seed2:12:R1,,6da39c2f2c74e312d9ba8650af39812ccd2b2dea27d20e877b98ac0893e7f377,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,13,whois:gpt:beta1:phantom_seed2:13:R1,,6d2e65d7025e6f053e9d166d5fad935e5b146667fb8213a707fab9560b15639f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,14,whois:gpt:beta1:phantom_seed2:14:R1,,c61fc41cb9f7924bc9f440b7ebf8e72521f9eb9687e11ceba3d75b910771f761,0.5,0.5,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,15,whois:gpt:beta1:phantom_seed2:15:R1,,dee5003e36177fd6e8189ba96578b9ac336a1d4dbae6a0dcc21f3730734253bc,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,16,whois:gpt:beta1:phantom_seed2:16:R1,,62f04d2deeb2b8f8eb8d68947679f981bd86f9691a328102c578e1a234321d34,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,17,whois:gpt:beta1:phantom_seed2:17:R1,,84c04099a854308f1bb99b117b196a3b4560a612ed631ffa5f8d1b027c1f66a5,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,18,whois:gpt:beta1:phantom_seed2:18:R1,,4fa6079eec54c81652298e3e76b6498723cd96d0f0c824e715e2da5d378afe45,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,19,whois:gpt:beta1:phantom_seed2:19:R1,,2d9d1ba03e7b862180f0692aa63df7eaa513a388c568f76607bb02e85d9490c8,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,0,whois:gpt:beta1:phantom_seed3:0:R1,,663cd91153d05cd6687c97004b0577eb760177f6fb35274a52e161403b41e9cd,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,1,whois:gpt:beta1:phantom_seed3:1:R1,,6c2b0c7f44e41b7ff3f83b75e489ddbf2cfce6b3c918b16b5a4b1b5237b98c0b,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,2,whois:gpt:beta1:phantom_seed3:2:R1,,d37d0458e783d3ec143014bf74bf5eebed582f8cbf03203f53275613a8687f7b,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,3,whois:gpt:beta1:phantom_seed3:3:R1,,c8041d75b6f813f5589bc812b987ab1e2f1e415457a16f44f230f0a45a56c99f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,4,whois:gpt:beta1:phantom_seed3:4:R1,,fdace75a90f69564bb9f7059d149606ffe5c256e770007070ec1eae41ea0567f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,5,whois:gpt:beta1:phantom_seed3:5:R1,,3d22ce230716703a50b449e8dd8ac2d903899c3895287002016e6368315de8dd,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,6,whois:gpt:beta1:phantom_seed3:6:R1,,917fbc6ea0d95323952d4880853abaef5cf36a450754c0b9f3977f234d5a8f7c,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,7,whois:gpt:beta1:phantom_seed3:7:R1,,63a394e686944dfd0e9cb8a3f411cb27c9bb8667f2778ab14b1e6edc7b139bbe,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,8,whois:gpt:beta1:phantom_seed3:8:R1,,e87016aa6f8b9adf44dcf16eee36b0474237c80b8acebc0b3d8434b3fb15eb0b,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,9,whois:gpt:beta1:phantom_seed3:9:R1,,c8ca25231909f99d0caea46adfc649fa74581c6f7fbc4911cb1eb410c4c5373e,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,10,whois:gpt:beta1:phantom_seed3:10:R1,,e12a78c2d21ccae822eca8fff2afd4431e07a8e4d1a770ce52dec9c0ec36ef6f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,11,whois:gpt:beta1:phantom_seed3:11:R1,,749ab5e72aa46acb532672e6bee2aa494b66d1e9e25e08e8fc64bb68646fa75f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,12,whois:gpt:beta1:phantom_seed3:12:R1,,136a7a8a17065f8fd72f3e207fdb9f53de4d47f4f98f1568b6c68d8ac428be16,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,13,whois:gpt:beta1:phantom_seed3:13:R1,,b225434a4db36853e10ec3b61b36d90391888337e21d6c2b5c62970b4c5bc34d,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,14,whois:gpt:beta1:phantom_seed3:14:R1,,1ca9a233be7ae7baf17ddaaaff80d6a0c5fc8926fa6167705ba230a68f3bf6de,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,15,whois:gpt:beta1:phantom_seed3:15:R1,,98f6716f4573cc3c82a5a6c259e455a79bfecd356e0eadf5b39fc68f0d4485c7,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,16,whois:gpt:beta1:phantom_seed3:16:R1,,39ace4cfabd124952dea563c45bb59d3388203790c2761badf4d085b7d8272e9,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,17,whois:gpt:beta1:phantom_seed3:17:R1,,70e923460966276019abf3047db0674428291171b102008abb4e38a96fe61026,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed3,18,whois:gpt:beta1:phantom_seed3:18:R1,,0f933bde72bab52a8ba727691b85a33df15ca112b4743c9f4794b41a0e75ba7c,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,0,whois:gpt:beta5:phantom_seed2:0:R1,,a5ee72c3407731f2b54bef7a62ce78d37da418fa7f67136ff75d5a24a1f032b4,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,1,whois:gpt:beta5:phantom_seed2:1:R1,,9fba027d1cdd5a851abbf6b2b474a008dad463fd95660fa5c5cd4ec66c74685f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,2,whois:gpt:beta5:phantom_seed2:2:R1,,9cc0f01649d2ffb785c72db89df50667a8c69e06aa1fe997d2ac8b6d3308d90d,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,3,whois:gpt:beta5:phantom_seed2:3:R1,,907e4b614643ef2194fc0ed0c7b1d83418ecd59c7e18dff22a5f72b66f8c49f5,0.5,0.5,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,4,whois:gpt:beta5:phantom_seed2:4:R1,,66f54aa675d3285d17d7807c43e559fbf3f8f1eb895de060ff56988edb446aab,0.6666666666666666,0.6666666666666666,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,5,whois:gpt:beta5:phantom_seed2:5:R1,,b2df7af0d4b5e6e32aede7dff9fb1f2b558c426a36f612639b839757fbb40a3d,0.8,0.8,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,6,whois:gpt:beta5:phantom_seed2:6:R1,,8d8779d5fea6d0a4ea73969b37533d09e994dbb10feec515052931ab7a53052e,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,7,whois:gpt:beta5:phantom_seed2:7:R1,,e5c95124aaa8f45679c39d3a7f9b8297c0476638050f937d5c0156759f0a23ed,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,8,whois:gpt:beta5:phantom_seed2:8:R1,,bc2f4f5d5f8e2acd295d2e784c483cc6e71d5706f20c1aa386e2820a657375a3,0.6666666666666666,0.6666666666666666,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,9,whois:gpt:beta5:phantom_seed2:9:R1,,8557d1c0a0694c48e6fb64bf7d33ec7ab1aaaec3ec30242a5848b927516e543e,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,10,whois:gpt:beta5:phantom_seed2:10:R1,,563a502896347ce455612eb4f40d19532ba29610bd41b7f5609179c2ad622128,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,11,whois:gpt:beta5:phantom_seed2:11:R1,,bd0794a6f67e272c55375f309d8c2677c77f67aaffce41d786c57b0a74db484f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,12,whois:gpt:beta5:phantom_seed2:12:R1,,63f360f17fd25365500046a81abe031ab0e9c843315feee64eb3e23ec49ce7c4,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,13,whois:gpt:beta5:phantom_seed2:13:R1,,46677d2e304424278409b5d5660f17cfa5bfe918bdd1f661fbe52beeda4414df,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,14,whois:gpt:beta5:phantom_seed2:14:R1,,32d1f14aa58d76a4e97e09971cf656dc07d284a4811827afec19ffc7cdb682fd,0.8,0.8,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,15,whois:gpt:beta5:phantom_seed2:15:R1,,f28586eef2b61545199c491af1e791430522d1ca6dc02e260664062359432d24,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,16,whois:gpt:beta5:phantom_seed2:16:R1,,2b3b713bcc41716bff35a6228fa11c8367c110384eea33eda7a49206b9f4389f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,17,whois:gpt:beta5:phantom_seed2:17:R1,,ec5017a5d77bdfe547cde777bea71acbe2e019a143eb93d8e74efbba12cc15f0,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,18,whois:gpt:beta5:phantom_seed2:18:R1,,82ac1176b8aa914d234db0b2ca2a7f1485c4d411920eede2bde706bc012fb568,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed2,19,whois:gpt:beta5:phantom_seed2:19:R1,,bd95fba06e4f5ee60e6706963d9563a22bf8776bf42f137b18294fba8ce5b6ce,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,0,whois:gpt:beta5:phantom_seed3:0:R1,,c94c5f3c8e7c10b6702c187111804524095363c739b0ec3a6fcdd8c5fd6cbc5c,0.8571428571428571,0.8571428571428571,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,1,whois:gpt:beta5:phantom_seed3:1:R1,,be4a6214ad707c8c499b1f265e3af56656efa89ed449bd017c7a7abbd84f2413,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,2,whois:gpt:beta5:phantom_seed3:2:R1,,111d6d61b2bf8a9b0279428dc49c0114bff0783b5d1e125c974fd378ec4ac35b,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,3,whois:gpt:beta5:phantom_seed3:3:R1,,106d08a69a990e810afdefcb21a9ae2ffadf79c23f0600e0bddf9b784e60758e,0.5,0.5,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,4,whois:gpt:beta5:phantom_seed3:4:R1,,6ec60ccea5ef3985d5b2aa6b19c89f7eea8009cee90b2de3f3e2e90c1498c7c6,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,5,whois:gpt:beta5:phantom_seed3:5:R1,,355d56550477bed0ba4aa5c25cf0ed66580ca2e10ba089ac24c354b88b55dc29,0.2857142857142857,0.2857142857142857,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,6,whois:gpt:beta5:phantom_seed3:6:R1,,febfd4b953116b6b27608901974e23cd1c1e81a9e468308972e34dc6a13ec112,0.4,0.4,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,7,whois:gpt:beta5:phantom_seed3:7:R1,,79287c248d6026792702baefb2440e1573fea067235c7ffb8d89013a38408f71,0.6666666666666666,0.6666666666666666,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,8,whois:gpt:beta5:phantom_seed3:8:R1,,3620f616d7ae3eede8d8d7bd8791ec6196b622551af5c8fcd7698e41b89e9ef0,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,9,whois:gpt:beta5:phantom_seed3:9:R1,,b960cf8e4c9e2c08fb4b90af12b0a4264ece29eb3279a2dfa825aa534a1909d7,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,10,whois:gpt:beta5:phantom_seed3:10:R1,,57d40263cbe085d083d308a737c79cd54453b5937dd5470ceaafd7a23436480e,0.23529411764705882,0.23529411764705882,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,11,whois:gpt:beta5:phantom_seed3:11:R1,,02df02dd8309291cae0849ac7a8f666931635399346e26df733321d2ee2056e4,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,12,whois:gpt:beta5:phantom_seed3:12:R1,,b61829a898016dd21f05b57dc1e127d65a99be2587fc5cba25c00a9f4ac098e7,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,13,whois:gpt:beta5:phantom_seed3:13:R1,,b20d12f78665b49f999a5d36a8f8515d77b562094e437aa7f3fd6ba864b46c5c,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,14,whois:gpt:beta5:phantom_seed3:14:R1,,631ba10513a549df0afa9904e4d29c42b3cc79a0cf568d0daa6f8a8ff2fe655f,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,15,whois:gpt:beta5:phantom_seed3:15:R1,,918820e675ac25b784079cc210e8f3ecba4ec65add4af4802692f4bbed4dd473,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,16,whois:gpt:beta5:phantom_seed3:16:R1,,c99e25c7bf5a4b7ff89ef5f3c2e6c90ed387a5edfcbf255d0354fa5bbe0924c5,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,17,whois:gpt:beta5:phantom_seed3:17:R1,,463fffc59a4b5a44baf54b40cdd727e4115cdec998bccddc74c49d0e2f49718b,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,5,phantom_seed3,18,whois:gpt:beta5:phantom_seed3:18:R1,,7735031052fc24b7d112022141e13f0eb22581fbe8315d81b3c5b6ffd7941381,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,0,whois:gpt:beta10:phantom_seed2:0:R1,8bd82174167192be60b4f2b7,64ab5f382dbefc3450d0b286279e436c3d82c7df98771f4df48e0781403d9131,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,1,whois:gpt:beta10:phantom_seed2:1:R1,44b9152985b3aeea02f432ec,2795f52057e52a6d7effe259b3aa688a8f24b2695ca712508b0a3847e9020022,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,2,whois:gpt:beta10:phantom_seed2:2:R1,1ca41824142ed2b091416341,ab3555365d7c9c22baf9282f8f69e43d3d9ce645cd68ec4c302b35d63e919048,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,3,whois:gpt:beta10:phantom_seed2:3:R1,a81aa7a70200af51a055769a,352390cf77fdeac48a0b3c6ad95ec548f75aae2aeab495aee341c852c4281f81,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,4,whois:gpt:beta10:phantom_seed2:4:R1,267edfe10fad6a407caee51f,f13968df6a0b92a37d77d45d49c2caec9676084754145e992f5fff19416c78f2,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,5,whois:gpt:beta10:phantom_seed2:5:R1,e87cb02b9a275e74f11c883c,9bc7196876d7b239ea88a091d6db9408a5dd083dc402b219d7f97f7c36b3af08,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,6,whois:gpt:beta10:phantom_seed2:6:R1,e0d6007bed2b9ad4c923acab,092b753cd26545c4bf0a695d416097db24b6ec66a822accbf7c644594b052f72,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,7,whois:gpt:beta10:phantom_seed2:7:R1,bd01654cf8cf3f3a6eee0029,4b18c15c23001676c93154195857b9916e81850b073d33ab2f443e2dc9e7a698,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,8,whois:gpt:beta10:phantom_seed2:8:R1,f004cd630164151d7f984377,a0dff21e7ec668eac23198c1c4301af462d4b8e7f9989ab17444a6651008391a,0.6666666666666666,0.6666666666666666,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,9,whois:gpt:beta10:phantom_seed2:9:R1,07ecf0ab5aecd3c74d9b9036,7d042d421af156a887b225523e1b017c044df2556739240ff77a9828fccba609,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,10,whois:gpt:beta10:phantom_seed2:10:R1,e3641f1b5958222ac1c862ad,06f5d1abde9387435d81c63ff379490eff8bd784a2870c6f824e845937681ae8,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,11,whois:gpt:beta10:phantom_seed2:11:R1,cad48da8e09ba0f7a682acc6,238bbc8d18d82b23226019c08890d963cd7ce5c6116063d521241d3520a24af0,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,10,phantom_seed2,12,whois:gpt:beta10:phantom_seed2:12:R1,34c5cf764ea783bffa0c4701,6883beaff330b1eb4a4f5c1ff6d35b88ff6d50e64196f164774cf72517168bc4,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
