scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,historical_logical_id
slot_ac70df43941e9eb8f36ca23314d44ce07dbcd11f26f99262fcd6601650619554,slot_ac70df43941e9eb8f36ca23314d44ce07dbcd11f26f99262fcd6601650619554,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index5,0,historical_frozen_417,"{""EA"": 1.0, ""LA"": 0.8823529411764706}",a3ddd6eb65658117e2ea7d3dd47fd2ca8b89bd595574c56e00ae474c2e165cad
slot_11bd10cdaecf2c8a2546e1d09116c57f0868895fd6009880049368bbc8c6c9e9,slot_11bd10cdaecf2c8a2546e1d09116c57f0868895fd6009880049368bbc8c6c9e9,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index5,1,historical_frozen_417,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",73dc6a41761af8b3b90c32e96527476f24a202b3516eed83ea6b764a560919bb
slot_c18e2ba4e7442f09c12b8ca32b0233fd5d08f69a2e8eb357fe4368ca3604f0a8,slot_c18e2ba4e7442f09c12b8ca32b0233fd5d08f69a2e8eb357fe4368ca3604f0a8,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index5,2,historical_frozen_417,"{""EA"": 0.8235294117647058, ""LA"": 0.8235294117647058}",49b0a03feafe3afa0108e8701650f9bada1cc3b656903c9550f6647432563208
slot_98ae5342167592a5648feb373d5ee207fb1e0c054082c226620834b23be6b9c7,slot_98ae5342167592a5648feb373d5ee207fb1e0c054082c226620834b23be6b9c7,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q5,0,historical_frozen_417,"{""F1"": 1.0}",1847c5458982e5ebc8553a4fcf96c17542469889c450ed5323325129f98b4792
slot_537bee4b72cbb7e1e86771a6e2db672f331a5b211e87fb07bb85b000ef671a04,slot_537bee4b72cbb7e1e86771a6e2db672f331a5b211e87fb07bb85b000ef671a04,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed3/q26,0,historical_frozen_417,"{""F1"": 0.0}",c8742fb9271b06b6ef66b3054bf26b780337e4f3992e411d11212e1d9e3e458b
slot_49e764bf07454458bbef608f48f7b8308eda2299f7f0034a7983bcf72aa018c1,slot_49e764bf07454458bbef608f48f7b8308eda2299f7f0034a7983bcf72aa018c1,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q4,0,historical_frozen_417,"{""F1"": 1.0}",44fb951b620f2dde5366aebf30214d195e1827fd870448f73e5d1dd75994e549
slot_e1ef073d18c101df722a91d04e264f1ea71d213e193db1056983e9d13453a2f0,slot_e1ef073d18c101df722a91d04e264f1ea71d213e193db1056983e9d13453a2f0,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index4,0,historical_frozen_417,"{""EA"": 0.7058823529411765, ""LA"": 1.0}",e374b3a55c4af2a91079c5dec0d4e894841dc3d2d5c20f2a78dddecd79df0276
slot_ad76171f382c6514f598b3139aca76ab964a8a4d2e41397782bb563ca88ccce7,slot_ad76171f382c6514f598b3139aca76ab964a8a4d2e41397782bb563ca88ccce7,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index4,1,historical_frozen_417,"{""EA"": 0.6470588235294118, ""LA"": 0.9411764705882353}",2104af9a9370b8131071908e074637e79dac3dccdf498456315a6cee797edc62
slot_1c16eaf34e9f17a71c8e946aaa44c21f0ed6d8c1b3f94a4e8a71b78ae2f17012,slot_1c16eaf34e9f17a71c8e946aaa44c21f0ed6d8c1b3f94a4e8a71b78ae2f17012,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index4,2,historical_frozen_417,"{""EA"": 0.7058823529411765, ""LA"": 1.0}",ec2c18d950af17ceb514f82327d473687342a47f24db762ab8a0eb30590350cf
slot_cd463ee2280731cf7103473b3107a2a846a4b7b7839867f49c7e926beed5e7cd,slot_cd463ee2280731cf7103473b3107a2a846a4b7b7839867f49c7e926beed5e7cd,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index11,0,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",6103569a0dc162e758ff563cd524f5a80ab502fe74f3db17d27914a3d02f46f7
slot_6e26eb800ed96c29b542f4d2e120b2aa62d70cbfc9a2fb875eb869e825613f25,slot_6e26eb800ed96c29b542f4d2e120b2aa62d70cbfc9a2fb875eb869e825613f25,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index11,1,historical_frozen_417,"{""EA"": 0.8823529411764706, ""LA"": 1.0}",dcc25c7d37b3e63331cdf4460fa89db637c1e32d9db2b8f4f66969d4bf6c8734
slot_685a9ba85fc7ad9b8c56f91c73defb653e0bc3717d3c663e9c969bfa0233970e,slot_685a9ba85fc7ad9b8c56f91c73defb653e0bc3717d3c663e9c969bfa0233970e,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index11,2,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",3a6178214fa879d04ac5ebcee9e6e84fd56d110c2cc13900cb9ad173e176ea8a
slot_40d164e5b25fe3cee8270422364504c2c715a33c077d80ccf3aa5c7732c93505,slot_40d164e5b25fe3cee8270422364504c2c715a33c077d80ccf3aa5c7732c93505,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q21,0,historical_frozen_417,"{""F1"": 1.0}",f72b23c48c9307f670d80f61ed8998f88c3d0b1744960c1b9ed95e10280f11e2
slot_31bb20fee99643cfbe3da967b3fa98de538fc4579f86e45b6e465e003e065e48,slot_31bb20fee99643cfbe3da967b3fa98de538fc4579f86e45b6e465e003e065e48,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q33,0,historical_frozen_417,"{""F1"": 0.0}",3674e342c791b1b19ad89036ab2f30b1d551353e3dbfe1ae3da9472243c8c4ce
slot_4336f0a98272255fbb69764a37e6bcd1ecd28769ff1911fb7e1694e08b5ad303,slot_4336f0a98272255fbb69764a37e6bcd1ecd28769ff1911fb7e1694e08b5ad303,thinking_historical_reference,tuning,cost_tight,single,1,max,historical,hpobench:paramnet:higgs:steps,0,historical_frozen_417,"{""Gap"": 94.79553603393892, ""Gap0"": 94.79553603393892, ""RawPerf"": 0.7165359819152589}",0b7e9c3a08197a90ac7635f09b791a6d3576b69f87fd31fa7eccdd5aef750d75
slot_fe0565497db1de110dfc5b50de55f43a1978f7c7512894eb6000318d45363245,slot_fe0565497db1de110dfc5b50de55f43a1978f7c7512894eb6000318d45363245,thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,phantom_seed2/q31,0,historical_frozen_417,"{""F1"": 0.5714285714285715}",4f530969911ce8a2e8a5a099e4606a3a54ed832af4f2ce51b015cd0fa8c7274e
slot_8f12fa901b2a31cf6929ad12f6ba9c388187f6c324c78747e7d0c461a3d5b935,slot_8f12fa901b2a31cf6929ad12f6ba9c388187f6c324c78747e7d0c461a3d5b935,thinking_historical_reference,tuning,cost_tight,single,1,max,historical,hpobench:nasbench101:A,0,historical_frozen_417,"{""Gap"": 85.75664976157574, ""Gap0"": 85.75664976157574, ""RawPerf"": 0.845886747042338}",e54b11e845953298069f161a3dfb358ed321e0a100e424ef7a5f53e2ced55696
slot_234311e690e6e006ef5bb71b4fe829e9e6a82bfaf2b9ebbf05ab35d4b83510a0,slot_234311e690e6e006ef5bb71b4fe829e9e6a82bfaf2b9ebbf05ab35d4b83510a0,thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,hpobench:nasbench201:cifar100,0,historical_frozen_417,"{""Gap"": 97.51558924069516, ""Gap0"": 97.51558924069516, ""RawPerf"": 0.732}",64a1dac44d9e80cef64e7bfd3b83cf66342dacb97870c49349be6c41ff1117ed
slot_bbf72beb5d62594813910e8b55aaa8cc033958ad3f24ddb35243b0ccee98dfd9,slot_bbf72beb5d62594813910e8b55aaa8cc033958ad3f24ddb35243b0ccee98dfd9,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q22,0,historical_frozen_417,"{""F1"": 1.0}",f47cd944e62586e5f3542614c78b0b4d04a955b7914d0a0591406ff8876f4746
slot_421eca12032f4077c4e6f525cc2127c529aba236979df9b5f861a077181be461,slot_421eca12032f4077c4e6f525cc2127c529aba236979df9b5f861a077181be461,thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,hpobench:nasbench101:A,0,historical_frozen_417,"{""Gap"": 99.15517902724923, ""Gap0"": 99.15517902724923, ""RawPerf"": 0.9401375651359558}",a25bbf0ca63ff8ab8fdd55dec054f6c54808fa08d5f49a74c71b603a89ab9c90
slot_f15eb4fc15e7778f6ec9da327a87bfb35c224afa7204bb8dc6b50d3cd793a68d,slot_f15eb4fc15e7778f6ec9da327a87bfb35c224afa7204bb8dc6b50d3cd793a68d,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index8,0,historical_frozen_417,"{""EA"": 0.35294117647058826, ""LA"": 1.0}",a19e16a171f9c318ba0d712f876a830d2ecc5ce5a663615764cdd4da796a749a
slot_fd59b29168f30dfb850df46dea92be2fa8f7dec7021fe3004f71da3e0933d089,slot_fd59b29168f30dfb850df46dea92be2fa8f7dec7021fe3004f71da3e0933d089,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index8,1,historical_frozen_417,"{""EA"": 0.35294117647058826, ""LA"": 1.0}",d06d9752a0a236ee1e97758b6611b2bf9516d845c870c6964d736557ef0e4340
slot_33e13cbb77ebf7429ad53df2e86b289f13463b2f5a70007f5723435304212ed5,slot_33e13cbb77ebf7429ad53df2e86b289f13463b2f5a70007f5723435304212ed5,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index8,2,historical_frozen_417,"{""EA"": 0.35294117647058826, ""LA"": 1.0}",75aec1b15676cce458925510fd04fc184361f3f7ca0a75d8e3c3ada75573a79f
slot_62e073464ca59e4529a5bd62f50ebccb702a5e9adcbf81b3815e87f1a06a8394,slot_62e073464ca59e4529a5bd62f50ebccb702a5e9adcbf81b3815e87f1a06a8394,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q32,0,historical_frozen_417,"{""F1"": 0.0}",e601704a2beafb5938cd1e3d56fff2d098cf75c4187e1fa91a25d365425fde01
slot_4b33cf099b0bc6dc03480dad02e9fe4b27e7cf783c9c07f7cc8adcc27089d1f5,slot_4b33cf099b0bc6dc03480dad02e9fe4b27e7cf783c9c07f7cc8adcc27089d1f5,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed3/q28,0,historical_frozen_417,"{""F1"": 0.0}",bf4bc596872647a9bf7af9341042fe9f8abc0c12adbb3be52bf38c42685dc6cc
slot_e09a5786e3273b1f108de3f175804344abfded4090d8c0e6ec88d89660c95c01,slot_e09a5786e3273b1f108de3f175804344abfded4090d8c0e6ec88d89660c95c01,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index10,0,historical_frozen_417,"{""EA"": 0.5294117647058824, ""LA"": 0.9411764705882353}",edfcc47d643f7e69dbd226fb37b7025a603a4b01323a10a5c47b2c3b0e18ac3c
slot_a205f60b8d97224380451324f046f0164cf6c77155629fb2773703ef12045a22,slot_a205f60b8d97224380451324f046f0164cf6c77155629fb2773703ef12045a22,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index10,1,historical_frozen_417,"{""EA"": 0.4117647058823529, ""LA"": 0.8823529411764706}",164b7c5ae87715638d206837137c43647aebff381de644b5674009c063281def
slot_38890fb9b99eb8f11998708270f9d6243131ae66d9b6d7c1e65e5c703e2ef042,slot_38890fb9b99eb8f11998708270f9d6243131ae66d9b6d7c1e65e5c703e2ef042,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index10,2,historical_frozen_417,"{""EA"": 0.5294117647058824, ""LA"": 0.8823529411764706}",c62ea0308a11cffd7893cbba5d6d31ea80f2b9eb7b663bb6d40d2cffbb7731d2
slot_85c5bab27b423cc630e667e0e9da45baf5a8d594b65cc5e3243b8c5bd729fa6f,slot_85c5bab27b423cc630e667e0e9da45baf5a8d594b65cc5e3243b8c5bd729fa6f,thinking_historical_reference,tuning,cost_tight,single,1,max,historical,hpobench:nasbench201:cifar100,0,historical_frozen_417,"{""Gap"": 80.50693096545443, ""Gap0"": 80.50693096545443, ""RawPerf"": 0.7112333333333334}",fb60fe5ccc6cbf4ff493125b39111d437c0f455540e3866318d0c0c2307b5b9a
slot_eaac507ad413403fb43e0f9eeff7b95668242877dd146e73bb9cc26c57619812,slot_eaac507ad413403fb43e0f9eeff7b95668242877dd146e73bb9cc26c57619812,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q4,0,historical_frozen_417,"{""F1"": 0.6666666666666666}",38ab9d20d9f7a6526e1fb4307ac0cf4815da61b6b33b65def3e7c87a04a887ab
slot_5efefa007e0fd9abfbc331e6aa80aa52735bfb725ceb3daed193a274c2324767,slot_5efefa007e0fd9abfbc331e6aa80aa52735bfb725ceb3daed193a274c2324767,thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,phantom_seed2/q32,0,historical_frozen_417,"{""F1"": 0.0}",08d2f224e568399cedab8c9c3fe00c0587b81b04f32b3f5f2b75b758fa4ec9e4
slot_42e029188b6a05aaa9c47ebebfac91945a95e8f936822491a871e77c97fdc087,slot_42e029188b6a05aaa9c47ebebfac91945a95e8f936822491a871e77c97fdc087,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index7,0,historical_frozen_417,"{""EA"": 0.9411764705882353, ""LA"": 1.0}",ea8d28dfd4b490c70daee3846e21d9d986551cefbf5b6a27c5fc23b238e6d0b8
slot_ce01bf2965ea4758e77584f8eb292cf7d3e82308a99cc8ae1f0cfa0a5fea0637,slot_ce01bf2965ea4758e77584f8eb292cf7d3e82308a99cc8ae1f0cfa0a5fea0637,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index7,1,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",54794541f39e96d5d87dc46bfd7b1157f65b0fd865329caa572592efc18839bd
slot_f709ce3645c3177fdef68b1b0937d3de587b5f6cab30e6af041ed850d3df7493,slot_f709ce3645c3177fdef68b1b0937d3de587b5f6cab30e6af041ed850d3df7493,thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,contract-nli/index7,2,historical_frozen_417,"{""EA"": 0.9411764705882353, ""LA"": 0.9411764705882353}",d24784a0f02fe2e1b8f103e9115267a8fc1d3267c0608a6d032865082ef8329c
slot_63e73ac76f34551bd9234d80d78ff5fce10b405b70d31d4fea6aa10d8f46f467,slot_63e73ac76f34551bd9234d80d78ff5fce10b405b70d31d4fea6aa10d8f46f467,thinking_historical_reference,tuning,cost_free,single,1,max,historical,hpobench:nasbench101:B,0,historical_frozen_417,"{""Gap"": 98.84711180690203, ""Gap0"": 98.84711180690203, ""RawPerf"": 0.9460136294364929}",bc2376e2ecc58c23aab715da757a993c5456a0a3aaf8c9c11bbd1ba9ae6ff8c3
slot_62396307d7116f21f0edafd26cb156ac825d33a06850b730af2221210bd6c13c,slot_62396307d7116f21f0edafd26cb156ac825d33a06850b730af2221210bd6c13c,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q19,0,historical_frozen_417,"{""F1"": 0.0}",45967ebb1d3c5dc929bf7cc61db3750d8e88392d72aefb57c692bdde5c169a70
slot_e269885ed3455b6c0c8b7e90e6f1d34826a96be8487424c9ef7b07c155adcebe,slot_e269885ed3455b6c0c8b7e90e6f1d34826a96be8487424c9ef7b07c155adcebe,thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,hpobench:nasbench101:C,0,historical_frozen_417,"{""Gap"": 99.2852336288098, ""Gap0"": 99.2852336288098, ""RawPerf"": 0.9415398041407267}",0cde333d9394370bf188a7ce0de538b68071bdd62f25962d3ad152643481892f
slot_aabe07b5bae0a13d18afed43845d51bf31a615aa09e8bdc74c02f098d058cb80,slot_aabe07b5bae0a13d18afed43845d51bf31a615aa09e8bdc74c02f098d058cb80,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index12,0,historical_frozen_417,"{""EA"": 0.5294117647058824, ""LA"": 0.8823529411764706}",3d31aa54cce7f177cde019a0edf826de4475494414a21f679e002fc5958b6ea3
slot_0b8a1ebc6f5fce315397c40617df00d6f4f0dbc959fc035f0dcd598d7a71b359,slot_0b8a1ebc6f5fce315397c40617df00d6f4f0dbc959fc035f0dcd598d7a71b359,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index12,1,historical_frozen_417,"{""EA"": 0.5294117647058824, ""LA"": 0.8823529411764706}",9a5be93d9db2e525acf1821c17ac5f3ab3e4fd15c3f19ffbe0d87fdffda30f8a
slot_c851bd27a0257e473294c3dfb744d4e45d8f97dd82022e6f76f796c89cd6f438,slot_c851bd27a0257e473294c3dfb744d4e45d8f97dd82022e6f76f796c89cd6f438,thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,contract-nli/index12,2,historical_frozen_417,"{""EA"": 0.5294117647058824, ""LA"": 0.8823529411764706}",bc2d698bb4ba5c5d16bdd6c5074ce6a9d505c78f22aeb9f0b99217688f946589
slot_88a4c41f1e6da25fbf33f52545a570becf9707dc2679aa9626c41cfaa00437e5,slot_88a4c41f1e6da25fbf33f52545a570becf9707dc2679aa9626c41cfaa00437e5,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q3,0,historical_frozen_417,"{""F1"": 1.0}",8683f74c2e801340060d40a5a6632aded48df4c1ffe4eab7933022e204ea38db
slot_beb1ad3a135960dd930c02af0674af4794d8f4da7486d567a3e8b8728532c564,slot_beb1ad3a135960dd930c02af0674af4794d8f4da7486d567a3e8b8728532c564,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q6,0,historical_frozen_417,"{""F1"": 1.0}",c00299e86ca02f601cdb024893e1ac2c281ea9cb6c1cc8b6c5894fe9a3d9d887
slot_eef3edd06838cedc89f1bd1e5989c6e9cceefaabcbad8c03890bf8bade9594d0,slot_eef3edd06838cedc89f1bd1e5989c6e9cceefaabcbad8c03890bf8bade9594d0,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q24,0,historical_frozen_417,"{""F1"": 1.0}",bfbd302204afe9c292ebb711450563d803df42a973e07843e51e5c0ceaeec793
slot_8b16fbf6b96fa4d2e608fa54e9d201d7c08d3bc9c8fe5572c9bb3a2cd565b596,slot_8b16fbf6b96fa4d2e608fa54e9d201d7c08d3bc9c8fe5572c9bb3a2cd565b596,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index4,0,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",dd5dcb94cfca2a33698b3cc269781a5c2dbfcb812341107c634f4680e59a3f4e
slot_456b9a9b3832a99127e891b5b62db1c9db731bddbda0bca22472c82b0c050da3,slot_456b9a9b3832a99127e891b5b62db1c9db731bddbda0bca22472c82b0c050da3,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index4,1,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",c12cb16141e141c3c9fd3a44bc900b9859a0951105ed241e690db80cedd47bc3
slot_daac91b05a3832a3c00c9d6417fa33c56cb524a2e719c37f8272b57110a9ba48,slot_daac91b05a3832a3c00c9d6417fa33c56cb524a2e719c37f8272b57110a9ba48,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index4,2,historical_frozen_417,"{""EA"": 1.0, ""LA"": 1.0}",a38eae08a2b0faececb26d4ba46de289413d121de1de310238b7ef0ede882886
slot_8223fca4bac8a546b1ee5b5a159598d3d233c51858d75852a06a980dcefdd916,slot_8223fca4bac8a546b1ee5b5a159598d3d233c51858d75852a06a980dcefdd916,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q19,0,historical_frozen_417,"{""F1"": 0.6666666666666666}",55ee996bf2182873796cc5c38f35f292500367765b57d35b8bef476515796a09
slot_861eb5057402104a7911d0e946a4e74ef7bc674aeb63fe95cd92b725cb5b0371,slot_861eb5057402104a7911d0e946a4e74ef7bc674aeb63fe95cd92b725cb5b0371,thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,phantom_seed3/q28,0,historical_frozen_417,"{""F1"": 1.0}",878e384f8ba3e1c26c305e174dfd72d1ec3035ab939b13d30c2f9f0a02e495a0
slot_b50607260736b97e50924351dcc3fb9d0aa0a60e19821cf292e269f821d28bff,slot_b50607260736b97e50924351dcc3fb9d0aa0a60e19821cf292e269f821d28bff,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed3/q1,0,historical_frozen_417,"{""F1"": 0.6666666666666666}",868b8bb66ca0ca83ee13288466710529fd5411b807fa3890689b70af24b33079
slot_c6304e5e011d7b138b8b7a938b8d3ec313390433b4a6b949954fa121f846d2c0,slot_c6304e5e011d7b138b8b7a938b8d3ec313390433b4a6b949954fa121f846d2c0,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed3/q25,0,historical_frozen_417,"{""F1"": 0.18181818181818182}",813ab50ed793aab941cbc33ba7d48a8afe5ad44502ab5cfecde92e69fa631110
slot_ec268d85f5dd48faf1d9bd4e8e9b0322a89e9c829426b4370cea4275e970dd08,slot_ec268d85f5dd48faf1d9bd4e8e9b0322a89e9c829426b4370cea4275e970dd08,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q14,0,historical_frozen_417,"{""F1"": 0.5}",92d02e6dcef4bb17407efe472f76303b31be3c801bdb8cf1dab0e921e2f588f2
slot_7e7be1fc5a4c779fa523597f9cca99988cc45c5c00fa6066951920488a9076de,slot_7e7be1fc5a4c779fa523597f9cca99988cc45c5c00fa6066951920488a9076de,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q17,0,historical_frozen_417,"{""F1"": 0.0}",2e146c1f42b7984db99bfce38417cd64be3e890b39c93438b2db28e348bd67b7
slot_91013f2ce01a313f92a134274d753e87f0b8370518cfc0187eaf244a093ab565,slot_91013f2ce01a313f92a134274d753e87f0b8370518cfc0187eaf244a093ab565,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q33,0,historical_frozen_417,"{""F1"": 1.0}",a22d7c021a7abeb9198a7dc9f20cff8d7a008774d98fd681594776f109828f4c
slot_e29fc20f1645347184775339af6adc285a2b099a52580c19ca68a03e54716da2,slot_e29fc20f1645347184775339af6adc285a2b099a52580c19ca68a03e54716da2,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed2/q31,0,historical_frozen_417,"{""F1"": 0.33333333333333337}",387fba3744bf485946f780ce0e7a412dd48af4eea6b7d6116a417249dafc00cf
