scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,job_id,logical_additive_cost
slot_c668d390ea9cd853d09daf5d396fbe3f8c6df08bd4fb61553fe6c1986879e683,slot_c668d390ea9cd853d09daf5d396fbe3f8c6df08bd4fb61553fe6c1986879e683,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index9,1,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_d845b2cf3cb6291c5f21498361e0ccb7c1cda28979449d22d535fa1eaa8798dd,"{""cached_input_tokens"": null, ""input_tokens"": 1068647.0, ""output_tokens"": 52030.0, ""reasoning_tokens"": 50685.0, ""total_tokens"": 1120677.0}"
slot_95e6d20164cff3207dda08772ec2aa49ae5f4642ad8b842ef53cf06e97852b69,slot_95e6d20164cff3207dda08772ec2aa49ae5f4642ad8b842ef53cf06e97852b69,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index9,2,direct,"{""EA"": 1.0, ""LA"": 0.8823529411764706}",job_198cf32b688509c92a7e078112b353a29e580d50f93bbfe208392485caf6fbb6,"{""cached_input_tokens"": null, ""input_tokens"": 129671.0, ""output_tokens"": 2206.0, ""reasoning_tokens"": 1061.0, ""total_tokens"": 131877.0}"
slot_d942512da13d19d551fff5cd0f67360fe3ae15b52d328da66b1171eef122d723,slot_d942512da13d19d551fff5cd0f67360fe3ae15b52d328da66b1171eef122d723,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index9,2,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_fb2f2a234c235a7475e3e69bf2e2ecbccb45352f068105746978f2d09bacba17,"{""cached_input_tokens"": null, ""input_tokens"": 1071719.0, ""output_tokens"": 60310.0, ""reasoning_tokens"": 57565.0, ""total_tokens"": 1132029.0}"
slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07,slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07,thinking_same_version,tuning,cost_free,single,1,low,same_version_low,hpobench:nasbench101:C,0,direct,"{""Gap"": 99.43291219533845, ""Gap0"": 99.43291219533845, ""RawPerf"": 0.9423744678497314}",job_459a9be9c31888d9825d4baa8d35273da6c613e50d1cf5b71d97b81ed1ac62e7,"{""cached_input_tokens"": null, ""input_tokens"": 61610.0, ""output_tokens"": 4996.0, ""reasoning_tokens"": 1100.0, ""total_tokens"": 66606.0}"
slot_72ab418d90843bfcd227d6c1df12670cc2bbcda4deafb9864fa69be7e8febfb3,slot_72ab418d90843bfcd227d6c1df12670cc2bbcda4deafb9864fa69be7e8febfb3,thinking_same_version,tuning,cost_free,single,1,max,same_version_max,hpobench:nasbench101:C,0,direct,"{""Gap"": 100.17721779515371, ""Gap0"": 100.17721779515371, ""RawPerf"": 0.9465812047322592}",job_1c75a6b65b4f9ff9f69dbb622d7ab5bbe15c51230fe3a5147d057e6290ab0872,"{""cached_input_tokens"": null, ""input_tokens"": 758886.0, ""output_tokens"": 52785.0, ""reasoning_tokens"": 41962.0, ""total_tokens"": 811671.0}"
slot_d6e69ebc1cd006bbbf2fb24a7457ad204d99e87a5d57158904e6b885cd65528e,slot_d6e69ebc1cd006bbbf2fb24a7457ad204d99e87a5d57158904e6b885cd65528e,thinking_same_version,restricted_search,cost_free,single,1,low,same_version_low,phantom_seed2/q11,0,direct,"{""F1"": 0.5555555555555556}",job_892d2c9c032411ba4e9a0351926fc5ed59e3a342c1c1d238ee42ae7935648d47,"{""cached_input_tokens"": null, ""input_tokens"": 147072.0, ""output_tokens"": 4274.0, ""reasoning_tokens"": 3848.0, ""total_tokens"": 151346.0}"
slot_1500baeb7748bda74482ae3741d778bf0d1a4ce95bacb9c47636e97010d98659,slot_1500baeb7748bda74482ae3741d778bf0d1a4ce95bacb9c47636e97010d98659,thinking_same_version,restricted_search,cost_free,single,1,max,same_version_max,phantom_seed2/q11,0,direct,"{""F1"": 0.5555555555555556}",job_45b5553a480b209a388d75514497c4920b2fc84b9163af2cd744031dd1c51add,"{""cached_input_tokens"": null, ""input_tokens"": 273258.0, ""output_tokens"": 19878.0, ""reasoning_tokens"": 18552.0, ""total_tokens"": 293136.0}"
slot_ac70df43941e9eb8f36ca23314d44ce07dbcd11f26f99262fcd6601650619554,slot_ac70df43941e9eb8f36ca23314d44ce07dbcd11f26f99262fcd6601650619554,thinking_same_version,evidence_audit,cost_moderate,single,1,low,same_version_low,contract-nli/index5,0,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_9a9f33be424034e1e30c763e93648dd37c44c4590d81eded522818660371d9bd,"{""cached_input_tokens"": null, ""input_tokens"": 44376.0, ""output_tokens"": 2195.0, ""reasoning_tokens"": 1172.0, ""total_tokens"": 46571.0}"
slot_2fbb490e74a83528a3f09366b6509247aa54d6d0781d5b22752297868b5be507,slot_2fbb490e74a83528a3f09366b6509247aa54d6d0781d5b22752297868b5be507,thinking_same_version,evidence_audit,cost_moderate,single,1,max,same_version_max,contract-nli/index5,0,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_e51e665a5b2c5391ec3587766aaf81af8d8a4b7d9ad28bef7b7e2a5aa446e3fe,"{""cached_input_tokens"": null, ""input_tokens"": 648243.0, ""output_tokens"": 87466.0, ""reasoning_tokens"": 86326.0, ""total_tokens"": 735709.0}"
slot_11bd10cdaecf2c8a2546e1d09116c57f0868895fd6009880049368bbc8c6c9e9,slot_11bd10cdaecf2c8a2546e1d09116c57f0868895fd6009880049368bbc8c6c9e9,thinking_same_version,evidence_audit,cost_moderate,single,1,low,same_version_low,contract-nli/index5,1,direct,"{""EA"": 0.8235294117647058, ""LA"": 0.8235294117647058}",job_0ca425cf51991c0ede8e5c5bfbc6d910b2852543d51c935201020d06e90fc461,"{""cached_input_tokens"": null, ""input_tokens"": 41988.0, ""output_tokens"": 2280.0, ""reasoning_tokens"": 1323.0, ""total_tokens"": 44268.0}"
slot_219de70ac87043243c7f821fb7c16333286143f9ce3a44d8d0e6d6f5647ee963,slot_219de70ac87043243c7f821fb7c16333286143f9ce3a44d8d0e6d6f5647ee963,thinking_same_version,evidence_audit,cost_moderate,single,1,max,same_version_max,contract-nli/index5,1,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_258b933ada68e9e5ec17d496bb458d8d910519738d3ef841cd0bff0fd1384358,"{""cached_input_tokens"": null, ""input_tokens"": 744077.0, ""output_tokens"": 104458.0, ""reasoning_tokens"": 103852.0, ""total_tokens"": 848535.0}"
slot_c18e2ba4e7442f09c12b8ca32b0233fd5d08f69a2e8eb357fe4368ca3604f0a8,slot_c18e2ba4e7442f09c12b8ca32b0233fd5d08f69a2e8eb357fe4368ca3604f0a8,thinking_same_version,evidence_audit,cost_moderate,single,1,low,same_version_low,contract-nli/index5,2,direct,"{""EA"": 0.9411764705882353, ""LA"": 0.8823529411764706}",job_21fb33da16627e78572383f99d607504ef46570529630b9b1ca22bc895ae76b8,"{""cached_input_tokens"": null, ""input_tokens"": 40050.0, ""output_tokens"": 1544.0, ""reasoning_tokens"": 764.0, ""total_tokens"": 41594.0}"
slot_27e6c6703002985f4f65f8522d7057c84bdb7aa28a2329c6b87202d41581c2c7,slot_27e6c6703002985f4f65f8522d7057c84bdb7aa28a2329c6b87202d41581c2c7,thinking_same_version,evidence_audit,cost_moderate,single,1,max,same_version_max,contract-nli/index5,2,direct,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",job_5aaf1138d521917c1b926867b3795e2fecc4158d7d029a9d9ea67e2b0d67ad7f,"{""cached_input_tokens"": null, ""input_tokens"": 493089.0, ""output_tokens"": 121910.0, ""reasoning_tokens"": 120113.0, ""total_tokens"": 614999.0}"
slot_98ae5342167592a5648feb373d5ee207fb1e0c054082c226620834b23be6b9c7,slot_98ae5342167592a5648feb373d5ee207fb1e0c054082c226620834b23be6b9c7,thinking_same_version,restricted_search,cost_moderate,single,1,low,same_version_low,phantom_seed2/q5,0,direct,"{""F1"": 0.8}",job_fb281b0af3129de64f0afb554cead8174f85e6b9517fecf7979600d309ef16de,"{""cached_input_tokens"": null, ""input_tokens"": 20778.0, ""output_tokens"": 728.0, ""reasoning_tokens"": 555.0, ""total_tokens"": 21506.0}"
slot_0e1381499e99cd0cc3eb472eb03eeb2f9bc22bc5baa1b5926edf106c7c74bc27,slot_0e1381499e99cd0cc3eb472eb03eeb2f9bc22bc5baa1b5926edf106c7c74bc27,thinking_same_version,restricted_search,cost_moderate,single,1,max,same_version_max,phantom_seed2/q5,0,direct,"{""F1"": 1.0}",job_be830fd551a35bd26c73373581e8574d87cff1025984a5cb49636f02fc827072,"{""cached_input_tokens"": null, ""input_tokens"": 28498.0, ""output_tokens"": 4967.0, ""reasoning_tokens"": 4005.0, ""total_tokens"": 33465.0}"
slot_537bee4b72cbb7e1e86771a6e2db672f331a5b211e87fb07bb85b000ef671a04,slot_537bee4b72cbb7e1e86771a6e2db672f331a5b211e87fb07bb85b000ef671a04,thinking_same_version,restricted_search,cost_tight,single,1,low,same_version_low,phantom_seed3/q26,0,direct,"{""F1"": 0.0}",job_b28d803053135bc037ed60558e34c18765b4a4e32f5697debb0a80ec038d031a,"{""cached_input_tokens"": null, ""input_tokens"": 4301.0, ""output_tokens"": 122.0, ""reasoning_tokens"": 64.0, ""total_tokens"": 4423.0}"
slot_22e0378b75832d887aefe2332bd8d595f526f4bdecd59ed5d22e6d4d884b2205,slot_22e0378b75832d887aefe2332bd8d595f526f4bdecd59ed5d22e6d4d884b2205,thinking_same_version,restricted_search,cost_tight,single,1,max,same_version_max,phantom_seed3/q26,0,direct,"{""F1"": 0.0}",job_6fa9d463fc17f4d9311eba8070c2ad58a170dd6724731672ecff60158570c3fe,"{""cached_input_tokens"": null, ""input_tokens"": 5456.0, ""output_tokens"": 1185.0, ""reasoning_tokens"": 1018.0, ""total_tokens"": 6641.0}"
slot_49e764bf07454458bbef608f48f7b8308eda2299f7f0034a7983bcf72aa018c1,slot_49e764bf07454458bbef608f48f7b8308eda2299f7f0034a7983bcf72aa018c1,thinking_same_version,restricted_search,cost_moderate,single,1,low,same_version_low,phantom_seed3/q4,0,direct,"{""F1"": 0.5}",job_f48758b84cf7f82ccae011e0bf03f97bbc31454c78481ec8e93cf347addee374,"{""cached_input_tokens"": null, ""input_tokens"": 9781.0, ""output_tokens"": 449.0, ""reasoning_tokens"": 263.0, ""total_tokens"": 10230.0}"
slot_8d3f4a86dea0693d80f769e04864f82eca088c0ef0debe5a645d52935e8ab882,slot_8d3f4a86dea0693d80f769e04864f82eca088c0ef0debe5a645d52935e8ab882,thinking_same_version,restricted_search,cost_moderate,single,1,max,same_version_max,phantom_seed3/q4,0,direct,"{""F1"": 0.6666666666666666}",job_c42f527870a04669ca0520e9d69a134494aacc54de292deb5a0743c99edbfa32,"{""cached_input_tokens"": null, ""input_tokens"": 18091.0, ""output_tokens"": 1592.0, ""reasoning_tokens"": 1349.0, ""total_tokens"": 19683.0}"
slot_e1ef073d18c101df722a91d04e264f1ea71d213e193db1056983e9d13453a2f0,slot_e1ef073d18c101df722a91d04e264f1ea71d213e193db1056983e9d13453a2f0,thinking_same_version,evidence_audit,cost_tight,single,1,low,same_version_low,contract-nli/index4,0,direct,"{""EA"": 0.7058823529411765, ""LA"": 1.0}",job_4579184de57ad9c5dc8acf164c8a5084b882abc7c0f224b05c66cb0e635e18d4,"{""cached_input_tokens"": null, ""input_tokens"": 19536.0, ""output_tokens"": 870.0, ""reasoning_tokens"": 364.0, ""total_tokens"": 20406.0}"
slot_c9dd5ce74cafcee03beb57d7ed15c8765f358a15bb3800cb328df5216dbb8357,slot_c9dd5ce74cafcee03beb57d7ed15c8765f358a15bb3800cb328df5216dbb8357,thinking_same_version,evidence_audit,cost_tight,single,1,max,same_version_max,contract-nli/index4,0,direct,"{""EA"": 0.7058823529411765, ""LA"": 1.0}",job_45967f137a5ed9d91a7ef74b60019ce50484d8a3206a1df8e29a0083bcb80312,"{""cached_input_tokens"": null, ""input_tokens"": 72893.0, ""output_tokens"": 35297.0, ""reasoning_tokens"": 34131.0, ""total_tokens"": 108190.0}"
slot_ad76171f382c6514f598b3139aca76ab964a8a4d2e41397782bb563ca88ccce7,slot_ad76171f382c6514f598b3139aca76ab964a8a4d2e41397782bb563ca88ccce7,thinking_same_version,evidence_audit,cost_tight,single,1,low,same_version_low,contract-nli/index4,1,direct,"{""EA"": 0.7058823529411765, ""LA"": 0.9411764705882353}",job_53e3d8ec3c5c94b5fff244179a426fe67367fd199921c7a1c38b9d6885ee4e7c,"{""cached_input_tokens"": null, ""input_tokens"": 12830.0, ""output_tokens"": 817.0, ""reasoning_tokens"": 367.0, ""total_tokens"": 13647.0}"
slot_3c6ae1249f0036961177cb5589d519e340b5a52166e9fc30dbf8ba2b4eab680c,slot_3c6ae1249f0036961177cb5589d519e340b5a52166e9fc30dbf8ba2b4eab680c,thinking_same_version,evidence_audit,cost_tight,single,1,max,same_version_max,contract-nli/index4,1,direct,"{""EA"": 0.6470588235294118, ""LA"": 0.9411764705882353}",job_830b38f572bcb0c97ffde3f9a82e27a9746c14438cd556bbaa52ff3183f775ed,"{""cached_input_tokens"": null, ""input_tokens"": 54640.0, ""output_tokens"": 25226.0, ""reasoning_tokens"": 24085.0, ""total_tokens"": 79866.0}"
slot_1c16eaf34e9f17a71c8e946aaa44c21f0ed6d8c1b3f94a4e8a71b78ae2f17012,slot_1c16eaf34e9f17a71c8e946aaa44c21f0ed6d8c1b3f94a4e8a71b78ae2f17012,thinking_same_version,evidence_audit,cost_tight,single,1,low,same_version_low,contract-nli/index4,2,direct,"{""EA"": 0.6470588235294118, ""LA"": 0.8823529411764706}",job_7924b04fe10ab4be9ab1c9e099c825948e9a99176396183fa5ec043bc33ddf1f,"{""cached_input_tokens"": null, ""input_tokens"": 16261.0, ""output_tokens"": 1023.0, ""reasoning_tokens"": 542.0, ""total_tokens"": 17284.0}"
slot_3adc6968cbb157b1767b43271a87f86ffa5c4816e76453988522be76a0db7d16,slot_3adc6968cbb157b1767b43271a87f86ffa5c4816e76453988522be76a0db7d16,thinking_same_version,evidence_audit,cost_tight,single,1,max,same_version_max,contract-nli/index4,2,direct,"{""EA"": 0.0, ""LA"": 0.0}",job_c5070da7b30399cd54bde5b6777c21e927b918fffe6557e92b039b88b96d102d,"{""cached_input_tokens"": null, ""input_tokens"": 49801.0, ""output_tokens"": 34739.0, ""reasoning_tokens"": 33308.0, ""total_tokens"": 84540.0}"
slot_cd463ee2280731cf7103473b3107a2a846a4b7b7839867f49c7e926beed5e7cd,slot_cd463ee2280731cf7103473b3107a2a846a4b7b7839867f49c7e926beed5e7cd,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index11,0,direct,"{""EA"": 0.7647058823529411, ""LA"": 1.0}",job_39bc287718437d09aa58cdea9072ff874a15abf5967d87fbec276036682e8b23,"{""cached_input_tokens"": null, ""input_tokens"": 149610.0, ""output_tokens"": 2374.0, ""reasoning_tokens"": 1106.0, ""total_tokens"": 151984.0}"
slot_73b792f90fa773dc782360d1b6200d1af1c04904e65e9f8f0226c4a48d8bdeff,slot_73b792f90fa773dc782360d1b6200d1af1c04904e65e9f8f0226c4a48d8bdeff,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index11,0,direct,"{""EA"": 1.0, ""LA"": 1.0}",job_c1c4c382e42d0ed561231ae35289cea6367d8e08da187a94fac03d3200476b7d,"{""cached_input_tokens"": null, ""input_tokens"": 1122305.0, ""output_tokens"": 48860.0, ""reasoning_tokens"": 45509.0, ""total_tokens"": 1171165.0}"
slot_6e26eb800ed96c29b542f4d2e120b2aa62d70cbfc9a2fb875eb869e825613f25,slot_6e26eb800ed96c29b542f4d2e120b2aa62d70cbfc9a2fb875eb869e825613f25,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index11,1,direct,"{""EA"": 0.5882352941176471, ""LA"": 0.8823529411764706}",job_efba3fc710b19070e7c354cb75502227d92e750f03859874a115b21a9f70a7a1,"{""cached_input_tokens"": null, ""input_tokens"": 163789.0, ""output_tokens"": 3374.0, ""reasoning_tokens"": 2002.0, ""total_tokens"": 167163.0}"
slot_0edf9ced9481dd797b9c6e6e5654c5f967844d0f55fba79ba840ad9396b8dac9,slot_0edf9ced9481dd797b9c6e6e5654c5f967844d0f55fba79ba840ad9396b8dac9,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index11,1,direct,"{""EA"": 1.0, ""LA"": 1.0}",job_04a745627175b94c08f3a2fe295c6668ac75b20b8a17f410b011aac5bfa115f1,"{""cached_input_tokens"": null, ""input_tokens"": 1309785.0, ""output_tokens"": 66396.0, ""reasoning_tokens"": 63144.0, ""total_tokens"": 1376181.0}"
slot_685a9ba85fc7ad9b8c56f91c73defb653e0bc3717d3c663e9c969bfa0233970e,slot_685a9ba85fc7ad9b8c56f91c73defb653e0bc3717d3c663e9c969bfa0233970e,thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,contract-nli/index11,2,direct,"{""EA"": 0.9411764705882353, ""LA"": 1.0}",job_636513bc4ef5e15a49ece42f105bb4dcc59c90cf4e7e5f761082df872386f751,"{""cached_input_tokens"": null, ""input_tokens"": 158097.0, ""output_tokens"": 2708.0, ""reasoning_tokens"": 1282.0, ""total_tokens"": 160805.0}"
slot_5e02369aa463cd38af82d424248c5dde2d69ae334f85f38099cc4622c63b4550,slot_5e02369aa463cd38af82d424248c5dde2d69ae334f85f38099cc4622c63b4550,thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,contract-nli/index11,2,direct,"{""EA"": 1.0, ""LA"": 1.0}",job_a6e6354cb38b6906bb05394eabf6847dda0a12bb3dcdb9497d522dc7bcc8e5b0,"{""cached_input_tokens"": null, ""input_tokens"": 1327966.0, ""output_tokens"": 53388.0, ""reasoning_tokens"": 50466.0, ""total_tokens"": 1381354.0}"
slot_40d164e5b25fe3cee8270422364504c2c715a33c077d80ccf3aa5c7732c93505,slot_40d164e5b25fe3cee8270422364504c2c715a33c077d80ccf3aa5c7732c93505,thinking_same_version,restricted_search,cost_moderate,single,1,low,same_version_low,phantom_seed3/q21,0,direct,"{""F1"": 0.8}",job_4f264b4b833d07925ba3352dc262c59db2e4b5902b1105548d0face06176fae8,"{""cached_input_tokens"": null, ""input_tokens"": 4817.0, ""output_tokens"": 276.0, ""reasoning_tokens"": 156.0, ""total_tokens"": 5093.0}"
slot_7f8e26a2eb92c8e5c353c7fbf7a7e7559ca39a8dd3021f8f2cca25b511e56fff,slot_7f8e26a2eb92c8e5c353c7fbf7a7e7559ca39a8dd3021f8f2cca25b511e56fff,thinking_same_version,restricted_search,cost_moderate,single,1,max,same_version_max,phantom_seed3/q21,0,direct,"{""F1"": 1.0}",job_41c8cbacf19bf2161cd8f68f7fccd242f6a86b4773dd748a9596a24eab4e6670,"{""cached_input_tokens"": null, ""input_tokens"": 54384.0, ""output_tokens"": 12904.0, ""reasoning_tokens"": 12229.0, ""total_tokens"": 67288.0}"
slot_31bb20fee99643cfbe3da967b3fa98de538fc4579f86e45b6e465e003e065e48,slot_31bb20fee99643cfbe3da967b3fa98de538fc4579f86e45b6e465e003e065e48,thinking_same_version,restricted_search,cost_tight,single,1,low,same_version_low,phantom_seed2/q33,0,direct,"{""F1"": 0.0}",job_5181b4fe9ed8d3e1c7a6a26e60f27804b77645027e99d6f58590dd32ec3e36fd,"{""cached_input_tokens"": null, ""input_tokens"": 4042.0, ""output_tokens"": 95.0, ""reasoning_tokens"": 34.0, ""total_tokens"": 4137.0}"
