model,task,family,repeat,seed,transition,free_score_complete,tight_score_complete,free_strict_gap,tight_strict_gap,free_gap0,tight_gap0,tight_minus_free_gap0,free_delivered_evaluations,tight_delivered_evaluations,free_best_observed_performance,tight_best_observed_performance,free_termination,tight_termination,free_repeat_csv_data_record,tight_repeat_csv_data_record,free_trace_path,tight_trace_path,free_trace_sha256,tight_trace_sha256
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,1,2204,scored_to_scored,True,True,100.0,82.31154476532424,100.0,82.31154476532424,-17.688455234675757,29,3,0.9160666665039063,0.9019866665364583,max_steps_reached,empty_model_response,149,161,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5a5e9709f0ea93ff7c8b46aaa5916fac82fafa7cfe81a580512bc3ff360e76a6/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2332f75f65fc4986a05461cbc151b4968420d746765c72eb28b0fc02a49ca961/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2204.json,de179861773d69d277526fc04f779545e95979bc4fcc453681eb9aea7855531f,0069638feb1c47368de6986cebc5c6d4f37c621f6a33c6f533f1498786eaedd5
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,2,2208,missing_to_scored,False,True,,82.31154476532424,0.0,82.31154476532424,82.31154476532424,3,4,0.9119199998942058,0.9019866665364583,empty_model_response,natural_answer,150,162,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_87907dd4e6ebea9b5f77f8216a8690e641bf9ece1bec0f2dcf0497d21b42af75/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_325c5f920684cb7094b0316847ecbc24b937db6bc06a4c5ba44819d44bb5f960/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar10-valid_r0_s2208.json,0106530cf91273d20a3356538eb61ae16b9aae94f399ef90024404a8a125622e,2bcabd9ed8a076b4eac2c64dbe294dfffa4dd60c0d4e0d2f27628deb2279ba5b
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,0,2200,scored_to_scored,True,True,85.23004152984714,100.0,85.23004152984714,100.0,14.769958470152858,14,2,0.7170000000000001,0.7350333333333333,empty_model_response,time_budget_exceeded,166,178,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_c9cdee726907aaba2fd02b53ee04427c48223eb57027a023f55dcaa8b32c12af/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3943e9d574e3dae4f11ca4d3b19aa9200b06f550e070dee5d715148f5a468bd6/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2200.json,8cf8c58a114c35e8e69ab981a512611f8e3e6ddf8865d2bb5e586128ef4c55b6,df5043606cc579105c7a676a32d8e655b80f6130eb9c9226a064c322b6baa0d1
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,1,2204,scored_to_scored,True,True,97.51558924069516,78.73235185166527,97.51558924069516,78.73235185166527,-18.783237389029892,23,3,0.732,0.7090666666666667,natural_answer,time_budget_exceeded,167,179,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b39faedc7062fe5cfd500964ab951f0ed342acc2482bd680a0f5928b2c9098fe/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_e228dca84682e49024218e2351426f20d7fbb733b10f77ff7eb3705fdc9cd013/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2204.json,1124f948ef3a67ce2d74679d9b0e6d84a60ce3003d6fa3df703dfede1364903f,3013af441e4c46782b675796a35fc593589e35e9f1b7b771cb096a184383dc45
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,2,2208,scored_to_scored,True,True,100.0,94.23944318446901,100.0,94.23944318446901,-5.76055681553099,16,3,0.7350333333333333,0.728,empty_model_response,time_budget_exceeded,168,180,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9bfc11ca35acca63382d2759b11e69a7f770562e50f8c95f79270b2290c82816/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4d14a73225cb7f4af108b2cd61a8779f39b50a5f3d90cd236056ee92629a188c/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_cifar100_r0_s2208.json,6dc78dc35b3dda7ec3de2bba09355ffe4238e9d431a2ba3c8f0106f039a9cdd4,094e5e01d93c9abd8890ebaa7090f516cab3dd07dafb216b804ce82f96dddd80
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,0,2200,scored_to_scored,True,True,96.25384645540578,56.5614606330794,96.25384645540578,56.5614606330794,-39.69238582232638,29,4,0.46349999959309895,0.41111111097547737,max_steps_reached,natural_answer,184,196,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_710ceabb09d31553e6a492b17cb9b79d086a7d47e33a9c1f2570def104563fa3/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3ab161a29a42062759a0e691d9a594f547f2828aa14c17297bd9a0979da71cf4/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2200.json,386b2ad7efcb35994590a392041381cb1f7f75d3912a7374bbcdd7ed08e24cca,45527fa0031d1159cf20b8352cde0254a3471a94ee68e86ff40c80e112e5dba6
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,1,2204,scored_to_scored,True,True,86.15186082139311,56.5614606330794,86.15186082139311,56.5614606330794,-29.590400188313716,29,3,0.450166666531033,0.41111111097547737,max_steps_reached,time_budget_exceeded,185,197,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_888e4c66bd863d125424f35b7085a808c728c54e10261414b517f5cb3946b098/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_893d8359c3b7e7af65ccd4908a0963944c7c543f7caded8c495f7098cfefc2db/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2204.json,96c80e43da0393afe67e0da11e6c22f4a0f09375d21ee345c1fb965100e8cfde,decb08b8e2ef434181faa90c83cb59e72b75fdb670e3215bbbcf7cec1ee83890
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,2,2208,scored_to_scored,True,True,87.11996795182625,56.5614606330794,87.11996795182625,56.5614606330794,-30.558507318746855,18,4,0.4514444445122613,0.41111111097547737,empty_model_response,time_budget_exceeded,186,198,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2026163f506a3fcb6c339b0868e041e36251c50ec4623ce768d94b89341ec376/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9afd93c44446ef66402f2761cae9d805518d4ad719f7f2423fa5467aa47ff51e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_nasbench201_imagenet16-120_r0_s2208.json,019db7f5e10247fc890507cc724915961c22dd70bc36f4431a69958fbd917bf1,83bcba973a02772415427f67efee93fe0f82e92225aae25c4a6a096f5892e272
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,0,2200,scored_to_scored,True,True,95.05458795957453,72.01344351468897,95.05458795957453,72.01344351468897,-23.04114444488556,9,1,0.851694443501808,0.8422037010656462,empty_model_response,time_budget_exceeded,202,214,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_de0a4d658b46de7abac0163b7e7402f9032b14c7be003431279e99029332695a/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b3a679348793887c741def971c3a94e5168e6c3f005de0c232e9d26e54c72930/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2200.json,956d971ea792b64250d3b5cb06bc079fcdde9155fd7c2ee5ec2f117f41edb4be,2100bdffeb63d8f51038fdecb6b4676fb78c8441ef9a6d5c2353fc2d974e6fdc
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,1,2204,scored_to_scored,True,True,72.01344351468897,72.01344351468897,72.01344351468897,72.01344351468897,0.0,1,1,0.8422037010656462,0.8422037010656462,aborted,time_budget_exceeded,203,215,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7482acf9cef53882aac400879463d92aff245751253683154fe424d109e7bc21/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5445fb53597c51981e4e41379ba06e7427617efc923643811f5df53ccc71079d/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2204.json,2dc7fa169b91f87009744170bf2c8c9afb5f8476ebb907ffd776728265cbb598,0916408d5ecb404f0cc01136ca323597b22fc765fc61b9431a83eaf595c04d84
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,2,2208,missing_to_missing,False,False,,,0.0,0.0,0.0,6,1,0.8511759250611066,0.8422037010656462,empty_model_response,aborted,204,216,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7a6a49c55e98094eec9f3ef1e615f2d30d7353b23c2bcacc72ddd21d2c381386/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_93f905f18aab3c98fe4ee48769f083b7e0d1cfd7fdd941b68cdaf1e72e1b4a0c/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_adult_steps_r0_s2208.json,f1714557486d55646819c88751e4a1d31d45614efbb38c737a7b3030bd4425d6,9d5e1cae088d441f7c031e44427e9df9dbde243f10dabac4dafefb16d6c4df7e
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,0,2200,scored_to_scored,True,True,94.50934203250021,86.78214513411211,94.50934203250021,86.78214513411211,-7.727196898388101,28,4,0.7162869031899145,0.7095618134107426,max_steps_reached,natural_answer,220,232,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_45ab8f8a00ce37e1afa3b2dddcc6200536f648de6368b68d0e5f05dd29584628/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5579178357e73a97011f86d2a731b95cdeede5c5dd52680cf9629c9ba2a122dc/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2200.json,f8ff541ed3460c064d37d0bef4e41eaa013b5b75802a028cbc9f41da6193c086,1c1f3cf0e6b10a9d039687ec816aba3f435ac39ea229022ce96a4357dfed7608
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,1,2204,missing_to_scored,False,True,,97.57796379662572,0.0,97.57796379662572,97.57796379662572,9,6,0.6976060991596802,0.7189575685208794,empty_model_response,time_budget_exceeded,221,233,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_597787beba86cea6f6388be48ef5dbd3f31fdc5cbf04fd240c21a6971ed1e480/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5a38ee86b73c35efa11ee0e3d0b8f10bf3741cbe6f03374213526a07064a354d/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2204.json,ae2f6773a1d081b3e36219c3463ac83f9e7354d8eaf354b01de9f4f4d823756f,5db544235721b149ca26f0a342b7fabc0cf0593eb81d71e062214d8cb8befc5c
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,2,2208,scored_to_missing,True,False,20.16287898720514,,20.16287898720514,0.0,-20.16287898720514,1,1,0.6515821149829788,0.6515821149829788,aborted,empty_model_response,222,234,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4cf2ec828974ad1e6a3677b057592a289e6d6fa5bc44c5f689330872422f8a39/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2208.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ac22262767c9965308523f0a01bf72617fc07575d7c5a0e222522e7d7de20d4e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_higgs_steps_r0_s2208.json,207051ad32522631cf8004420789a42b0372e209aa753706f46c5557a6bb090e,3fc1d3c6199c038758a8c63055d36d3f3d0c1749503d40ef973bff840dcb03f9
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,paramnet,0,2200,missing_to_scored,False,True,,98.90578725587737,0.0,98.90578725587737,98.90578725587737,19,4,0.9497964738155047,0.9593848918329154,empty_model_response,natural_answer,238,250,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_50baffd390b25117d80db6711bca908a648c85fd1a12111d9d6b3d5b19172006/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_letter_steps_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7804de3a760b38e0025be25d45c6e6fae773d5c7bac975e1a0624d8420614612/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_letter_steps_r0_s2200.json,2c388540f5d80ccca4040268b543f74322a9a5690798d3956f4d61c9f5a78f19,cd82a9c89e07ca5920ee9a9ca4e3cccb19607c55f253f74d06faa64df09cd7cd
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,paramnet,1,2204,missing_to_scored,False,True,,91.25922332505114,0.0,91.25922332505114,91.25922332505114,10,11,0.9265943027847442,0.9192446861276256,aborted,natural_answer,239,251,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_153de1b7a4255017e0229c12b0c54a23fd8ca48dc44d278c35eb18db8baa7981/result/deepseek-v4-flash-0731_cost_free/traces-v2/tuning_hpobench_paramnet_letter_steps_r0_s2204.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_72f7b3fd7e63fb0a9fbd8bdcc905b433c78129e9f0a2a444decc80d6a704971a/result/deepseek-v4-flash-0731_cost_tight/traces-v2/tuning_hpobench_paramnet_letter_steps_r0_s2204.json,a5d05155ed6cd484868750eec33722f69be67ddaad0b44a17bdf2cc445098797,7347799233cb34aee0459f580b391f8cff4500aa869824fd392ae5866c55c298
