model,budget,doc_index,doc_id,order,source_cohort,trace_path,trace_sha256,trace_bytes,hypothesis_count,label_acc,evidence_acc,joint_acc,label_correct_wrong_evidence_rate,correct_label_wrong_evidence_conditional,tool_calls,visible_tool_calls,distinct_hypotheses,repeat_calls,gold_nonempty_query_calls,gold_empty_query_calls,feedback_correct,feedback_incomplete,feedback_irrelevant,first_fixed_example,last_feedback_not_exact,termination_reason,answer_source,agent_steps,simulated_feedback_cost,budget_limit,budget_fraction,residual_less_than_min_call,residual_at_least_max_call,zero_feedback,visible_distinct_hypotheses,visible_repeat_calls,visible_feedback_correct,visible_feedback_incomplete,visible_feedback_irrelevant,visible_last_feedback_not_exact,hidden_result_count,natural_answer,time_budget_exceeded,max_steps_reached,visible_nonempty_query_calls,nonempty_n,nonempty_label_correct,nonempty_evidence_exact,nonempty_joint_correct,nonempty_label_correct_wrong_evidence,nonempty_missing_any,nonempty_extra_any,nonempty_evidence_precision,nonempty_evidence_recall,nonempty_queried,nonempty_correct_label_wrong_evidence_conditional,empty_n,empty_label_correct,empty_evidence_exact,empty_joint_correct,empty_label_correct_wrong_evidence,empty_missing_any,empty_extra_any,empty_evidence_precision,empty_evidence_recall,empty_queried,empty_correct_label_wrong_evidence_conditional
deepseek-v4-flash-0731,cost_tight,8,21,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,9491c01c63051f8642b30d2ce5d7838b5dd3af5a8345d25c816ccab9bb50a465,214770,17,0.9411764705882353,0.29411764705882354,0.29411764705882354,0.6470588235294118,0.6875,3,2,2,1,1,2,1,1,1,1,1,time_budget_exceeded,forced_model_answer,4,919.1057370509952,900.0,1.021228596723328,1,0,0,1,1,1,0,1,0,1,0,1,0,0,12,1,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.9166666666666666,0,1.0,0.5055555555555555,0,0.9166666666666666,5,0.8,0.8,0.8,0,0,0.2,0.8,1.0,0.2,0.0
deepseek-v4-flash-0731,cost_moderate,9,22,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1bd12d10369a58b5c0d7cc08623dcb1cd2478193a419e03fe87a6dfe04f1d429/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,47a589ffb4919f17d0b9fc0dc89adc10ca5b8e2a33f7208ba0a8c865df09a4f6,126100,17,0.8235294117647058,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.42857142857142855,10,9,5,5,6,4,5,2,3,1,0,time_budget_exceeded,forced_model_answer,11,3040.421239612624,3000.0,1.0134737465375414,1,0,0,4,5,4,2,3,0,1,0,1,0,5,12,0.75,0.4166666666666667,0.25,0.5,0.5,0.08333333333333333,0.875,0.7083333333333334,0.16666666666666666,0.6666666666666666,5,1,1,1,0,0,0,1.0,1.0,0.4,0.0
deepseek-v4-flash-0731,cost_tight,12,25,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_221b111df6f037f77f874c0b84e202b71008ff3bcfa99b66aba9fa305da5c6ad/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r1_s2201.json,de77e86438abc7d535210640482535a9b8d838daa69abe1236aecff2445e84cc,83137,17,0.8235294117647058,0.5294117647058824,0.5294117647058824,0.29411764705882354,0.35714285714285715,3,2,2,1,1,2,1,1,1,1,1,time_budget_exceeded,forced_model_answer,3,901.596673540771,900.0,1.0017740817119678,1,0,0,1,1,1,0,1,0,1,0,1,0,0,7,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.42857142857142855,0,0.8333333333333334,10,0.8,0.8,0.8,0,0,0.2,0.8,1.0,0.1,0.0
deepseek-v4-flash-0731,cost_tight,0,1,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_248cb61039d5a43ba94daef2c426c516c991bf8606faeecd533bd82114378db8/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_0_r2_s2202.json,58084b115ff14205c9a518e7352885f66953ab5bb8e73d59ff2ff2c3d2ac71d5,101255,17,0.8823529411764706,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.6,3,2,2,1,2,1,1,1,1,0,1,time_budget_exceeded,forced_model_answer,3,921.7727926000953,900.0,1.0241919917778837,1,0,0,2,0,1,0,1,1,1,0,1,0,1,13,0.9230769230769231,0.23076923076923078,0.23076923076923078,0.6923076923076923,0.6153846153846154,0.38461538461538464,0.6858974358974359,0.6282051282051282,0.07692307692307693,0.75,4,0.75,0.75,0.75,0,0,0.25,0.75,1.0,0.25,0.0
deepseek-v4-flash-0731,cost_free,11,24,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2515af67513fda27134f32023690a932572b9026c05a6e4a91a633a2eac8fda5/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r2_s2202.json,be84f6ca6168b18518ad711966557925bc1e0b5035fac9f34d73d812030709d8,173503,17,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,aborted,forced_model_answer,2,0.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0.0,0.0,0,,7,0,0,0,0,0,0,1.0,1.0,0,
deepseek-v4-flash-0731,cost_tight,5,8,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_26398ea546dee02fcde94241db784b1b05c0bb83a5487dbaacd4b644d0a00bda/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r2_s2202.json,5d638a6a059d581f0912657ecbaa120913ed32639c7cd530a7f8eacb7bc25e2c,121448,17,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.058823529411764705,0.07142857142857142,3,2,2,1,1,2,2,0,1,1,0,time_budget_exceeded,forced_model_answer,4,916.430806061253,900.0,1.0182564511791699,1,0,0,1,1,1,0,1,0,1,0,1,0,0,4,0.5,0.5,0.25,0.25,0.5,0,0.75,0.625,0,0.5,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0,0,0.07692307692307693,0.9230769230769231,1.0,0.07692307692307693,0.0
deepseek-v4-flash-0731,cost_free,10,23,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_26d74b31b05d0f68d4d9b2fe370748fd6791e348c1e9d37b8efe247ad8f28e2a/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_10_r2_s2202.json,62159683ed6798edf18bd46805cfff5df01c97f7d7ff21231620ffe64d3c5680,560781,17,0.0,0.0,0.0,0.0,,30,30,11,19,26,4,10,6,14,1,1,max_steps_reached,,30,9076.905264807865,,,,,0,11,19,10,6,14,1,0,0,0,1,26,11,0,0,0,0,1,0,0.0,0.0,0.7272727272727273,,6,0,0,0,0,0,0,1.0,1.0,0.5,
deepseek-v4-flash-0731,cost_tight,2,4,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_278366d665de633efda8ee12a5a994ed448e8349906b0ce7a887b48def6709eb/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_2_r0_s2200.json,a43fb1e3473d81880912b60497125521b090c330f8305e08700f38bdc7feea6b,137642,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,1,1,1,0,0,1,0,0,1,1,1,aborted,forced_model_answer,3,304.2015711776912,900.0,0.33800174575299025,0,1,0,1,0,0,0,1,1,0,0,0,0,0,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.16666666666666666,0,0.8333333333333334,0.8333333333333334,0,0.0,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,0,0,0.18181818181818182,0.8181818181818182,1.0,0.09090909090909091,0.0
deepseek-v4-flash-0731,cost_free,6,11,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_29f2aae074929bcbf44cc70b2c978eb179a3e445d316e28716b2d205aee6f844/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r1_s2201.json,97ebaf475c5a735c43eca86dfec61b7d075b4e6c1403962aefae1dbd241299fc,156388,17,0.0,0.0,0.0,0.0,,11,11,7,4,10,1,6,3,2,1,0,empty_model_response,,13,3239.9017238244414,,,,,0,7,4,6,3,2,0,0,0,0,0,10,10,0,0,0,0,1,0,0.0,0.0,0.6,,7,0,0,0,0,0,0,1.0,1.0,0.14285714285714285,
deepseek-v4-flash-0731,cost_tight,8,21,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2cfdaf9197306639b27b47d84e9f78423e93bae25a94dc250fe9afc80b453854/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1,173537,17,1.0,0.29411764705882354,0.29411764705882354,0.7058823529411765,0.7058823529411765,3,2,2,1,2,1,0,1,2,1,1,time_budget_exceeded,forced_model_answer,4,928.0569701176137,900.0,1.0311744112417929,1,0,0,2,0,0,0,2,1,1,0,1,0,1,12,1,0,0,1,0.9166666666666666,0.08333333333333333,0.9444444444444444,0.5499999999999999,0.08333333333333333,1.0,5,1,1,1,0,0,0,1.0,1.0,0.2,0.0
deepseek-v4-flash-0731,cost_moderate,7,18,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2d390ec9e9ad85933665d30920b2d06fe8ab8bb092122e800213d44d8c40ff3a/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_7_r1_s2201.json,e8a0e3eb0813492354db9c05efdbf3d7cd362ef84f9664e1e6a61f57291fd9d8,181776,17,1.0,0.8823529411764706,0.8823529411764706,0.11764705882352941,0.11764705882352941,10,9,7,3,4,6,6,1,3,1,1,time_budget_exceeded,forced_model_answer,11,3045.311280041933,3000.0,1.0151037600139776,1,0,0,6,3,6,0,3,0,1,0,1,0,3,5,1,0.6,0.6,0.4,0.4,0,1.0,0.8,0.6,0.4,12,1,1,1,0,0,0,1.0,1.0,0.25,0.0
deepseek-v4-flash-0731,cost_moderate,6,11,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2d49befb79f83c308748de5184480bd6cd0030fa15b295f77b8ddbe7362ad0fe/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,8d6943cb2c2c2e24075a39eb0f077583fe26c40e478b44a48486045e119f391b,178604,17,0.9411764705882353,0.6470588235294118,0.6470588235294118,0.29411764705882354,0.3125,10,10,4,6,0,10,4,0,6,1,0,natural_answer,natural_model_answer,13,2998.5092844627798,3000.0,0.9995030948209266,1,0,0,4,6,4,0,6,0,0,1,0,0,0,10,1,0.5,0.5,0.5,0.4,0.1,0.95,0.81,0,0.5,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0,0.14285714285714285,0.8571428571428571,1.0,0.5714285714285714,0.0
deepseek-v4-flash-0731,cost_moderate,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3086b33423518cd25fa71228f738c80694b25dacea8d73c8ebd02ae5e5ea472a/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,ac38046a3c21c7911ba157f892e3038de7b9f334f9b252fa042683d5248f3ad5,138826,17,0.8823529411764706,0.7058823529411765,0.7058823529411765,0.17647058823529413,0.2,10,10,4,6,10,0,4,3,3,0,0,natural_answer,natural_model_answer,12,2998.2731039449573,3000.0,0.9994243679816525,1,0,0,4,6,4,3,3,0,0,1,0,0,10,14,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.8928571428571429,0.8571428571428571,0.2857142857142857,0.23076923076923078,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.3333333333333333,0.6666666666666666,1.0,0,0.0
deepseek-v4-flash-0731,cost_free,6,11,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_30ac684f74d90d19d8614922cb6144e0e7304515b21a8cda5bfd344d1320b88e/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r0_s2200.json,fcb91c4862002d487594ed468daf658310f7fd1ca0323b8832ff9692eb10b218,245660,17,1.0,1.0,1.0,0.0,0.0,29,29,17,12,16,13,17,6,6,1,0,max_steps_reached,forced_model_answer,30,8680.96460676752,,,,,0,17,12,17,6,6,0,0,0,0,1,16,10,1,1,1,0,0,0,1.0,1.0,1,0.0,7,1,1,1,0,0,0,1.0,1.0,1,0.0
deepseek-v4-flash-0731,cost_free,8,21,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31bccd0f6b791e9ba29ad8685aad60ab1cc9ae7618e611b25ea59c4569fd9606/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,213963,17,1.0,1.0,1.0,0.0,0.0,29,29,13,16,23,6,13,10,6,1,0,max_steps_reached,forced_model_answer,30,8688.374177748337,,,,,0,13,16,13,10,6,0,0,0,0,1,23,12,1,1,1,0,0,0,1.0,1.0,0.8333333333333334,0.0,5,1,1,1,0,0,0,1.0,1.0,0.6,0.0
deepseek-v4-flash-0731,cost_moderate,4,6,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31f76da6a3a8feb9ed8ca600a1afb9e4560cf4494e57157c1754ae4bc73498ea/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_4_r2_s2202.json,9c4e4f551b5fcc7f88110b4389dd383257f97c17470b4004d84abaabdfe2a0b2,137635,17,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.058823529411764705,0.06666666666666667,10,10,8,2,5,5,7,2,1,1,1,natural_answer,natural_model_answer,12,2976.7585518117994,3000.0,0.9922528506039331,1,0,0,8,2,7,2,1,1,0,1,0,0,5,11,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.7727272727272727,0.8181818181818182,0.36363636363636365,0.1111111111111111,6,1,1,1,0,0,0,1.0,1.0,0.6666666666666666,0.0
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_0_r0_s2200.json,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,225501,17,1.0,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.29411764705882354,30,30,12,18,23,7,12,6,12,1,0,max_steps_reached,forced_model_answer,30,9072.357673030347,,,,,0,12,18,12,6,12,0,0,0,0,1,23,13,1,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.8333333333333334,0.7948717948717948,0.6153846153846154,0.38461538461538464,4,1,1,1,0,0,0,1.0,1.0,1,0.0
deepseek-v4-flash-0731,cost_moderate,11,24,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_351d69221e67e2e42b213e3ce586562a96017c522e6485bffcbb97de9c420109/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_11_r1_s2201.json,1b8dc384c9edce64a40629f115c26e27915ebb9afb84b9b20c3361b5e33845f8,269150,17,0.8235294117647058,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.5,10,10,5,5,4,6,4,2,4,1,1,natural_answer,natural_model_answer,12,2974.071747828275,3000.0,0.9913572492760917,1,0,0,5,5,4,2,4,1,0,1,0,0,4,10,1,0.3,0.3,0.7,0.7,0.2,0.9,0.6066666666666667,0.2,0.7,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,0,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,0.0
deepseek-v4-flash-0731,cost_free,9,22,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,33143d651992befdb3cc115d211a6cddc8432b1d5b476175ec6a745708d8611d,196517,17,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,29,29,16,13,24,5,15,9,5,1,1,max_steps_reached,forced_model_answer,30,8688.928288025782,,,,,0,16,13,15,9,5,1,0,0,0,1,24,12,0.8333333333333334,1,0.8333333333333334,0,0,0,1.0,1.0,1,0.0,5,1,1,1,0,0,0,1.0,1.0,0.8,0.0
