model,doc_index,order,hypothesis,gold_evidence_ids,free_first_partial_and_tight_final_ids,free_feedback_calls,free_exact_feedback_seen,free_trace,tight_trace
deepseek-v4-flash-0731,9,0,nda-12,"[23, 27]",[27],4,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fcd8bc323c293bdee56e02a413bc6fa46d944c4231b278643116654424e11a8e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
deepseek-v4-flash-0731,9,0,nda-19,"[16, 17, 64]",[64],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fcd8bc323c293bdee56e02a413bc6fa46d944c4231b278643116654424e11a8e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
deepseek-v4-flash-0731,9,0,nda-17,"[16, 20]",[20],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fcd8bc323c293bdee56e02a413bc6fa46d944c4231b278643116654424e11a8e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
deepseek-v4-flash-0731,9,0,nda-13,"[23, 26]",[26],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fcd8bc323c293bdee56e02a413bc6fa46d944c4231b278643116654424e11a8e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
deepseek-v4-flash-0731,9,0,nda-5,"[16, 19]",[19],1,0,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3803171163305c2080e4285e912e95b1e96cde67ee7f843a71fc36948572d209/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fcd8bc323c293bdee56e02a413bc6fa46d944c4231b278643116654424e11a8e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
deepseek-v4-flash-0731,9,2,nda-19,"[16, 17, 64]",[64],7,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4e8381c2e143095b0d1837206f6e810e74cf92cbd250e1c5df41604dd4f446c2/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_0b66dd3ae5b6cfa4f65d75a408f9542a27866960095d49b05ec8b7afad02901e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r2_s2202.json
deepseek-v4-flash-0731,9,2,nda-12,"[23, 27]",[27],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4e8381c2e143095b0d1837206f6e810e74cf92cbd250e1c5df41604dd4f446c2/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_0b66dd3ae5b6cfa4f65d75a408f9542a27866960095d49b05ec8b7afad02901e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r2_s2202.json
deepseek-v4-flash-0731,9,2,nda-13,"[23, 26]",[26],1,0,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4e8381c2e143095b0d1837206f6e810e74cf92cbd250e1c5df41604dd4f446c2/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_0b66dd3ae5b6cfa4f65d75a408f9542a27866960095d49b05ec8b7afad02901e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r2_s2202.json
deepseek-v4-flash-0731,12,0,nda-12,"[25, 29]",[29],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_51a585a3e56ab13b1c03a734759e70001be82340fc2d51d24ab5364cd0d42bf6/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_12_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9819ac228341f7caa61bf846089254b9ec647f79b83404d0d1c97627cb93b449/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r0_s2200.json
deepseek-v4-flash-0731,12,0,nda-5,"[32, 34]",[34],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_51a585a3e56ab13b1c03a734759e70001be82340fc2d51d24ab5364cd0d42bf6/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_12_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9819ac228341f7caa61bf846089254b9ec647f79b83404d0d1c97627cb93b449/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r0_s2200.json
deepseek-v4-flash-0731,9,1,nda-13,"[23, 26]",[26],6,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5abe31153aff66fefb3927c4a84d67c478633a57692d379e785ffc8333035d35/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_dcfade273c2bb77c2ac3d5a7c3d3f38af5d90cf358b8b4e5b8ccf23151c9d856/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r1_s2201.json
deepseek-v4-flash-0731,9,1,nda-12,"[23, 27]",[27],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5abe31153aff66fefb3927c4a84d67c478633a57692d379e785ffc8333035d35/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_dcfade273c2bb77c2ac3d5a7c3d3f38af5d90cf358b8b4e5b8ccf23151c9d856/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r1_s2201.json
deepseek-v4-flash-0731,9,1,nda-17,"[16, 20]",[20],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5abe31153aff66fefb3927c4a84d67c478633a57692d379e785ffc8333035d35/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_dcfade273c2bb77c2ac3d5a7c3d3f38af5d90cf358b8b4e5b8ccf23151c9d856/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r1_s2201.json
deepseek-v4-flash-0731,9,1,nda-19,"[16, 17, 64]",[64],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5abe31153aff66fefb3927c4a84d67c478633a57692d379e785ffc8333035d35/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_9_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_dcfade273c2bb77c2ac3d5a7c3d3f38af5d90cf358b8b4e5b8ccf23151c9d856/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_9_r1_s2201.json
deepseek-v4-flash-0731,12,1,nda-12,"[25, 29]",[29],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_602180527650a55427da56a9f57ccdbb9e1dd5e2568dab3a43c6c3a3196c1b49/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_12_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_221b111df6f037f77f874c0b84e202b71008ff3bcfa99b66aba9fa305da5c6ad/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r1_s2201.json
deepseek-v4-flash-0731,12,1,nda-4,"[32, 35]",[35],9,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_602180527650a55427da56a9f57ccdbb9e1dd5e2568dab3a43c6c3a3196c1b49/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_12_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_221b111df6f037f77f874c0b84e202b71008ff3bcfa99b66aba9fa305da5c6ad/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r1_s2201.json
deepseek-v4-flash-0731,12,1,nda-5,"[32, 34]",[34],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_602180527650a55427da56a9f57ccdbb9e1dd5e2568dab3a43c6c3a3196c1b49/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_12_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_221b111df6f037f77f874c0b84e202b71008ff3bcfa99b66aba9fa305da5c6ad/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_12_r1_s2201.json
deepseek-v4-flash-0731,10,1,nda-4,"[43, 45]",[45],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_6495315f18c16e97889609a364538340c7cbfa789273102b5ccbee7e89141e1c/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_10_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_62f11fbb8dc69390f194b282438e826183c92d8c34ac5d6c8c9198fed3d262c3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_10_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-13,"[24, 27]",[27],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-10,"[19, 20, 21]",[21],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-12,"[24, 28]",[28],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-3,"[19, 20, 23]",[23],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-2,"[19, 20, 23]",[23],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-19,"[31, 32, 62]",[62],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-20,"[42, 43, 44, 45, 46]","[44, 45]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-4,"[31, 33]",[33],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-5,"[16, 37, 38]","[16, 38]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,8,1,nda-8,"[37, 39]",[39],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b694bb2dd86b838b82b30170ad96cdf6e719c3bc5dd259a02d0b08ff5c549eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_169526d75aad5058b354e85f226ed58da1d735182ccfbb2d82562f0d4fc7a7e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
deepseek-v4-flash-0731,5,2,nda-4,"[9, 10]",[10],5,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_c81c0dc7ca68c672fc001ce3993bae4b1ead5a67518439d6d1d0a6542dda2025/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_5_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_26398ea546dee02fcde94241db784b1b05c0bb83a5487dbaacd4b644d0a00bda/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r2_s2202.json
deepseek-v4-flash-0731,0,2,nda-4,"[44, 49, 50, 53]","[44, 53]",3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fd51347e6b5155fd904f26863cd9bef638191065d47d9d8147a5219b71ebe32d/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_0_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_248cb61039d5a43ba94daef2c426c516c991bf8606faeecd533bd82114378db8/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_0_r2_s2202.json
deepseek-v4-flash-0731,7,2,nda-17,"[24, 25]",[25],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fdf7c644ac0812e5162f4669318d3f9adaa5a48d640066a7d60dbe358a750ce6/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_7_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_f53a2c154b3b3b534f03aa25679326bab16a752712b3e4f5f45d7d7089988642/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_7_r2_s2202.json
deepseek-v4-flash-0731,6,2,nda-12,"[24, 31]",[31],3,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fff1b0def6001fc0cadd5df9cfdf3bf0a875c7f0e9a554891d06bab94558453c/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_a6e25c09c4dee05d80c3a32f77c65e1574b31f78bdaf044ac10680f89a2c3d58/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_6_r2_s2202.json
