model,budget,doc_index,doc_id,order,source_cohort,trace_path,hypothesis,position,gold_label,gold_nonempty,gold_size,submitted_size,valid_hypothesis_submission,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_count,extra_count,overlap_count,missing_any,extra_any,evidence_precision,evidence_recall,feedback_calls,visible_feedback_calls,queried,ever_exact_proposal,submitted_exactly_verified,first_proposal_exact,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,final_changed_from_first,gold_evidence_ids,submitted_evidence_ids,first_visible_evidence_ids,first_visible_feedback_status
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-20,10,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-4,11,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[9, 10]",[10],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-1,12,Contradiction,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[7],[7],[7],Evidence Correct
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-7,13,NotMentioned,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0,0,0,0,0,0,,0,0,0,0,[],[10],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-5,14,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-11,15,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1,1,1,0,0,0,1,0,0,1,[],[],"[3, 7]",Contain Irrelevant Evidences
deepseek-v4-flash-0731,cost_tight,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_003bf9726f8bdf80637a2d44ff7df796ab49434b2f7552cfa5856792c8cad646/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-8,16,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-13,0,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-10,1,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-12,2,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-16,3,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-3,4,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[7],[7],[7],Evidence Correct
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-17,5,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-15,6,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-2,7,Entailment,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[3],[3],[3],Evidence Correct
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-19,8,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-18,9,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-20,10,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-4,11,Entailment,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,5,5,1,1,1,0,1,0,1,1,"[9, 10]","[9, 10]",[10],Evidence Incomplete
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-1,12,Contradiction,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[7],[7],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-7,13,NotMentioned,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0,0,0,0,0,0,,0,0,0,0,[],[10],,
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-5,14,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[],[],[],Evidence Correct
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-11,15,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[],[],"[3, 7]",Contain Irrelevant Evidences
deepseek-v4-flash-0731,cost_moderate,5,8,1,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_022715d8bd846c9f1462b2867e19be9ae4e7b75697e73a5afce983ad889a853c/result/deepseek-v4-flash-0731_cost_moderate/traces-v2/evidence_audit_cc-large_5_r1_s2201.json,nda-8,16,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-19,0,Entailment,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,"[27, 86]","[27, 86]","[27, 86]",Evidence Correct
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-8,1,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[48],[48],[48],Evidence Correct
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-11,2,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[24],[24],[24],Evidence Correct
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-12,3,Entailment,1,3,2,1,1,0,0,1,2,1,1,1,1,0.5,0.3333333333333333,0,0,0,0,0,,0,0,0,0,"[33, 37, 64]","[64, 65]",,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-1,4,Contradiction,1,3,2,1,1,0,0,1,1,0,2,1,0,1.0,0.6666666666666666,0,0,0,0,0,,0,0,0,0,"[15, 16, 17]","[15, 17]",,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-16,5,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[45],[45],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-10,6,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-2,7,Contradiction,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[18],[18],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-15,8,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[57],[57],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-20,9,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[45],[45],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-18,10,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-7,11,Contradiction,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[23],[23],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-13,12,Entailment,1,3,1,1,1,0,0,1,2,0,1,1,0,1.0,0.3333333333333333,0,0,0,0,0,,0,0,0,0,"[33, 36, 64]",[64],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-5,13,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[22],[22],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-17,14,Entailment,1,1,1,1,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,0,0,,0,0,0,0,[45],[44],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-4,15,NotMentioned,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0,0,0,0,0,0,,0,0,0,0,[],[20],,
deepseek-v4-flash-0731,cost_tight,1,2,2,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_02c897ca375824658b84041c9528f796630cbf41dbc53b621c7c79feab46ae85/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_1_r2_s2202.json,nda-3,16,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[15],[15],,
deepseek-v4-flash-0731,cost_free,11,24,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,nda-10,0,Entailment,1,6,6,1,1,1,1,0,0,0,6,0,0,1.0,1.0,8,8,1,1,1,0,1,0,1,1,"[33, 34, 35, 37, 38, 39]","[33, 34, 35, 37, 38, 39]",[39],Evidence Incomplete
deepseek-v4-flash-0731,cost_free,11,24,0,deepseek_original,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_06583c2b1026b83051ad653b5e53088a4c0167cb87fffb8455989fc42a1cd090/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,nda-4,1,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[23],[23],[23],Evidence Correct
