model,task,family,regime,gap0,strict_gap,strict_known,expected,gap0_complete,derivation,source_record
glm-5.3,hpobench:nasbench101:A,nasbench101,cost_tight,85.75664976157574,85.75664976157574,3,3,True,complete_strict_gap_equals_gap0,2438
glm-5.3,hpobench:nasbench101:B,nasbench101,cost_free,97.96934265174197,97.96934265174197,3,3,True,complete_strict_gap_equals_gap0,2440
glm-5.3,hpobench:nasbench101:B,nasbench101,cost_moderate,97.46713768575333,97.46713768575333,3,3,True,complete_strict_gap_equals_gap0,2442
glm-5.3,hpobench:nasbench101:B,nasbench101,cost_tight,89.99519151983051,89.99519151983051,3,3,True,complete_strict_gap_equals_gap0,2444
glm-5.3,hpobench:nasbench101:C,nasbench101,cost_free,99.62391238594967,99.62391238594967,3,3,True,complete_strict_gap_equals_gap0,2446
glm-5.3,hpobench:nasbench101:C,nasbench101,cost_moderate,96.73923897138721,96.73923897138721,3,3,True,complete_strict_gap_equals_gap0,2448
glm-5.3,hpobench:nasbench101:C,nasbench101,cost_tight,96.53248663470089,96.53248663470089,3,3,True,complete_strict_gap_equals_gap0,2450
glm-5.3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,99.39140096130323,99.39140096130323,3,3,True,complete_strict_gap_equals_gap0,2452
glm-5.3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,93.88050920060883,93.88050920060883,3,3,True,complete_strict_gap_equals_gap0,2454
glm-5.3,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,93.65717014610956,93.65717014610956,3,3,True,complete_strict_gap_equals_gap0,2456
glm-5.3,hpobench:nasbench201:cifar100,nasbench201,cost_free,99.17186308023172,99.17186308023172,3,3,True,complete_strict_gap_equals_gap0,2458
glm-5.3,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,99.17186308023172,99.17186308023172,3,3,True,complete_strict_gap_equals_gap0,2460
glm-5.3,hpobench:nasbench201:cifar100,nasbench201,cost_tight,90.98149793966635,90.98149793966635,3,3,True,complete_strict_gap_equals_gap0,2462
glm-5.3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,97.34822839170597,97.34822839170597,3,3,True,complete_strict_gap_equals_gap0,2464
glm-5.3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,96.40818253857485,96.40818253857485,3,3,True,complete_strict_gap_equals_gap0,2466
glm-5.3,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,79.47332575571448,79.47332575571448,3,3,True,complete_strict_gap_equals_gap0,2468
glm-5.3,hpobench:paramnet:adult:steps,paramnet,cost_free,95.60158592858947,95.60158592858947,3,3,True,complete_strict_gap_equals_gap0,2470
glm-5.3,hpobench:paramnet:adult:steps,paramnet,cost_moderate,95.41426525408045,95.41426525408045,3,3,True,complete_strict_gap_equals_gap0,2472
glm-5.3,hpobench:paramnet:adult:steps,paramnet,cost_tight,72.01344351468897,72.01344351468897,3,3,True,complete_strict_gap_equals_gap0,2474
glm-5.3,hpobench:paramnet:higgs:steps,paramnet,cost_free,95.82900839148611,95.82900839148611,3,3,True,complete_strict_gap_equals_gap0,2476
glm-5.3,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,92.26926912954784,92.26926912954784,3,3,True,complete_strict_gap_equals_gap0,2478
glm-5.3,hpobench:paramnet:higgs:steps,paramnet,cost_tight,78.31472925744879,78.31472925744879,3,3,True,complete_strict_gap_equals_gap0,2480
glm-5.3,hpobench:paramnet:letter:steps,paramnet,cost_free,96.68577091732787,96.68577091732787,3,3,True,complete_strict_gap_equals_gap0,2482
glm-5.3,hpobench:paramnet:letter:steps,paramnet,cost_moderate,95.03727230483142,95.03727230483142,3,3,True,complete_strict_gap_equals_gap0,2484
glm-5.3,hpobench:paramnet:letter:steps,paramnet,cost_tight,87.87750339619836,87.87750339619836,3,3,True,complete_strict_gap_equals_gap0,2486
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,nasbench101,cost_free,99.58075287547395,99.58075287547395,3,3,True,complete_strict_gap_equals_gap0,3625
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,nasbench101,cost_moderate,98.19011641106074,98.19011641106074,3,3,True,complete_strict_gap_equals_gap0,3627
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,nasbench101,cost_tight,89.67543089383325,89.67543089383325,3,3,True,complete_strict_gap_equals_gap0,3629
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,nasbench101,cost_free,97.11340578334064,97.11340578334064,3,3,True,complete_strict_gap_equals_gap0,3631
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,nasbench101,cost_moderate,92.6503286732971,92.6503286732971,3,3,True,complete_strict_gap_equals_gap0,3633
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,nasbench101,cost_tight,93.27044773845311,93.27044773845311,3,3,True,complete_strict_gap_equals_gap0,3635
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,nasbench101,cost_free,99.29113936534323,99.29113936534323,3,3,True,complete_strict_gap_equals_gap0,3637
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,nasbench101,cost_moderate,98.69254609675835,98.69254609675835,3,3,True,complete_strict_gap_equals_gap0,3639
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,nasbench101,cost_tight,98.49957615552955,98.49957615552955,3,3,True,complete_strict_gap_equals_gap0,3641
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,99.30206543083482,99.30206543083482,3,3,True,complete_strict_gap_equals_gap0,3643
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,93.21607545281341,93.21607545281341,3,3,True,complete_strict_gap_equals_gap0,3645
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,96.46007564267308,96.46007564267308,3,3,True,complete_strict_gap_equals_gap0,3647
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,nasbench201,cost_free,97.65209532637124,97.65209532637124,3,3,True,complete_strict_gap_equals_gap0,3649
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,100.0,100.0,3,3,True,complete_strict_gap_equals_gap0,3651
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,nasbench201,cost_tight,90.08055777420418,90.08055777420418,3,3,True,complete_strict_gap_equals_gap0,3653
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,98.40051873746863,98.40051873746863,3,3,True,complete_strict_gap_equals_gap0,3655
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,88.5931741258931,88.5931741258931,3,3,True,complete_strict_gap_equals_gap0,3657
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,69.80628647733069,69.80628647733069,3,3,True,complete_strict_gap_equals_gap0,3659
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,paramnet,cost_free,94.59002233887401,94.59002233887401,3,3,True,complete_strict_gap_equals_gap0,3661
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,paramnet,cost_moderate,91.9824424772604,91.9824424772604,3,3,True,complete_strict_gap_equals_gap0,3663
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,paramnet,cost_tight,76.92139571049695,76.92139571049695,3,3,True,complete_strict_gap_equals_gap0,3665
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,paramnet,cost_free,93.99525263666794,93.99525263666794,3,3,True,complete_strict_gap_equals_gap0,3667
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,93.9899555393,93.9899555393,3,3,True,complete_strict_gap_equals_gap0,3669
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,paramnet,cost_tight,65.53323093276968,65.53323093276968,3,3,True,complete_strict_gap_equals_gap0,3671
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,paramnet,cost_free,97.26159678009492,97.26159678009492,3,3,True,complete_strict_gap_equals_gap0,3673
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,paramnet,cost_moderate,98.88568366097324,98.88568366097324,3,3,True,complete_strict_gap_equals_gap0,3675
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,paramnet,cost_tight,91.14290933257679,91.14290933257679,3,3,True,complete_strict_gap_equals_gap0,3677
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,cost_free,33.094441142149954,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,58
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,cost_moderate,64.14010650417727,64.14010650417727,3,3,True,complete_strict_gap_equals_gap0,60
deepseek-v4-flash-0731,hpobench:nasbench101:A,nasbench101,cost_tight,90.12157318441591,90.12157318441591,3,3,True,complete_strict_gap_equals_gap0,62
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,cost_free,86.80291150450755,86.80291150450755,3,3,True,complete_strict_gap_equals_gap0,64
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,cost_moderate,57.66626811847442,57.66626811847442,3,3,True,complete_strict_gap_equals_gap0,66
deepseek-v4-flash-0731,hpobench:nasbench101:B,nasbench101,cost_tight,85.17838770491902,85.17838770491902,3,3,True,complete_strict_gap_equals_gap0,68
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,cost_free,60.41096368564639,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,70
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,cost_moderate,93.82502984351903,93.82502984351903,3,3,True,complete_strict_gap_equals_gap0,72
deepseek-v4-flash-0731,hpobench:nasbench101:C,nasbench101,cost_tight,85.29309312606287,85.29309312606287,3,3,True,complete_strict_gap_equals_gap0,74
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,60.77051492177475,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,76
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,86.13064311457704,86.13064311457704,3,3,True,complete_strict_gap_equals_gap0,78
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,82.31154476532424,82.31154476532424,3,3,True,complete_strict_gap_equals_gap0,80
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,cost_free,94.24854359018077,94.24854359018077,3,3,True,complete_strict_gap_equals_gap0,82
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,87.91466121481024,87.91466121481024,3,3,True,complete_strict_gap_equals_gap0,84
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,nasbench201,cost_tight,90.99059834537809,90.99059834537809,3,3,True,complete_strict_gap_equals_gap0,86
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,89.84189174287503,89.84189174287503,3,3,True,complete_strict_gap_equals_gap0,88
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,63.98683414930385,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,90
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,56.5614606330794,56.5614606330794,3,3,True,complete_strict_gap_equals_gap0,92
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,cost_free,55.6893438247545,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,94
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,cost_moderate,87.3667258799883,87.3667258799883,3,3,True,complete_strict_gap_equals_gap0,96
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,paramnet,cost_tight,48.00896234312598,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,98
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,cost_free,38.22407367323512,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,100
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,92.65792672511434,92.65792672511434,3,3,True,complete_strict_gap_equals_gap0,102
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,paramnet,cost_tight,61.453369643579286,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,104
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,paramnet,cost_free,30.76293903957736,,1,3,True,normal_no_config_zero_as_existing_frozen_gap0,106
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,paramnet,cost_moderate,32.49047336985794,,2,3,True,normal_no_config_zero_as_existing_frozen_gap0,108
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,paramnet,cost_tight,82.36623273655783,82.36623273655783,3,3,True,complete_strict_gap_equals_gap0,110
gpt-5.6-sol,hpobench:nasbench101:A,nasbench101,cost_free,99.43678507668942,99.43678507668942,3,3,True,complete_strict_gap_equals_gap0,2935
gpt-5.6-sol,hpobench:nasbench101:A,nasbench101,cost_moderate,98.87831707910632,98.87831707910632,3,3,True,complete_strict_gap_equals_gap0,2937
gpt-5.6-sol,hpobench:nasbench101:A,nasbench101,cost_tight,96.61437714610061,96.61437714610061,3,3,True,complete_strict_gap_equals_gap0,2939
gpt-5.6-sol,hpobench:nasbench101:B,nasbench101,cost_free,96.36228260254255,96.36228260254255,3,3,True,complete_strict_gap_equals_gap0,2941
gpt-5.6-sol,hpobench:nasbench101:B,nasbench101,cost_moderate,97.09593943417916,97.09593943417916,3,3,True,complete_strict_gap_equals_gap0,2943
gpt-5.6-sol,hpobench:nasbench101:B,nasbench101,cost_tight,95.4626811606237,95.4626811606237,3,3,True,complete_strict_gap_equals_gap0,2945
gpt-5.6-sol,hpobench:nasbench101:C,nasbench101,cost_free,99.3344598176527,99.3344598176527,3,3,True,complete_strict_gap_equals_gap0,2947
gpt-5.6-sol,hpobench:nasbench101:C,nasbench101,cost_moderate,98.99774846758419,98.99774846758419,3,3,True,complete_strict_gap_equals_gap0,2949
gpt-5.6-sol,hpobench:nasbench101:C,nasbench101,cost_tight,99.01547153604999,99.01547153604999,3,3,True,complete_strict_gap_equals_gap0,2951
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,99.77666094550074,99.77666094550074,3,3,True,complete_strict_gap_equals_gap0,2953
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,98.8553873218363,98.8553873218363,3,3,True,complete_strict_gap_equals_gap0,2955
gpt-5.6-sol,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,97.65493971987759,97.65493971987759,3,3,True,complete_strict_gap_equals_gap0,2957
gpt-5.6-sol,hpobench:nasbench201:cifar100,nasbench201,cost_free,98.30732453761647,98.30732453761647,3,3,True,complete_strict_gap_equals_gap0,2959
gpt-5.6-sol,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,94.24854359018069,94.24854359018069,3,3,True,complete_strict_gap_equals_gap0,2961
gpt-5.6-sol,hpobench:nasbench201:cifar100,nasbench201,cost_tight,95.26778902989552,95.26778902989552,3,3,True,complete_strict_gap_equals_gap0,2963
gpt-5.6-sol,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,96.60461023797212,96.60461023797212,3,3,True,complete_strict_gap_equals_gap0,2965
gpt-5.6-sol,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,95.60844207001678,95.60844207001678,3,3,True,complete_strict_gap_equals_gap0,2967
gpt-5.6-sol,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,83.85085309842816,83.85085309842816,3,3,True,complete_strict_gap_equals_gap0,2969
gpt-5.6-sol,hpobench:paramnet:adult:steps,paramnet,cost_free,97.93942317721756,97.93942317721756,3,3,True,complete_strict_gap_equals_gap0,2971
gpt-5.6-sol,hpobench:paramnet:adult:steps,paramnet,cost_moderate,90.92592336414813,90.92592336414813,3,3,True,complete_strict_gap_equals_gap0,2973
gpt-5.6-sol,hpobench:paramnet:adult:steps,paramnet,cost_tight,72.01344351468897,72.01344351468897,3,3,True,complete_strict_gap_equals_gap0,2975
gpt-5.6-sol,hpobench:paramnet:higgs:steps,paramnet,cost_free,94.81320083099271,94.81320083099271,3,3,True,complete_strict_gap_equals_gap0,2977
gpt-5.6-sol,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,97.1469067315903,97.1469067315903,3,3,True,complete_strict_gap_equals_gap0,2979
gpt-5.6-sol,hpobench:paramnet:higgs:steps,paramnet,cost_tight,89.70413390374331,89.70413390374331,3,3,True,complete_strict_gap_equals_gap0,2981
gpt-5.6-sol,hpobench:paramnet:letter:steps,paramnet,cost_free,99.18436652245022,99.18436652245022,3,3,True,complete_strict_gap_equals_gap0,2983
gpt-5.6-sol,hpobench:paramnet:letter:steps,paramnet,cost_moderate,97.74264815186369,97.74264815186369,3,3,True,complete_strict_gap_equals_gap0,2985
gpt-5.6-sol,hpobench:paramnet:letter:steps,paramnet,cost_tight,95.36467427733355,95.36467427733355,3,3,True,complete_strict_gap_equals_gap0,2987
gemini-3.8-flash-medium,hpobench:nasbench101:A,nasbench101,cost_free,99.85603220121546,99.85603220121546,3,3,True,frozen_gap0,1265
gemini-3.8-flash-medium,hpobench:nasbench101:A,nasbench101,cost_moderate,99.04126693194041,99.04126693194041,3,3,True,frozen_gap0,1268
gemini-3.8-flash-medium,hpobench:nasbench101:A,nasbench101,cost_tight,94.2934854020858,94.2934854020858,3,3,True,frozen_gap0,1271
gemini-3.8-flash-medium,hpobench:nasbench101:B,nasbench101,cost_free,98.01737836040152,98.01737836040152,3,3,True,frozen_gap0,1274
gemini-3.8-flash-medium,hpobench:nasbench101:B,nasbench101,cost_moderate,,,2,3,False,frozen_gap0,1277
gemini-3.8-flash-medium,hpobench:nasbench101:B,nasbench101,cost_tight,96.87758538132299,96.87758538132299,3,3,True,frozen_gap0,1280
gemini-3.8-flash-medium,hpobench:nasbench101:C,nasbench101,cost_free,100.12602068392012,100.12602068392012,3,3,True,frozen_gap0,1283
gemini-3.8-flash-medium,hpobench:nasbench101:C,nasbench101,cost_moderate,,,2,3,False,frozen_gap0,1286
gemini-3.8-flash-medium,hpobench:nasbench101:C,nasbench101,cost_tight,,,2,3,False,frozen_gap0,1289
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,nasbench201,cost_free,100.0,100.0,3,3,True,frozen_gap0,1292
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,nasbench201,cost_moderate,99.55332189100149,99.55332189100149,3,3,True,frozen_gap0,1295
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,nasbench201,cost_tight,95.6672219058249,95.6672219058249,3,3,True,frozen_gap0,1298
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,nasbench201,cost_free,100.0,100.0,3,3,True,frozen_gap0,1301
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,nasbench201,cost_moderate,100.0,100.0,3,3,True,frozen_gap0,1304
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,nasbench201,cost_tight,98.58033670896867,98.58033670896867,3,3,True,frozen_gap0,1307
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,nasbench201,cost_free,97.46047285008315,97.46047285008315,3,3,True,frozen_gap0,1310
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,nasbench201,cost_moderate,97.8112361530902,97.8112361530902,3,3,True,frozen_gap0,1313
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,nasbench201,cost_tight,90.36102163068512,90.36102163068512,3,3,True,frozen_gap0,1316
gemini-3.8-flash-medium,hpobench:paramnet:adult:steps,paramnet,cost_free,,,2,3,False,frozen_gap0,1319
gemini-3.8-flash-medium,hpobench:paramnet:adult:steps,paramnet,cost_moderate,87.65146071653024,87.65146071653024,3,3,True,frozen_gap0,1322
gemini-3.8-flash-medium,hpobench:paramnet:adult:steps,paramnet,cost_tight,,,2,3,False,frozen_gap0,1325
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,paramnet,cost_free,96.13463349062079,96.13463349062079,3,3,True,frozen_gap0,1328
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,paramnet,cost_moderate,97.68219467643969,97.68219467643969,3,3,True,frozen_gap0,1331
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,paramnet,cost_tight,92.67382615929098,92.67382615929098,3,3,True,frozen_gap0,1334
gemini-3.8-flash-medium,hpobench:paramnet:letter:steps,paramnet,cost_free,,,2,3,False,frozen_gap0,1337
gemini-3.8-flash-medium,hpobench:paramnet:letter:steps,paramnet,cost_moderate,96.52206972330526,96.52206972330526,3,3,True,frozen_gap0,1340
gemini-3.8-flash-medium,hpobench:paramnet:letter:steps,paramnet,cost_tight,90.34594366138883,90.34594366138883,3,3,True,frozen_gap0,1343
