dimension,model,regime,metric,score,unit,complete,known_units,expected_units,source_file,source_record
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,94.9526938925112,Gap points,True,9,9,absolute_settings.csv,3620
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,77.86584532528114,Gap points,True,9,9,absolute_settings.csv,3623
ParamNet,deepseek-v4-flash-0731,cost_free,gap0,41.55878551252233,Gap points,True,9,9,absolute_settings.csv,50
ParamNet,deepseek-v4-flash-0731,cost_moderate,gap0,70.83837532498686,Gap points,True,9,9,absolute_settings.csv,53
ParamNet,deepseek-v4-flash-0731,cost_tight,gap0,63.942854907754366,Gap points,True,9,9,absolute_settings.csv,56
ParamNet,gpt-5.6-sol,cost_free,gap0,97.31233017688683,Gap points,True,9,9,absolute_settings.csv,2927
ParamNet,gpt-5.6-sol,cost_moderate,gap0,95.27182608253405,Gap points,True,9,9,absolute_settings.csv,2930
ParamNet,gpt-5.6-sol,cost_tight,gap0,85.69408389858862,Gap points,True,9,9,absolute_settings.csv,2933
ParamNet,gemini-3.8-flash-medium,cost_free,gap0,,Gap points,False,7,9,absolute_settings.csv,1256
ParamNet,gemini-3.8-flash-medium,cost_moderate,gap0,93.95190837209174,Gap points,True,9,9,absolute_settings.csv,1259
ParamNet,gemini-3.8-flash-medium,cost_tight,gap0,,Gap points,False,8,9,absolute_settings.csv,1262
NAS101,kimi-k3,cost_free,gap0,98.69201330579891,Gap points,True,9,9,absolute_settings.csv,3254
NAS101,kimi-k3,cost_moderate,gap0,97.85718108169253,Gap points,True,9,9,absolute_settings.csv,3257
NAS101,kimi-k3,cost_tight,gap0,94.96809853403244,Gap points,True,9,9,absolute_settings.csv,3260
NAS101,glm-5.3,cost_free,gap0,99.05747572457256,Gap points,True,9,9,absolute_settings.csv,2408
NAS101,glm-5.3,cost_moderate,gap0,97.73655857169163,Gap points,True,9,9,absolute_settings.csv,2411
NAS101,glm-5.3,cost_tight,gap0,90.76144263870238,Gap points,True,9,9,absolute_settings.csv,2414
NAS101,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.66176600805261,Gap points,True,9,9,absolute_settings.csv,3599
NAS101,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,96.51099706037206,Gap points,True,9,9,absolute_settings.csv,3602
NAS101,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,93.81515159593864,Gap points,True,9,9,absolute_settings.csv,3605
NAS101,deepseek-v4-flash-0731,cost_free,gap0,60.10277211076796,Gap points,True,9,9,absolute_settings.csv,32
NAS101,deepseek-v4-flash-0731,cost_moderate,gap0,71.87713482205692,Gap points,True,9,9,absolute_settings.csv,35
NAS101,deepseek-v4-flash-0731,cost_tight,gap0,86.86435133846592,Gap points,True,9,9,absolute_settings.csv,38
NAS101,gpt-5.6-sol,cost_free,gap0,98.37784249896156,Gap points,True,9,9,absolute_settings.csv,2909
NAS101,gpt-5.6-sol,cost_moderate,gap0,98.3240016602899,Gap points,True,9,9,absolute_settings.csv,2912
NAS101,gpt-5.6-sol,cost_tight,gap0,97.03084328092477,Gap points,True,9,9,absolute_settings.csv,2915
NAS101,gemini-3.8-flash-medium,cost_free,gap0,99.33314374851237,Gap points,True,9,9,absolute_settings.csv,1238
NAS101,gemini-3.8-flash-medium,cost_moderate,gap0,,Gap points,False,7,9,absolute_settings.csv,1241
NAS101,gemini-3.8-flash-medium,cost_tight,gap0,,Gap points,False,8,9,absolute_settings.csv,1244
NAS201,kimi-k3,cost_free,gap0,99.77083456336484,Gap points,True,9,9,absolute_settings.csv,3263
NAS201,kimi-k3,cost_moderate,gap0,97.07662908016032,Gap points,True,9,9,absolute_settings.csv,3266
NAS201,kimi-k3,cost_tight,gap0,94.66056902635921,Gap points,True,9,9,absolute_settings.csv,3269
NAS201,glm-5.3,cost_free,gap0,98.63716414441365,Gap points,True,9,9,absolute_settings.csv,2417
NAS201,glm-5.3,cost_moderate,gap0,96.4868516064718,Gap points,True,9,9,absolute_settings.csv,2420
NAS201,glm-5.3,cost_tight,gap0,88.0373312804968,Gap points,True,9,9,absolute_settings.csv,2423
NAS201,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.45155983155821,Gap points,True,9,9,absolute_settings.csv,3608
NAS201,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,93.9364165262355,Gap points,True,9,9,absolute_settings.csv,3611
NAS201,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,85.4489732980693,Gap points,True,9,9,absolute_settings.csv,3614
NAS201,deepseek-v4-flash-0731,cost_free,gap0,81.62031675161019,Gap points,True,9,9,absolute_settings.csv,41
NAS201,deepseek-v4-flash-0731,cost_moderate,gap0,79.34404615956372,Gap points,True,9,9,absolute_settings.csv,44
NAS201,deepseek-v4-flash-0731,cost_tight,gap0,76.62120124792725,Gap points,True,9,9,absolute_settings.csv,47
NAS201,gpt-5.6-sol,cost_free,gap0,98.22953190702978,Gap points,True,9,9,absolute_settings.csv,2918
NAS201,gpt-5.6-sol,cost_moderate,gap0,96.23745766067792,Gap points,True,9,9,absolute_settings.csv,2921
NAS201,gpt-5.6-sol,cost_tight,gap0,92.25786061606709,Gap points,True,9,9,absolute_settings.csv,2924
NAS201,gemini-3.8-flash-medium,cost_free,gap0,99.15349095002772,Gap points,True,9,9,absolute_settings.csv,1247
NAS201,gemini-3.8-flash-medium,cost_moderate,gap0,99.12151934803056,Gap points,True,9,9,absolute_settings.csv,1250
NAS201,gemini-3.8-flash-medium,cost_tight,gap0,94.8695267484929,Gap points,True,9,9,absolute_settings.csv,1253
