cohort_id,execution_complete,family,item,metrics_json,model,order,outer_repeat,provider_cohort,regime,scenario,score_complete,seed,slot_id,strategy,system
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:7,"{""evidence_acc"": 1.0, ""label_acc"": 1.0}",qwen3.8-2.4t-a95b-fp8,1,0,preserved_historical_provider,cost_free,evidence_audit,True,2201,bbd9e7d8a34bfb0c76395570,single,expgym
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:12,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,c52650f11387ce2601b652b9,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:7,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,c71943652fd8b85b914b258f,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:5,"{""evidence_acc"": 0.8823529411764706, ""label_acc"": 0.8235294117647058}",qwen3.8-2.4t-a95b-fp8,2,0,preserved_historical_provider,cost_tight,evidence_audit,True,2202,d54da21543d4c5d5267cf280,single,expgym
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:10,"{""evidence_acc_mi"": 0.38235294117647056, ""evidence_acc_mv"": 0.4117647058823529, ""label_acc_mi"": 0.8235294117647058, ""label_acc_mv"": 0.8823529411764706}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,d67c769bf1e64fefbbc93e94,cached,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:4,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,e0d5f2259519e3141c3b434d,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:3,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.9411764705882353, ""label_acc_mv"": 0.9411764705882353}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,e2b70fd229e0ad9833f041fc,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:0,"{""evidence_acc_mi"": 0.75, ""evidence_acc_mv"": 0.7647058823529411, ""label_acc_mi"": 0.9558823529411764, ""label_acc_mv"": 1.0}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,e4a3de7414124ba25ae424c0,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:1,"{""evidence_acc_mi"": 0.6470588235294118, ""evidence_acc_mv"": 0.6470588235294118, ""label_acc_mi"": 0.8823529411764706, ""label_acc_mv"": 0.8823529411764706}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_tight,evidence_audit,True,2200,efdd63d3b5c0599458713c62,poolact,poolact
terminal_protocol_control_20260918_qwen,True,evidence_audit,cc-large:0,"{""evidence_acc_mi"": 0.8088235294117647, ""evidence_acc_mv"": 0.8235294117647058, ""label_acc_mi"": 0.9558823529411764, ""label_acc_mv"": 0.9411764705882353}",qwen3.8-2.4t-a95b-fp8,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,f89ad4badf4c758833244ebb,poolact,poolact
terminal_protocol_control_20260918_deepseek,True,evidence_audit,cc-large:5,"{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.8823529411764706, ""label_acc_mv"": 0.8823529411764706}",deepseek-v4-flash-0731,,0,preserved_historical_provider,cost_moderate,evidence_audit,True,2200,fd9c7b49ec22cbc344c16ad4,poolact,poolact
