dimension,model,regime,metric,old_score,new_score,old_rank,new_rank,rank_changed,score_changed
Search whatis,deepseek-v4-flash-0731,cost_tight,f1,0.15926916221033868,0.15926916221033868,1,1,False,False
Search whatis,gpt-5.6-sol,cost_tight,f1,0.13868092691622103,0.13868092691622103,5,5,False,False
Search whatis,gemini-3.8-flash-medium,cost_tight,f1,0.1484848484848485,0.1484848484848485,2,2,False,False
Audit EA,kimi-k3,cost_free,evidence_acc,0.894419306184012,0.9200603318250377,3,2,True,True
Audit EA,glm-5.3,cost_free,evidence_acc,0.6847662141779789,0.8642533936651584,5,4,True,True
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_free,evidence_acc,0.9185520361990951,0.918552036199095,2,3,True,False
Audit EA,deepseek-v4-flash-0731,cost_free,evidence_acc,0.6395173453996983,0.6395173453996983,6,6,False,False
Audit EA,gpt-5.6-sol,cost_free,evidence_acc,0.7043740573152337,0.7043740573152337,4,5,True,False
Audit EA,gemini-3.8-flash-medium,cost_free,evidence_acc,0.975867269984917,0.975867269984917,1,1,False,False
Audit EA,kimi-k3,cost_moderate,evidence_acc,0.6877828054298643,0.7194570135746606,3,4,True,True
Audit EA,glm-5.3,cost_moderate,evidence_acc,0.6787330316742082,0.751131221719457,4,2,True,True
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_moderate,evidence_acc,0.7496229260935142,0.7496229260935143,2,3,True,False
Audit EA,deepseek-v4-flash-0731,cost_moderate,evidence_acc,0.5867269984917044,0.5867269984917044,6,6,False,False
Audit EA,gpt-5.6-sol,cost_moderate,evidence_acc,0.6591251885369532,0.6591251885369532,5,5,False,False
Audit EA,gemini-3.8-flash-medium,cost_moderate,evidence_acc,0.828054298642534,0.8280542986425339,1,1,False,False
Audit EA,kimi-k3,cost_tight,evidence_acc,0.5158371040723982,0.526395173453997,4,4,False,True
Audit EA,glm-5.3,cost_tight,evidence_acc,0.502262443438914,0.5158371040723982,5,5,False,True
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_tight,evidence_acc,0.5837104072398189,0.583710407239819,2,2,False,False
Audit EA,deepseek-v4-flash-0731,cost_tight,evidence_acc,0.47511312217194573,0.4751131221719457,6,6,False,False
Audit EA,gpt-5.6-sol,cost_tight,evidence_acc,0.5414781297134238,0.5414781297134238,3,3,False,False
Audit EA,gemini-3.8-flash-medium,cost_tight,evidence_acc,0.7209653092006033,0.7209653092006033,1,1,False,False
Audit LA,kimi-k3,cost_free,label_acc,0.9260935143288085,0.9502262443438914,3,2,True,True
Audit LA,glm-5.3,cost_free,label_acc,0.6923076923076923,0.8687782805429864,5,4,True,True
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_free,label_acc,0.947209653092006,0.947209653092006,2,3,True,False
Audit LA,deepseek-v4-flash-0731,cost_free,label_acc,0.6681749622926093,0.6681749622926093,6,6,False,False
Audit LA,gpt-5.6-sol,cost_free,label_acc,0.8597285067873303,0.8597285067873303,4,5,True,False
Audit LA,gemini-3.8-flash-medium,cost_free,label_acc,0.9728506787330317,0.9728506787330317,1,1,False,False
Audit LA,kimi-k3,cost_moderate,label_acc,0.8536953242835595,0.8959276018099547,4,2,True,True
Audit LA,glm-5.3,cost_moderate,label_acc,0.7601809954751131,0.8521870286576169,5,5,False,True
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_moderate,label_acc,0.8823529411764706,0.8823529411764706,2,3,True,False
Audit LA,deepseek-v4-flash-0731,cost_moderate,label_acc,0.7556561085972852,0.755656108597285,6,6,False,False
Audit LA,gpt-5.6-sol,cost_moderate,label_acc,0.8793363499245852,0.8793363499245852,3,4,True,False
Audit LA,gemini-3.8-flash-medium,cost_moderate,label_acc,0.9230769230769231,0.923076923076923,1,1,False,False
Audit LA,kimi-k3,cost_tight,label_acc,0.7948717948717948,0.8144796380090498,3,3,False,True
Audit LA,glm-5.3,cost_tight,label_acc,0.7360482654600301,0.7586726998491704,5,5,False,True
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_tight,label_acc,0.8310708898944194,0.8310708898944192,2,2,False,False
Audit LA,deepseek-v4-flash-0731,cost_tight,label_acc,0.702865761689291,0.702865761689291,6,6,False,False
Audit LA,gpt-5.6-sol,cost_tight,label_acc,0.7873303167420814,0.7873303167420814,4,4,False,False
Audit LA,gemini-3.8-flash-medium,cost_tight,label_acc,0.8823529411764706,0.8823529411764706,1,1,False,False
ParamNet,kimi-k3,cost_free,gap0,97.07588307631181,97.07588307631181,2,2,False,False
ParamNet,glm-5.3,cost_free,gap0,96.03878841246782,96.03878841246782,3,3,False,False
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,95.2822905852123,95.2822905852123,5,5,False,False
ParamNet,deepseek-v4-flash-0731,cost_free,gap0,41.55878551252233,41.55878551252233,6,6,False,False
ParamNet,gpt-5.6-sol,cost_free,gap0,97.31233017688683,97.31233017688683,1,1,False,False
ParamNet,gemini-3.8-flash-medium,cost_free,gap0,95.99663483198155,95.99663483198155,4,4,False,False
ParamNet,kimi-k3,cost_moderate,gap0,87.7565007299784,87.7565007299784,5,5,False,False
ParamNet,glm-5.3,cost_moderate,gap0,94.24026889615324,94.24026889615324,3,3,False,False
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,94.9526938925112,94.9526938925112,2,2,False,False
ParamNet,deepseek-v4-flash-0731,cost_moderate,gap0,70.83837532498686,70.83837532498686,6,6,False,False
ParamNet,gpt-5.6-sol,cost_moderate,gap0,95.27182608253405,95.27182608253405,1,1,False,False
ParamNet,gemini-3.8-flash-medium,cost_moderate,gap0,93.95190837209174,93.95190837209174,4,4,False,False
ParamNet,kimi-k3,cost_tight,gap0,79.42248331232413,79.42248331232413,3,3,False,False
ParamNet,glm-5.3,cost_tight,gap0,79.40189205611205,79.40189205611205,4,4,False,False
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,77.86584532528114,77.86584532528114,5,5,False,False
ParamNet,deepseek-v4-flash-0731,cost_tight,gap0,63.942854907754366,63.942854907754366,6,6,False,False
ParamNet,gpt-5.6-sol,cost_tight,gap0,85.69408389858862,85.69408389858862,2,2,False,False
ParamNet,gemini-3.8-flash-medium,cost_tight,gap0,90.08387085324293,90.08387085324293,1,1,False,False
NAS101,kimi-k3,cost_free,gap0,98.69201330579891,98.69201330579891,3,3,False,False
NAS101,glm-5.3,cost_free,gap0,99.05747572457256,99.05747572457256,2,2,False,False
NAS101,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.66176600805261,98.66176600805261,4,4,False,False
NAS101,deepseek-v4-flash-0731,cost_free,gap0,60.10277211076796,60.10277211076796,6,6,False,False
NAS101,gpt-5.6-sol,cost_free,gap0,98.37784249896156,98.37784249896156,5,5,False,False
NAS101,gemini-3.8-flash-medium,cost_free,gap0,99.33314374851237,99.33314374851237,1,1,False,False
NAS101,kimi-k3,cost_moderate,gap0,97.85718108169253,97.85718108169253,3,3,False,False
NAS101,glm-5.3,cost_moderate,gap0,97.73655857169163,97.73655857169163,4,4,False,False
NAS101,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,96.51099706037206,96.51099706037206,5,5,False,False
NAS101,deepseek-v4-flash-0731,cost_moderate,gap0,71.87713482205692,71.87713482205692,6,6,False,False
NAS101,gpt-5.6-sol,cost_moderate,gap0,98.3240016602899,98.3240016602899,2,2,False,False
NAS101,gemini-3.8-flash-medium,cost_moderate,gap0,98.74444626689534,98.74444626689534,1,1,False,False
NAS101,kimi-k3,cost_tight,gap0,94.96809853403244,94.96809853403244,3,3,False,False
NAS101,glm-5.3,cost_tight,gap0,90.76144263870238,90.76144263870238,5,5,False,False
NAS101,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,93.81515159593864,93.81515159593863,4,4,False,False
NAS101,deepseek-v4-flash-0731,cost_tight,gap0,86.86435133846592,86.86435133846592,6,6,False,False
NAS101,gpt-5.6-sol,cost_tight,gap0,97.03084328092477,97.03084328092477,1,1,False,False
NAS101,gemini-3.8-flash-medium,cost_tight,gap0,96.62054943377423,96.62054943377423,2,2,False,False
NAS201,kimi-k3,cost_free,gap0,99.77083456336484,99.77083456336484,1,1,False,False
NAS201,glm-5.3,cost_free,gap0,98.63716414441365,98.63716414441365,3,3,False,False
NAS201,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.45155983155821,98.45155983155823,4,4,False,False
NAS201,deepseek-v4-flash-0731,cost_free,gap0,81.62031675161019,81.62031675161019,6,6,False,False
NAS201,gpt-5.6-sol,cost_free,gap0,98.22953190702978,98.22953190702978,5,5,False,False
NAS201,gemini-3.8-flash-medium,cost_free,gap0,99.15349095002772,99.15349095002772,2,2,False,False
NAS201,kimi-k3,cost_moderate,gap0,97.07662908016032,97.07662908016032,2,2,False,False
NAS201,glm-5.3,cost_moderate,gap0,96.4868516064718,96.4868516064718,3,3,False,False
NAS201,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,93.9364165262355,93.9364165262355,5,5,False,False
NAS201,deepseek-v4-flash-0731,cost_moderate,gap0,79.34404615956372,79.34404615956372,6,6,False,False
NAS201,gpt-5.6-sol,cost_moderate,gap0,96.23745766067792,96.23745766067792,4,4,False,False
NAS201,gemini-3.8-flash-medium,cost_moderate,gap0,99.12151934803056,99.12151934803056,1,1,False,False
NAS201,kimi-k3,cost_tight,gap0,94.66056902635921,94.66056902635921,2,2,False,False
NAS201,glm-5.3,cost_tight,gap0,88.0373312804968,88.0373312804968,4,4,False,False
NAS201,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,85.4489732980693,85.44897329806932,5,5,False,False
NAS201,deepseek-v4-flash-0731,cost_tight,gap0,76.62120124792725,76.62120124792725,6,6,False,False
NAS201,gpt-5.6-sol,cost_tight,gap0,92.25786061606709,92.25786061606709,3,3,False,False
NAS201,gemini-3.8-flash-medium,cost_tight,gap0,94.8695267484929,94.8695267484929,1,1,False,False
