model,system,regime,strategy,slots,code_commit,source_tree_sha256,graph_protocol,backend,api_protocol,max_context_tokens,temperature,top_p,top_k,reasoning_effort,chat_template_kwargs,max_tokens_config,max_steps,max_evals,numpy_version,configspace_version,planned_action,prefix_collision_slots,ambiguous_path_slots,same_name_selfloop_slots,source_tree_verified_slots,full_history_estimate_max
glm-5.3,poolact,cost_tight,cached,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,118239
glm-5.3,poolact,cost_tight,naive,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,106533
glm-5.3,poolact,cost_tight,poolact,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""None""]","[""max""]","[""{\""clear_thinking\"":false,\""reasoning_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",9,0,0,9,76605
gpt-5.6-sol,expgym,cost_free,single,27,"[""ccaf6adb8f7e82fa0f33d97c06cf5f7a33592122""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""single""]","[""sub2api""]","[""responses""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gpt-5.6-sol,expgym,cost_moderate,single,27,"[""ccaf6adb8f7e82fa0f33d97c06cf5f7a33592122""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""single""]","[""sub2api""]","[""responses""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gpt-5.6-sol,expgym,cost_tight,single,27,"[""ccaf6adb8f7e82fa0f33d97c06cf5f7a33592122""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""single""]","[""sub2api""]","[""responses""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""{}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
gpt-5.6-sol,poolact,cost_moderate,cached,9,"[""None""]","[""88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b""]","[""paper-graph-lock-v4""]","[""sub2api""]","[""responses""]","[""262144""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,37141
gpt-5.6-sol,poolact,cost_moderate,naive,9,"[""None""]","[""88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b""]","[""paper-graph-lock-v4""]","[""sub2api""]","[""responses""]","[""262144""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,33428
gpt-5.6-sol,poolact,cost_moderate,poolact,9,"[""None""]","[""88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b""]","[""paper-graph-lock-v4""]","[""sub2api""]","[""responses""]","[""262144""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",9,0,0,9,109159
gpt-5.6-sol,poolact,cost_tight,cached,9,"[""None""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""paper-graph-lock-v3""]","[""sub2api""]","[""responses""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,15054
gpt-5.6-sol,poolact,cost_tight,naive,9,"[""None""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""paper-graph-lock-v3""]","[""sub2api""]","[""responses""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,11862
gpt-5.6-sol,poolact,cost_tight,poolact,9,"[""None""]","[""c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c""]","[""paper-graph-lock-v3""]","[""sub2api""]","[""responses""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""medium""]","[""null""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",9,8,7,9,24337
kimi-k3,expgym,cost_free,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
kimi-k3,expgym,cost_moderate,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
kimi-k3,expgym,cost_tight,single,27,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
kimi-k3,poolact,cost_moderate,cached,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,33068
kimi-k3,poolact,cost_moderate,naive,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,34962
kimi-k3,poolact,cost_moderate,poolact,9,"[""None""]","[""0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",9,9,9,9,106420
kimi-k3,poolact,cost_tight,cached,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,23354
kimi-k3,poolact,cost_tight,naive,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,22763
kimi-k3,poolact,cost_tight,poolact,9,"[""None""]","[""e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78""]","[""paper-graph-lock-v4""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""1.0""]","[""None""]","[""max""]","[""{\""thinking\"":true,\""thinking_effort\"":\""max\""}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",9,0,0,9,38958
qwen3.8-2.4t-a95b-fp8,expgym,cost_free,single,27,"[""21b4de99b2a014874e3cec1595eaa40762b0c564""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
qwen3.8-2.4t-a95b-fp8,expgym,cost_moderate,single,27,"[""21b4de99b2a014874e3cec1595eaa40762b0c564""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
qwen3.8-2.4t-a95b-fp8,expgym,cost_tight,single,27,"[""21b4de99b2a014874e3cec1595eaa40762b0c564""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""single""]","[""openai""]","[""chat_completions""]","[""None""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""1.18.5"",""2.4.6""]","[""0.4.21"",""1.2.1""]","[""reuse_with_full_rescore""]",0,0,0,27,0
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,cached,9,"[""None""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore"",""rerun""]",0,0,0,9,28505
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,naive,9,"[""None""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,23646
qwen3.8-2.4t-a95b-fp8,poolact,cost_moderate,poolact,9,"[""None""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""rerun""]",9,9,9,9,180040
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,cached,9,"[""None""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,25653
qwen3.8-2.4t-a95b-fp8,poolact,cost_tight,naive,9,"[""None""]","[""58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251""]","[""paper-graph-lock-v3""]","[""openai""]","[""chat_completions""]","[""131072""]","[""1.0""]","[""0.95""]","[""20""]","[""xhigh""]","[""{\""enable_thinking\"":true,\""preserve_thinking\"":true}""]","[""32768""]","[""30""]","[""30""]","[""2.4.6""]","[""1.2.1""]","[""conditional_reuse_with_full_rescore""]",0,0,0,9,16451
