budget,model,gold_subset,n_hypothesis_presentations,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_any,extra_any,queried,ever_exact_proposal,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,queried_first_wrong,queried_first_correct
cost_free,qwen3.8-2.4t-a95b-fp8,nonempty,360,339,320,303,36,36,15,305,297,151,0,150,155,150
cost_free,qwen3.8-2.4t-a95b-fp8,empty,303,289,289,289,0,0,14,266,254,130,0,127,134,132
cost_moderate,ALL,all,3978,3351,2778,2699,652,821,421,1257,812,728,36,509,851,406
cost_moderate,ALL,nonempty,2160,1848,1275,1196,652,821,205,716,576,288,27,287,370,346
cost_moderate,ALL,empty,1818,1503,1503,1503,0,0,216,541,236,440,9,222,481,60
cost_moderate,deepseek-v4-flash-0731,all,663,501,389,375,126,187,76,186,157,90,15,92,111,75
cost_moderate,deepseek-v4-flash-0731,nonempty,360,269,157,143,126,187,38,111,95,40,10,50,56,55
cost_moderate,deepseek-v4-flash-0731,empty,303,232,232,232,0,0,38,75,62,50,5,42,55,20
cost_moderate,gemini-3.8-flash-medium,all,663,612,549,537,75,92,43,263,210,121,0,80,127,136
cost_moderate,gemini-3.8-flash-medium,nonempty,360,327,264,252,75,92,25,186,174,56,0,53,61,125
cost_moderate,gemini-3.8-flash-medium,empty,303,285,285,285,0,0,18,77,36,65,0,27,66,11
cost_moderate,glm-5.3,all,663,504,450,441,63,132,46,265,90,157,11,77,212,53
cost_moderate,glm-5.3,nonempty,360,276,222,213,63,132,27,148,77,66,10,51,101,47
cost_moderate,glm-5.3,empty,303,228,228,228,0,0,19,117,13,91,1,26,111,6
cost_moderate,gpt-5.6-sol,all,663,583,437,424,159,161,95,141,58,104,0,49,116,25
cost_moderate,gpt-5.6-sol,nonempty,360,331,185,172,159,161,44,62,46,32,0,31,40,22
cost_moderate,gpt-5.6-sol,empty,303,252,252,252,0,0,51,79,12,72,0,18,76,3
cost_moderate,kimi-k3,all,663,566,456,442,124,146,69,191,131,128,10,106,148,43
cost_moderate,kimi-k3,nonempty,360,313,203,189,124,146,29,84,69,38,7,44,50,34
cost_moderate,kimi-k3,empty,303,253,253,253,0,0,40,107,62,90,3,62,98,9
cost_moderate,qwen3.8-2.4t-a95b-fp8,all,663,585,497,480,105,103,92,211,166,128,0,105,137,74
cost_moderate,qwen3.8-2.4t-a95b-fp8,nonempty,360,332,244,227,105,103,42,125,115,56,0,58,62,63
cost_moderate,qwen3.8-2.4t-a95b-fp8,empty,303,253,253,253,0,0,50,86,51,72,0,47,75,11
cost_tight,ALL,all,3978,3139,2214,2153,986,1131,668,445,147,303,9,89,378,67
cost_tight,ALL,nonempty,2160,1850,925,864,986,1131,297,161,77,57,1,24,102,59
cost_tight,ALL,empty,1818,1289,1289,1289,0,0,371,284,70,246,8,65,276,8
cost_tight,deepseek-v4-flash-0731,all,663,466,315,306,160,224,91,67,28,36,5,22,56,11
cost_tight,deepseek-v4-flash-0731,nonempty,360,266,115,106,160,224,46,28,11,8,1,8,21,7
cost_tight,deepseek-v4-flash-0731,empty,303,200,200,200,0,0,45,39,17,28,4,14,35,4
cost_tight,gemini-3.8-flash-medium,all,663,585,478,468,117,133,78,83,28,58,0,6,61,22
cost_tight,gemini-3.8-flash-medium,nonempty,360,323,216,206,117,133,37,41,26,17,0,4,19,22
cost_tight,gemini-3.8-flash-medium,empty,303,262,262,262,0,0,41,42,2,41,0,2,42,0
cost_tight,glm-5.3,all,663,488,333,324,164,209,90,98,14,64,1,2,86,12
cost_tight,glm-5.3,nonempty,360,294,139,130,164,209,40,33,11,12,0,1,23,10
cost_tight,glm-5.3,empty,303,194,194,194,0,0,50,65,3,52,1,1,63,2
cost_tight,gpt-5.6-sol,all,663,522,359,349,173,193,126,65,9,48,1,3,58,7
cost_tight,gpt-5.6-sol,nonempty,360,311,148,138,173,193,57,18,7,5,0,2,12,6
cost_tight,gpt-5.6-sol,empty,303,211,211,211,0,0,69,47,2,43,1,1,46,1
cost_tight,kimi-k3,all,663,527,342,334,193,203,139,65,35,44,2,28,56,9
cost_tight,kimi-k3,nonempty,360,323,138,130,193,203,58,19,11,6,0,4,11,8
cost_tight,kimi-k3,empty,303,204,204,204,0,0,81,46,24,38,2,24,45,1
cost_tight,qwen3.8-2.4t-a95b-fp8,all,663,551,387,372,179,169,144,67,33,53,0,28,61,6
cost_tight,qwen3.8-2.4t-a95b-fp8,nonempty,360,333,169,154,179,169,59,22,11,9,0,5,16,6
cost_tight,qwen3.8-2.4t-a95b-fp8,empty,303,218,218,218,0,0,85,45,22,44,0,23,45,0
