model,source,question_id,family,free_score,tight_score,score_change,free_visible,tight_visible,free_unique_articles,tight_unique_articles,shared_articles,common_article_prefix,same_first_article,tight_is_free_prefix,tight_term,free_term,free_slot_id,tight_slot_id
deepseek-v4-flash-0731,phantom_seed3,17,whois,0.0,0.0,0.0,29,4,11,3,3,1,True,False,time_budget_exceeded,max_steps_reached,95d1546ec11dd84d93f2bc08,9d9be9bb46fc3083f4335472
deepseek-v4-flash-0731,phantom_seed3,26,whatis,0.0,0.0,0.0,29,3,19,3,3,3,True,True,time_budget_exceeded,max_steps_reached,f53d5f8edd27889866d553e9,c9b11a3fd629d39ab2e2abb2
deepseek-v4-flash-0731,phantom_seed3,29,whatis,1.0,1.0,0.0,3,3,3,3,3,3,True,True,natural_answer,natural_answer,8a24aafe09a8cc415aa2defe,5a7b2b0bb739fbeaff678d77
deepseek-v4-flash-0731,phantom_seed2,31,whatis,0.33333333333333337,0.33333333333333337,0.0,15,6,7,3,3,2,True,False,time_budget_exceeded,natural_answer,17cfdf64824b080cbffc3c77,fdadbb01ac5ebb1c9ff8fa94
deepseek-v4-flash-0731,phantom_seed3,9,whois,0.8,0.0,-0.8,29,4,23,3,3,1,True,False,time_budget_exceeded,max_steps_reached,73f68bbf2b2d4d79d239971a,2598905f377fad0fb9dc49b2
deepseek-v4-flash-0731,phantom_seed2,18,whois,0.0,0.0,0.0,29,7,11,2,2,5,True,True,time_budget_exceeded,max_steps_reached,65235a16d7698ff23b6e63d1,a8c8d5e9c6b7ba04b9e8bdc7
deepseek-v4-flash-0731,phantom_seed3,8,whois,0.0,0.0,0.0,28,3,26,3,3,1,True,False,time_budget_exceeded,natural_answer,55a893d7f0dd1b94e8383b51,fe009ec9d5cccfc24e89bb4e
deepseek-v4-flash-0731,phantom_seed2,13,whois,0.0,0.0,0.0,30,3,11,2,2,2,True,False,time_budget_exceeded,max_steps_reached,0389363b604c89d0cb66a85a,c4d4b53f564801d371ea04f9
deepseek-v4-flash-0731,phantom_seed3,16,whois,0.0,0.0,0.0,7,14,2,3,2,2,True,False,time_budget_exceeded,empty_model_response,0dafa7bfede856ed9013b970,42bd77849204a320cd0a31e9
deepseek-v4-flash-0731,phantom_seed3,15,whois,0.0,0.0,0.0,24,2,8,2,2,1,True,False,time_budget_exceeded,natural_answer,975bc895b6ff5aab1403a6aa,0e6869103dc9549a3e273cb0
deepseek-v4-flash-0731,phantom_seed3,11,whois,0.0,1.0,1.0,7,5,4,3,3,2,True,False,time_budget_exceeded,natural_answer,84c3dcb016936dab6855a691,08ffdfacd1a7bd7097f88c43
deepseek-v4-flash-0731,phantom_seed2,34,whatis,0.16666666666666669,0.0,-0.16666666666666669,7,3,6,3,2,1,True,False,time_budget_exceeded,natural_answer,9523edd270b585988edb83f8,3faa117d410dbf2274ae2077
deepseek-v4-flash-0731,phantom_seed3,10,whois,0.23529411764705882,0.23529411764705882,0.0,3,2,3,2,2,2,True,True,time_budget_exceeded,natural_answer,f25af78558fece9be6a206ef,2dc7a9b420cd6a0b7ed39c8c
deepseek-v4-flash-0731,phantom_seed3,30,whatis,1.0,1.0,0.0,3,3,3,3,3,3,True,True,natural_answer,natural_answer,cb54abb30df84bf65ced6de4,40c8de2d720ec291810330ec
deepseek-v4-flash-0731,phantom_seed2,12,whois,1.0,0.0,-1.0,11,3,6,3,3,2,True,False,time_budget_exceeded,natural_answer,fe5683c93b55ad21a5c6bb23,a031ab1c488df7be70960e15
deepseek-v4-flash-0731,phantom_seed2,7,whois,1.0,0.0,-1.0,29,3,20,3,3,2,True,False,time_budget_exceeded,max_steps_reached,c9de73d4194a25691875ff55,b13e82be75394c5862dbf9fa
deepseek-v4-flash-0731,phantom_seed3,20,whatis,0.4,0.4,0.0,18,3,10,3,3,2,True,False,time_budget_exceeded,natural_answer,e648890af2c9da8a8ffe38d4,ab89bcf2b7271427f674c602
deepseek-v4-flash-0731,phantom_seed2,19,whois,0.0,0.0,0.0,29,3,26,3,3,1,True,False,time_budget_exceeded,max_steps_reached,d7eff8b08e8a86736a085190,5624e12ebba1a37a7bc4c406
deepseek-v4-flash-0731,phantom_seed3,32,whatis,0.0,0.0,0.0,11,2,9,2,2,2,True,True,time_budget_exceeded,natural_answer,e062b85caeacc26208c9dd40,588eab14c7fb91d06f223419
deepseek-v4-flash-0731,phantom_seed2,2,whois,1.0,0.0,-1.0,15,3,13,3,3,1,True,False,time_budget_exceeded,natural_answer,3d238a4389d02d970067413a,87f44a011402a81ce153012a
deepseek-v4-flash-0731,phantom_seed2,22,whatis,0.5,0.0,-0.5,14,2,10,2,2,2,True,True,time_budget_exceeded,natural_answer,0192d9b70a5790631be610d5,b80a7f540c9832dd9d458608
deepseek-v4-flash-0731,phantom_seed3,13,whois,1.0,0.0,-1.0,3,2,3,2,2,2,True,True,time_budget_exceeded,natural_answer,9a111d86f2e7ddafdf0d202b,223996adb630fe8e877f9303
deepseek-v4-flash-0731,phantom_seed2,33,whatis,1.0,0.0,-1.0,7,4,7,3,2,2,True,False,time_budget_exceeded,natural_answer,c76a195b0f4e2eb5cbe4008f,c247ab5245f0ad15feffca0b
deepseek-v4-flash-0731,phantom_seed3,19,whatis,1.0,0.6666666666666666,-0.33333333333333337,7,3,7,3,3,1,True,False,natural_answer,natural_answer,815b9223d8cc1ff90dad61e0,05df7ac63c98864ea0b90ab9
deepseek-v4-flash-0731,phantom_seed3,31,whatis,0.5,0.0,-0.5,5,3,5,2,2,1,True,False,time_budget_exceeded,natural_answer,ebfd5c925e8c0139eb18b139,85eb06f8489c8b466467fa54
deepseek-v4-flash-0731,phantom_seed2,15,whois,0.0,0.0,0.0,30,9,20,3,3,3,True,False,time_budget_exceeded,max_steps_reached,308336ccaa1c2b17ef49848d,fe138cdb16e0596701feb3b0
gemini-3.8-flash-medium,phantom_seed3,27,whatis,1.0,0.0,-1.0,25,2,25,2,2,1,True,False,time_budget_exceeded,natural_answer,2bca29736aeb6658c408e1d5,274b268c4404fe6e9e3c7e26
gemini-3.8-flash-medium,phantom_seed2,4,whois,1.0,0.6666666666666666,-0.33333333333333337,8,2,8,2,2,2,True,True,time_budget_exceeded,natural_answer,48a36d63d65cca05b5488a6e,7e266e82c37d9c2298e84a74
gemini-3.8-flash-medium,phantom_seed3,0,whois,1.0,0.4,-0.6,8,2,8,2,2,2,True,True,time_budget_exceeded,natural_answer,d9dc5df233c140108723edc9,2d0bf67c5283c9c8985ac6d1
gemini-3.8-flash-medium,phantom_seed2,31,whatis,0.888888888888889,0.33333333333333337,-0.5555555555555556,30,4,18,2,2,3,True,False,time_budget_exceeded,max_steps_reached,1fc0a7c98633b59ac31f5e5b,89a1d6d08f95f815f7c0ee9b
gemini-3.8-flash-medium,phantom_seed3,1,whois,1.0,0.6666666666666666,-0.33333333333333337,6,2,6,2,2,2,True,True,time_budget_exceeded,natural_answer,f36e1914a8dd7186e1fce06b,5393319d84cc97cc0eae433a
gemini-3.8-flash-medium,phantom_seed3,8,whois,0.0,0.33333333333333337,0.33333333333333337,25,3,24,3,3,3,True,True,time_budget_exceeded,natural_answer,e200d0e6abfb0618e34e93c0,71e55f4fb5b4a588f3918e47
gemini-3.8-flash-medium,phantom_seed3,11,whois,1.0,1.0,0.0,6,3,4,3,3,3,True,True,natural_answer,natural_answer,ffc8ab32d106527c38216b45,553036b853d8346c4689efa5
gemini-3.8-flash-medium,phantom_seed2,30,whatis,0.35294117647058826,0.0,-0.35294117647058826,30,3,20,3,3,3,True,True,time_budget_exceeded,max_steps_reached,50a546e88f9572e691f12d35,b92e368d10442b838129ad0c
gemini-3.8-flash-medium,phantom_seed2,17,whois,0.0,0.0,0.0,30,3,20,3,3,3,True,True,time_budget_exceeded,max_steps_reached,63584ec5ea99ce771fe77ec5,035e02653bf5ce59ed85b310
gemini-3.8-flash-medium,phantom_seed3,34,whatis,0.0,0.0,0.0,30,4,22,2,2,2,True,False,time_budget_exceeded,max_steps_reached,150d4760b9ae1d587b5e65b0,08a832f774571de5795a1009
gemini-3.8-flash-medium,phantom_seed2,25,whatis,1.0,0.0,-1.0,23,2,23,2,2,2,True,True,time_budget_exceeded,natural_answer,99feb8851fe0a35837adc875,1cb04762ea1db4ba4a7c476f
gemini-3.8-flash-medium,phantom_seed3,19,whatis,1.0,0.0,-1.0,7,3,7,3,3,3,True,True,time_budget_exceeded,natural_answer,9212916675ed51227bd4891e,e592afe133b24a8e192d10f1
gemini-3.8-flash-medium,phantom_seed2,35,whatis,0.0,0.0,0.0,30,2,26,2,2,2,True,True,time_budget_exceeded,max_steps_reached,8f293e13a6eba65c4a60e770,51f2161b9f33115b81776481
gemini-3.8-flash-medium,phantom_seed2,1,whois,1.0,0.0,-1.0,10,3,10,3,3,2,True,False,time_budget_exceeded,natural_answer,6e328cc85d82cc5ae1b45e16,1702166d07c12fb8a1198a72
gemini-3.8-flash-medium,phantom_seed2,14,whois,1.0,0.5,-0.5,9,3,9,3,3,2,True,False,natural_answer,natural_answer,dbdfd89cbdd92b6eaaba751b,96323368c326bd545ea09d62
gemini-3.8-flash-medium,phantom_seed2,5,whois,1.0,0.0,-1.0,24,2,24,2,2,2,True,True,time_budget_exceeded,natural_answer,8d469bc0f9d70d46da265983,cd48a454814bdefdb392e01c
gemini-3.8-flash-medium,phantom_seed3,9,whois,1.0,0.0,-1.0,30,3,30,3,3,3,True,True,time_budget_exceeded,max_steps_reached,eda1478cc7d13014c85b26af,bc55dd40d67691806789442c
gemini-3.8-flash-medium,phantom_seed3,4,whois,1.0,1.0,0.0,8,3,8,3,3,3,True,True,natural_answer,natural_answer,5ad8583bbe2e64e193d60212,3deea72b2e8bba9e0fe0c4fb
gemini-3.8-flash-medium,phantom_seed3,23,whatis,0.8666666666666666,0.0,-0.8666666666666666,30,3,29,3,3,2,True,False,time_budget_exceeded,max_steps_reached,8da690d26c5786b8fcb9e412,310f4e6f2a71becbb5ae6d5f
gemini-3.8-flash-medium,phantom_seed3,16,whois,0.5714285714285715,0.0,-0.5714285714285715,30,6,21,3,3,4,True,False,time_budget_exceeded,max_steps_reached,d27757c05d5919ce0322396b,df47299d26e0d572e1e92a6e
gemini-3.8-flash-medium,phantom_seed3,21,whatis,1.0,0.8,-0.19999999999999996,8,3,8,3,3,3,True,True,natural_answer,natural_answer,cdeeb9c75a08d983bbba79ef,9519b90b99f6c5e16c6914a3
gemini-3.8-flash-medium,phantom_seed3,13,whois,1.0,0.0,-1.0,3,2,3,2,2,2,True,True,time_budget_exceeded,natural_answer,49887ae1ab912dd4c5f2ba76,39071b1d6add67beb9a73279
gemini-3.8-flash-medium,phantom_seed2,22,whatis,1.0,0.0,-1.0,16,2,16,2,2,2,True,True,time_budget_exceeded,natural_answer,76cb565b32feb02ac011aab5,24334777cc2cba91df9f367b
gemini-3.8-flash-medium,phantom_seed2,21,whatis,1.0,0.0,-1.0,17,3,17,3,3,1,True,False,time_budget_exceeded,natural_answer,9d2c32c0afd938d13220d1fb,fe0906ad7fe71c0331bd8526
gemini-3.8-flash-medium,phantom_seed2,26,whatis,1.0,0.0,-1.0,21,3,21,3,3,3,True,True,time_budget_exceeded,natural_answer,45b7ae23fa2b3c2e7c844358,ff5be63356a25e70d6b7f650
gemini-3.8-flash-medium,phantom_seed3,22,whatis,1.0,0.0,-1.0,12,3,12,3,3,2,True,False,time_budget_exceeded,natural_answer,e90c7035a6ed322414d86094,aab7bf3240ad8a0b1a3d97dc
gemini-3.8-flash-medium,phantom_seed2,6,whois,1.0,0.0,-1.0,9,2,9,2,2,2,True,True,time_budget_exceeded,natural_answer,97f990219fad88f395d0f5b5,33adf9f40aba557e72cb87c4
gemini-3.8-flash-medium,phantom_seed2,24,whatis,1.0,0.6666666666666666,-0.33333333333333337,10,2,10,2,2,2,True,True,time_budget_exceeded,natural_answer,1e8de682f900fe441083ed18,a3e4a46575964485a5b7d6a1
gemini-3.8-flash-medium,phantom_seed2,18,whois,0.0,0.0,0.0,30,2,24,2,2,2,True,True,time_budget_exceeded,max_steps_reached,e47d814b680a2321de422871,04944a4889de87274b5ee659
gemini-3.8-flash-medium,phantom_seed2,7,whois,1.0,0.0,-1.0,15,3,15,3,3,2,True,False,time_budget_exceeded,natural_answer,de0787a23dc35e71983dce98,dc4a73e53f7023262a541e76
gemini-3.8-flash-medium,phantom_seed3,2,whois,1.0,0.0,-1.0,8,3,6,3,3,3,True,True,time_budget_exceeded,natural_answer,39225342ec18b2fb3b381fbf,820baaedd42f317c24adb9a2
gemini-3.8-flash-medium,phantom_seed2,20,whatis,1.0,0.0,-1.0,8,3,8,3,3,3,True,True,time_budget_exceeded,natural_answer,fba840590ec6b5e0dba5ff02,19e8d84a029350a5d1800f41
gemini-3.8-flash-medium,phantom_seed3,29,whatis,1.0,1.0,0.0,3,3,3,3,3,3,True,True,natural_answer,natural_answer,4175727e1c58b7429b6d6a90,b3065ef37060dfa164405850
gemini-3.8-flash-medium,phantom_seed2,9,whois,1.0,0.0,-1.0,13,3,13,3,3,3,True,True,time_budget_exceeded,natural_answer,823404477de2de37904cfe63,a3989722265260c596aa175c
gemini-3.8-flash-medium,phantom_seed2,2,whois,1.0,0.0,-1.0,15,3,15,3,3,3,True,True,time_budget_exceeded,natural_answer,250304f09891a938848ec349,7aa305a49bfc7c94b3a9c8bb
gemini-3.8-flash-medium,phantom_seed2,29,whatis,0.0,0.0,0.0,30,5,20,2,2,3,True,False,time_budget_exceeded,max_steps_reached,ff092d0a2db6f279c2af037a,86843da3c4d5aaf357310cdf
gemini-3.8-flash-medium,phantom_seed3,12,whois,0.4,0.0,-0.4,30,5,25,3,3,3,True,False,natural_answer,max_steps_reached,56942bb8d3b6de58f99131b4,075ed1589ef7cad549c131d1
gemini-3.8-flash-medium,phantom_seed2,8,whois,1.0,0.6666666666666666,-0.33333333333333337,21,3,21,3,3,3,True,True,natural_answer,natural_answer,e599b61a2deb8a13be787d74,7efe100f0cd79411e3e228f0
gemini-3.8-flash-medium,phantom_seed2,32,whatis,0.0,0.0,0.0,30,7,17,2,2,5,True,False,time_budget_exceeded,max_steps_reached,636868bad13bff529123deb1,188ddc2dedd779c166acea42
gemini-3.8-flash-medium,phantom_seed2,28,whatis,1.0,0.0,-1.0,20,3,20,3,3,3,True,True,time_budget_exceeded,natural_answer,0dcac71746c24dcb1cf3d773,adf07e1f0503e69d60ce07af
gemini-3.8-flash-medium,phantom_seed3,24,whatis,1.0,0.0,-1.0,24,3,24,3,3,3,True,True,time_budget_exceeded,natural_answer,1eeed794fee00e7e96917f85,be49de8e94903393c8e56b0a
gemini-3.8-flash-medium,phantom_seed2,16,whois,1.0,0.5,-0.5,9,3,9,3,3,3,True,True,time_budget_exceeded,natural_answer,e1a7bcdd86fed5a3ba7d24fa,c297bf8b551b78c444cfabf7
gemini-3.8-flash-medium,phantom_seed3,35,whatis,0.0,0.0,0.0,30,2,19,2,2,2,True,True,time_budget_exceeded,max_steps_reached,81cdb19e220879d70403b25b,38937bc31bff3979d758c06f
gemini-3.8-flash-medium,phantom_seed3,10,whois,0.23529411764705882,0.23529411764705882,0.0,5,2,5,2,2,2,True,True,time_budget_exceeded,natural_answer,6a260c37ab29b56291a7941b,6b583c9d147f286a8f78c821
gemini-3.8-flash-medium,phantom_seed3,7,whois,1.0,0.0,-1.0,14,3,14,3,3,3,True,True,time_budget_exceeded,natural_answer,3235770eebab30cec51e8e05,bb1ab305c60a9717b456c266
gemini-3.8-flash-medium,phantom_seed3,25,whatis,1.0,0.18181818181818182,-0.8181818181818181,26,2,26,2,2,2,True,True,time_budget_exceeded,natural_answer,019399f77d02b51b6a4e91f3,138863e23d3fe0cd803153dc
gemini-3.8-flash-medium,phantom_seed3,28,whatis,1.0,0.0,-1.0,17,3,17,3,3,3,True,True,time_budget_exceeded,natural_answer,1db0e15f0fcc1a3ae32fdcdd,14079226358fbe5ee018519d
gemini-3.8-flash-medium,phantom_seed2,15,whois,0.0,0.0,0.0,19,4,17,3,3,3,True,False,time_budget_exceeded,natural_answer,18693e6ea1a84c24ac33eddc,b5ca94015da41aea279af73e
gemini-3.8-flash-medium,phantom_seed3,5,whois,1.0,0.0,-1.0,15,3,15,3,3,2,True,False,time_budget_exceeded,natural_answer,b6ae8a18e5100ae36a431782,8329879014b720144fa436ce
gemini-3.8-flash-medium,phantom_seed3,31,whatis,0.5,0.0,-0.5,6,2,6,2,2,2,True,True,time_budget_exceeded,natural_answer,fc958c4f17f1c2ff6ff6c3c8,104b26da53fbe0d03d275441
gemini-3.8-flash-medium,phantom_seed3,26,whatis,1.0,0.0,-1.0,24,3,24,3,3,2,True,False,time_budget_exceeded,natural_answer,0a1470ad4a17bdde736ff300,b80b88b86b645cdc7e44e6cb
gemini-3.8-flash-medium,phantom_seed2,3,whois,1.0,0.5,-0.5,11,3,11,3,3,3,True,True,time_budget_exceeded,natural_answer,2c62d2e56c50905d19210f2c,d1cd01c265b715e537952184
gemini-3.8-flash-medium,phantom_seed2,34,whatis,0.16666666666666669,0.0,-0.16666666666666669,8,3,8,3,3,3,True,True,time_budget_exceeded,natural_answer,f728c6f189925244cfc2ed3a,0c8b7abff41cabb87d19a3aa
gemini-3.8-flash-medium,phantom_seed3,15,whois,0.6,0.0,-0.6,30,2,26,2,2,2,True,True,time_budget_exceeded,max_steps_reached,a98ea9aa5173a37af05e6917,feb768f7cf2c224cbaeefb02
