model,regime,strategy,cohort_id,question_index,data_source,result_path,result_sha256,bytes,agents,feedback_attempts,feedback_visible,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,first_choice_unique_hypotheses,within_agent_repeated_attempts,cross_agent_overlap_queries,unique_verified_correct_queries,unique_verified_correct_nonempty,semantic_redundancy_fraction,correct_visible,incomplete_visible,irrelevant_visible,other_visible,withheld,invalid_payload_attempts,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,agents_with_peer_snapshot,agents_with_peer_only_nonempty_final_match,cache_hits,cache_size,graph_pending_claims
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,10,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_8e2172d2e97a0565a0a026e4b31cb3a7817cc9100460cea04e1e2edcf465fc1f/result/cached/result.json,02bc1ccff76364b134673ef8e10cafc4477e28ebf66d926ee8c74de60b8a390c,493595,4,47,44,34,31,10,8,3,0,13,6,4,0.276595744680851,13,6,25,0,3,0,0,0,0,0,0,4,0,0,6,31,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,11,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2ddc07f0604b293db8d571fe413b45ffc2d479dab8b4a11aa868d1974d62aa8d/result/cached/result.json,22a1da388068fdcda485ad159f1be28fc4d772ba136335057555662241f1fc22,471924,4,50,47,35,32,14,13,3,0,15,11,5,0.30000000000000004,21,11,15,0,3,0,0,0,0,0,0,4,0,0,9,32,0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,12,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c767032ced5b20a39540790f42346c36b86d56d050ab95b5d1a9b270bbf96e79/result/cached/result.json,3cf4f17614c95b7f69cce77c701528496ddce7ada286a60769a321e1c988e7c3,410616,4,46,43,32,29,12,10,4,0,14,9,2,0.30434782608695654,14,3,26,0,3,0,0,0,0,0,0,3,0,0,6,29,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,0,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_855c748c87de43e68a9094b7d59a6e7b620466c5631f5d20c626a6c14085834e/result/naive/result.json,d8d796877d92547edd8a52285e7d08f51bd91063bf07c2d9fb3866222f348835,412422,4,40,38,33,32,8,8,3,0,7,5,3,0.17500000000000004,9,6,23,0,2,0,0,0,0,0,0,3,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,1,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c367da538f42bb7d776168a64313acc07ec9663d27f5e0c12112e466b2a5372f/result/naive/result.json,8365d1d62fee61d387eae025b0567024bc68c66e378bc07e59cc6c62acbedcd4,474100,4,39,38,22,22,12,12,3,0,17,11,9,0.4358974358974359,24,5,9,0,1,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,2,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e125eed0c71aa0b1e56cbfade3d52036a501d4b14c6eefccf08b6d64050fa5bc/result/naive/result.json,fc3055e25b519705d1737a7be7990a445459d16972caebdbd129df99049e8e65,303558,4,41,38,19,18,12,12,3,0,22,11,6,0.5365853658536586,27,1,10,0,3,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,3,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0a30b6b944f7285c157ed63e97151b0faaa05a1e2c508a6f7f7ba5a0e3d7f24e/result/naive/result.json,fc3c7fa36bab3aa8f027fbb42ec782c82ebd23de0fb5f1322d2ac2847ec95700,388211,4,42,40,19,19,8,8,2,0,23,7,5,0.5476190476190477,21,7,12,0,2,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,4,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6a8bda56a86eb2a23e6132014baac16cd7ded675b9e1a11f527ef23ee6cae3f1/result/naive/result.json,397c48b2529229a1357ee365ea8df5f87afd60872bf64a9637dcc9956a5d1409,331346,4,40,37,14,13,7,6,2,0,26,6,6,0.65,19,5,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,5,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ad70798a37ed9c18d7aabf7637a9b9b7ec52b384856a1cc15067e114f8e8c739/result/naive/result.json,fe2d0385d807166e8b964ce9d046592a7c48cbbae50fb9b630660402f1f2876a,348855,4,41,37,21,21,11,11,3,0,20,11,4,0.4878048780487805,21,3,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,6,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_a0d6eabef83d73a3499143de9db4e97bb3f6c2a82a9919c91b22ff31fa5068e5/result/naive/result.json,a0afd1fbcb43e5fe70f25ac65b3d886cdf04f7b66b4203eec04a0347276e21cf,362130,4,40,37,22,20,13,13,1,0,18,11,5,0.44999999999999996,22,1,14,0,3,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,7,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_96bb1cd2aa358f7f97e134581f11f72faf29243b6553f0bb7e986a7828358cb7/result/naive/result.json,36c1c47b953ce34d87b37e3a9aefc4b80390b1d53484afa4696afe337744bf7d,362484,4,40,36,21,20,10,10,3,0,19,9,5,0.475,19,7,10,0,4,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,8,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_a2b07e7b534733df64424262767e2f2252d58065477486e9f97de146b7935f27/result/naive/result.json,66100981e8de7e15b4a9f2bd1bdb0b91a3c6b7df3e0ac3edae9024920140cd7f,395246,4,40,37,29,26,11,10,3,0,11,10,6,0.275,17,7,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,9,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_275b0687349b4e71001092e213c25b221a0ccc47d67bcf08be75bdc5b77b388f/result/naive/result.json,5e2bc43ac0435ce5c3f776901451b5fb15ee4bf445a5a2ddd00b3f517cb1020c,410051,4,40,36,16,14,6,5,1,0,24,5,3,0.6,13,10,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,10,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_d726ffaeb09246984eb25465101038be34ddd1b76c5aa5b866f231a7855dd071/result/naive/result.json,6fbddb022b7c878863c770887ac16acc65cef4e599d40155711e1378f541ecae,471144,4,40,40,22,22,8,8,1,0,18,6,4,0.44999999999999996,12,6,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,11,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e21f843aa1a0e0b77b88cdfae6b9b97e0209c81eafda2d71bcdc081c8cf9bea8/result/naive/result.json,a8edc3081b0d360f5e329987e2ffb63c2c0d614cf7b996cce0f5ba98a15869c6,440670,4,40,38,30,28,10,10,2,0,10,9,6,0.25,14,9,15,0,2,0,0,0,0,0,0,3,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,12,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_d90c509bdd710005f14da354865beb259ee6f08ce97451e5c93f28441568c8ae/result/naive/result.json,0fc082d7ab0fcf0aee689f3b8a311b3d4978bbaed3c1bca54cf9016727b0b1e1,355711,4,40,37,28,26,12,11,2,0,12,9,1,0.30000000000000004,13,3,21,0,3,0,0,0,0,0,0,4,0,0,0,0,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,0,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_f472dbd6e417758ae7d26aebff01a738156e354ddff701e8e19e0e5593f36312/result/poolact/result.json,1fc00fb45047fb23670783452e47644b9e51d65ccb1901d04dbf32b02ebd5afa,712584,4,40,39,39,38,12,12,4,0,1,12,11,0.025000000000000022,12,5,22,0,1,0,38,28,28,28,28,4,4,4,0,38,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,1,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_dd449e5e9b3fd752b83c7c5915ce52ca42d601aa279c7a1b1b7e8317f15cdce8/result/poolact/result.json,d5a628d19181ae58830a5b8e6b88ca1e84dd6397bb9deedefde4b9fb2543468b,601085,4,39,38,32,32,17,17,4,0,7,17,14,0.17948717948717952,20,5,13,0,1,0,36,51,45,45,39,4,4,4,0,32,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,2,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_5fddcd3b60cf53829bbceb11f57e0d23dda0f8c607b26d412fb4760ef6febe52/result/poolact/result.json,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,469816,4,37,37,23,23,17,17,4,0,14,17,6,0.3783783783783784,31,1,5,0,0,0,35,60,37,37,15,4,4,4,0,23,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,3,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6cf7e75aa69a94e5f195ad00bcdcb9e02b5ab8c15f5eed34bbaaa5863cafcebf/result/poolact/result.json,f00f3564772e7f2a918460554761f10decf11ddcbeccef542f7aa3e42727764f,489908,4,34,34,27,27,17,17,4,1,6,17,5,0.20588235294117652,24,2,8,0,0,0,33,54,45,45,15,4,4,4,2,27,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,4,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_323f1fafaab6543792f8c3855c3c44569f0d6daf3d8650cc8dc74ca00f0436d8/result/poolact/result.json,272cb9d1e6eca2e7a48989466b356efb5710e5a124c79be9de6516655a0fa94e,495857,4,40,39,26,26,14,14,4,0,14,14,11,0.35,20,5,14,0,1,0,38,38,31,31,28,4,4,4,0,26,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,5,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_be5b20c6281589671c0e9a64bdcddde6901c5468f711bcb6c1f066db4bfe23fa/result/poolact/result.json,0b362e1cbb80a4dcbe897edc284df3ec94c65fbee1ca52f1c843e21ba6f6cd14,460529,4,34,34,23,23,17,17,4,0,11,17,4,0.32352941176470584,26,2,6,0,0,0,33,54,42,42,11,4,4,4,1,23,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,6,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2e384575ea97c1d76bf3dd7474f24c3ffd3cd8a12e5e9c3b2a0e3bf241a6d3bb/result/poolact/result.json,46922bb16f790d5d3ae4b77b0911f4ca2f34a4770ae99d3b2c17d227eab2fe8a,624479,4,39,39,30,30,17,17,4,0,9,17,10,0.23076923076923073,23,4,12,0,0,0,38,51,43,43,29,4,4,4,0,30,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,7,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_1f838cba3ddd0dcfaf0647a961bc84e99f69041847c396b049ea7fdde3fc18e8/result/poolact/result.json,3a02b36efd82018f5b51a3bc09ccb3b3cbbd15dc0ae4cb5356463cb9c8445333,470752,4,36,36,26,26,17,17,4,0,10,17,5,0.2777777777777778,26,3,7,0,0,0,35,56,41,41,13,4,4,4,0,26,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,8,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_32defd79a5f0bc5b12b6ad78cf5997cb9893387c68b110892d03e50b68247206/result/poolact/result.json,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,577046,4,40,38,33,32,17,17,4,0,7,17,12,0.17500000000000004,19,10,9,0,2,0,37,46,44,44,30,4,4,4,0,32,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,9,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_80f53300126e79bae69c3ebede5c52e70eb75bc2c8530b7b5f0646727b9b39ba/result/poolact/result.json,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,518319,4,39,37,32,32,17,17,4,0,7,17,12,0.17948717948717952,22,7,8,0,2,0,36,49,42,42,32,4,4,4,0,32,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,10,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e6d3e1743981fa274cdb709db3c48a2306c6f7a1190e856afc68d9c240c3f1a7/result/poolact/result.json,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,825810,4,40,39,35,34,10,10,4,0,5,7,4,0.125,8,6,25,0,1,0,36,22,20,20,12,4,4,4,0,34,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,11,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_1b33fa730a47d0ada64fb9a0d49967e8cbc58b4de5ae4b3df390b99bcd771d55/result/poolact/result.json,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,697439,4,39,39,34,34,15,15,4,0,5,13,9,0.1282051282051282,15,8,16,0,0,0,36,31,27,27,17,4,4,4,0,34,0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,12,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_275d578f409ed53c6143771a8781b26ee21155b2a69b9646d13e3e89f3281643/result/poolact/result.json,c9570e36cbd2d832c80326bd7150937ac3147fdd3ed705190ff3ca22b8f14c95,559579,4,39,36,29,28,16,15,4,0,10,15,7,0.2564102564102564,22,5,9,0,3,0,35,46,35,35,17,4,4,4,0,28,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,0,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_07be7866e6e71538561c9eeb6741e5bb501e47d8b07d0019ae22ce709432a3e1/result/cached/result.json,4b637e3d935c214ab62a53f96fd22203201fc20a1a6e23ab7b45fd551c2a7e9e,376899,4,13,9,11,7,4,3,3,0,2,1,1,0.15384615384615385,2,3,4,0,4,0,0,0,0,0,0,4,0,0,0,7,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,1,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_d747b5e8784c20b17519de4a346a8fbf2b885b4f9161442d700fcb4cd9c7d371/result/cached/result.json,34c0c9019fe9b6a9a0ab33917705cc58f61c56b00954b3ef0dcccce51eebd67c,322950,4,12,12,6,6,6,6,1,0,6,4,3,0.5,10,1,1,0,0,0,0,0,0,0,0,4,0,0,0,6,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,2,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_cc3432ce3a365e517ccf4ddc97f44b2906d1045b86f709a524908ece3d889f23/result/cached/result.json,be5c0b0b28121419a594d44ef2ea87ddc6acea39703cd8176aa42ecf5a8b79c3,312607,4,13,13,8,8,7,7,3,0,5,7,4,0.3846153846153846,10,0,3,0,0,0,0,0,0,0,0,4,0,0,2,8,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,3,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_4115692e76a02cb15f1caa4df457a5c8968979f5bb077913ac52c395617df524/result/cached/result.json,3f8daa394583560f858b8a4086b1077f49f8841413e84b90a2c9ad5385626c3f,379821,4,22,19,11,9,6,4,3,0,11,3,1,0.5,8,4,7,0,3,0,0,0,0,0,0,4,0,0,8,9,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,4,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0e94670484ae1bf11baa928450c80477e8de24009ef4a6446c55c7a1015969bd/result/cached/result.json,c5d1f553a6264f5d18f153b11bc1ae58b17ac5f9383f7524929b12b04e4a82e7,274830,4,12,10,9,7,6,6,2,0,3,3,3,0.25,6,0,4,0,2,0,0,0,0,0,0,4,0,0,0,7,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,5,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ef3a7888b10f7233d4fee001d462bc9e4342a4425777278a62240a945a9a30cf/result/cached/result.json,1d2fa3787ffd4ca47e93b8daf50af7b571e17bba8de78f976fb4309934cf73dc,266205,4,13,9,5,4,4,4,1,0,8,3,3,0.6153846153846154,7,2,0,0,4,0,0,0,0,0,0,4,0,0,1,4,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,6,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_3f47b48358e6d505f6bb70d26d72438f410e6e5051d709d8ccee0ada8986007a/result/cached/result.json,c7d4cf115576e1bbf0c1c3f81d5c93f9f75a7f02cf10200f3b7873506b33d687,354468,4,14,12,9,8,7,7,4,0,5,6,3,0.3571428571428571,8,0,4,0,2,0,0,0,0,0,0,4,0,0,2,8,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,7,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_1b05f995079b7066aa76ee544ac48589d4260adb2120e66302d793fe2ad6ae30/result/cached/result.json,655967e6153f9fc8eabc4c4cb9a2bb99c086f8d3849dcac65edc26781fc51c36,350381,4,13,9,8,5,7,4,2,0,5,3,3,0.3846153846153846,7,1,1,0,4,0,0,0,0,0,0,4,0,0,0,5,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,8,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_9d7bcd27b4b5f256aee90661535f84f38bcff0c981e2076c6c45478bebf53f90/result/cached/result.json,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,393556,4,15,12,9,6,6,5,1,0,6,2,0,0.4,5,3,4,0,3,0,0,0,0,0,0,3,0,0,3,6,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,9,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_3a0af49f47cb532f3388b3e51133e0712090b2f92289e3d92ea9ab2bf98140e4/result/cached/result.json,0b173989597c599924d331d7a6798be0779f9363688fb1331fa5923215365e0b,276282,4,13,10,10,8,5,4,2,0,3,4,2,0.23076923076923073,5,0,5,0,3,0,0,0,0,0,0,4,0,0,1,8,0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,10,phantom_seed1,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_d74e8c57f39a49f4070c057f9286f308ac53f013680b99caa5f8999444f97121/result/cached/result.json,4f6a33592d875536975781fa71665d0e727bbad360740ac11ece85b7ed2fe2e5,389550,4,14,11,12,9,7,6,4,0,2,4,2,0.1428571428571429,4,1,6,0,3,0,0,0,0,0,0,4,0,0,1,9,0
