model,regime,strategy,question_index,agent_id,feedback_attempts,feedback_visible,withheld,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,invalid_payload_attempts,own_verified_correct_queries,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,final_answer_hypotheses,evidence_acc,label_acc,termination_reason,result_path
deepseek-v4-flash-0731,cost_moderate,cached,2,2,19,18,1,19,18,13,12,0,12,0,0,0,0,0,1,17,1.0,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_015c98e8eb3826ba658b352b4a36bb0995791e3c75d8473500ab3fa47b8569ef/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,2,3,17,17,0,17,17,11,11,0,11,0,0,0,0,0,1,17,1.0,1.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_015c98e8eb3826ba658b352b4a36bb0995791e3c75d8473500ab3fa47b8569ef/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,3,0,15,15,0,15,15,10,10,0,10,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ee12cbb33dae2133fd3926277111ed526dbff5dd02730998c6e5ecd8ba783721/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,3,1,17,17,0,17,17,10,10,0,10,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ee12cbb33dae2133fd3926277111ed526dbff5dd02730998c6e5ecd8ba783721/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,3,2,11,10,1,11,10,6,5,0,5,0,0,0,0,0,1,17,1.0,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ee12cbb33dae2133fd3926277111ed526dbff5dd02730998c6e5ecd8ba783721/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,3,3,20,20,0,20,20,10,10,0,10,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_ee12cbb33dae2133fd3926277111ed526dbff5dd02730998c6e5ecd8ba783721/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,4,0,13,12,1,13,12,8,8,0,7,0,0,0,0,0,1,17,0.8235294117647058,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_79114aab190606f7c73f14d89c488c2fad14ef8635e22f2d980e913b00f1a3dd/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,4,1,12,12,0,12,12,8,8,0,8,0,0,0,0,0,1,17,0.8235294117647058,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_79114aab190606f7c73f14d89c488c2fad14ef8635e22f2d980e913b00f1a3dd/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,4,2,18,17,1,18,17,10,9,0,9,0,0,0,0,0,1,17,1.0,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_79114aab190606f7c73f14d89c488c2fad14ef8635e22f2d980e913b00f1a3dd/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,4,3,10,9,1,10,9,5,4,0,4,0,0,0,0,0,1,17,0.7647058823529411,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_79114aab190606f7c73f14d89c488c2fad14ef8635e22f2d980e913b00f1a3dd/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,5,0,16,16,0,16,16,8,8,0,8,0,0,0,0,0,1,17,1.0,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_12e21b490d83c57faf0b31e1bc39f205a6b1e417d228f933ff83f1b9fbcc35b8/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,5,1,10,10,0,10,10,6,6,0,6,0,0,0,0,0,1,17,1.0,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_12e21b490d83c57faf0b31e1bc39f205a6b1e417d228f933ff83f1b9fbcc35b8/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,5,2,16,16,0,16,16,7,7,0,7,0,0,0,0,0,1,17,1.0,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_12e21b490d83c57faf0b31e1bc39f205a6b1e417d228f933ff83f1b9fbcc35b8/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,5,3,12,11,1,12,11,5,4,0,4,0,0,0,0,0,1,17,1.0,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_12e21b490d83c57faf0b31e1bc39f205a6b1e417d228f933ff83f1b9fbcc35b8/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,6,0,19,18,1,19,18,9,8,0,8,0,0,0,0,0,1,17,0.7647058823529411,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_52383846a3829d5887847539a616625d50cd576d50dfbf8245984324a70a102f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,6,1,17,17,0,17,17,9,9,0,8,0,0,0,0,0,1,17,0.7647058823529411,1.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_52383846a3829d5887847539a616625d50cd576d50dfbf8245984324a70a102f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,6,2,17,17,0,17,17,9,9,0,8,0,0,0,0,0,1,17,0.7647058823529411,1.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_52383846a3829d5887847539a616625d50cd576d50dfbf8245984324a70a102f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,6,3,18,17,1,18,17,11,11,0,10,0,0,0,0,0,1,17,0.7647058823529411,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_52383846a3829d5887847539a616625d50cd576d50dfbf8245984324a70a102f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,7,0,12,11,1,12,11,8,8,0,4,0,0,0,0,0,1,17,1.0,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_affdf50e38689827e70ac568e7d1115adc39528baf63041603598cee6a8f7c77/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,7,1,10,9,1,10,9,6,6,0,5,0,0,0,0,0,1,17,0.9411764705882353,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_affdf50e38689827e70ac568e7d1115adc39528baf63041603598cee6a8f7c77/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,7,2,13,12,1,13,12,8,7,0,7,0,0,0,0,0,1,17,0.9411764705882353,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_affdf50e38689827e70ac568e7d1115adc39528baf63041603598cee6a8f7c77/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,7,3,10,9,1,10,9,7,6,0,6,0,0,0,0,0,1,17,0.9411764705882353,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_affdf50e38689827e70ac568e7d1115adc39528baf63041603598cee6a8f7c77/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,8,0,11,10,1,11,10,8,8,0,6,0,0,0,0,0,1,17,0.5882352941176471,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_929fdc8efbae26600e0564f3b814eff5769be2180745d380fce656f88de23738/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,8,1,10,10,0,10,10,6,6,0,5,0,0,0,0,0,1,17,0.5882352941176471,1.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_929fdc8efbae26600e0564f3b814eff5769be2180745d380fce656f88de23738/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,8,2,12,11,1,12,11,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_929fdc8efbae26600e0564f3b814eff5769be2180745d380fce656f88de23738/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,8,3,10,9,1,10,9,7,6,0,4,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_929fdc8efbae26600e0564f3b814eff5769be2180745d380fce656f88de23738/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,9,0,10,9,1,10,9,4,3,0,3,0,0,0,0,0,1,17,0.5294117647058824,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e38b50884a01560e0b9646dabeed1542a62b963d4e6caec25daef29510ee9a35/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,9,1,11,11,0,11,11,7,7,0,7,0,0,0,0,0,1,17,0.7058823529411765,0.7058823529411765,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e38b50884a01560e0b9646dabeed1542a62b963d4e6caec25daef29510ee9a35/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,9,2,15,14,1,15,14,7,7,0,6,0,0,0,0,0,1,17,0.5882352941176471,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e38b50884a01560e0b9646dabeed1542a62b963d4e6caec25daef29510ee9a35/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,9,3,11,10,1,11,10,6,6,0,5,0,0,0,0,0,1,17,0.5882352941176471,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e38b50884a01560e0b9646dabeed1542a62b963d4e6caec25daef29510ee9a35/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,10,0,10,9,1,10,9,3,3,0,2,0,0,0,0,0,1,17,0.4117647058823529,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_8e2172d2e97a0565a0a026e4b31cb3a7817cc9100460cea04e1e2edcf465fc1f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,10,1,10,10,0,10,10,4,4,0,4,0,0,0,0,0,1,17,0.5294117647058824,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_8e2172d2e97a0565a0a026e4b31cb3a7817cc9100460cea04e1e2edcf465fc1f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,10,2,16,15,1,16,15,5,4,0,4,0,0,0,0,0,1,17,0.5294117647058824,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_8e2172d2e97a0565a0a026e4b31cb3a7817cc9100460cea04e1e2edcf465fc1f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,10,3,11,10,1,11,10,5,4,0,3,0,0,0,0,0,1,17,0.4117647058823529,0.7647058823529411,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_8e2172d2e97a0565a0a026e4b31cb3a7817cc9100460cea04e1e2edcf465fc1f/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,11,0,12,11,1,12,11,8,7,0,7,0,0,0,0,0,1,17,0.5882352941176471,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2ddc07f0604b293db8d571fe413b45ffc2d479dab8b4a11aa868d1974d62aa8d/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,11,1,11,10,1,11,10,4,4,0,3,0,0,0,0,0,1,17,0.35294117647058826,0.7058823529411765,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2ddc07f0604b293db8d571fe413b45ffc2d479dab8b4a11aa868d1974d62aa8d/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,11,2,16,16,0,16,16,8,8,0,7,0,0,0,0,0,1,17,0.5882352941176471,0.9411764705882353,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2ddc07f0604b293db8d571fe413b45ffc2d479dab8b4a11aa868d1974d62aa8d/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,11,3,11,10,1,11,10,5,4,0,4,0,0,0,0,0,1,17,0.5294117647058824,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_2ddc07f0604b293db8d571fe413b45ffc2d479dab8b4a11aa868d1974d62aa8d/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,12,0,12,11,1,12,11,7,6,0,6,0,0,0,0,0,1,17,0.5294117647058824,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c767032ced5b20a39540790f42346c36b86d56d050ab95b5d1a9b270bbf96e79/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,12,1,10,10,0,10,10,2,2,0,2,0,0,0,0,0,0,0,0.0,0.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c767032ced5b20a39540790f42346c36b86d56d050ab95b5d1a9b270bbf96e79/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,12,2,14,13,1,14,13,5,4,0,4,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c767032ced5b20a39540790f42346c36b86d56d050ab95b5d1a9b270bbf96e79/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,cached,12,3,10,9,1,10,9,3,3,0,2,0,0,0,0,0,1,17,0.5294117647058824,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c767032ced5b20a39540790f42346c36b86d56d050ab95b5d1a9b270bbf96e79/result/cached/result.json
deepseek-v4-flash-0731,cost_moderate,naive,0,0,10,9,1,10,9,3,3,0,2,0,0,0,0,0,1,17,0.4117647058823529,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_855c748c87de43e68a9094b7d59a6e7b620466c5631f5d20c626a6c14085834e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,0,1,10,9,1,10,9,5,5,0,4,0,0,0,0,0,1,17,0.4117647058823529,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_855c748c87de43e68a9094b7d59a6e7b620466c5631f5d20c626a6c14085834e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,0,2,10,10,0,10,10,4,4,0,3,0,0,0,0,0,1,17,0.4117647058823529,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_855c748c87de43e68a9094b7d59a6e7b620466c5631f5d20c626a6c14085834e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,0,3,10,10,0,10,10,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_855c748c87de43e68a9094b7d59a6e7b620466c5631f5d20c626a6c14085834e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,1,0,9,9,0,9,9,6,6,0,6,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c367da538f42bb7d776168a64313acc07ec9663d27f5e0c12112e466b2a5372f/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,1,1,10,10,0,10,10,8,8,0,8,0,0,0,0,0,1,17,0.7647058823529411,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c367da538f42bb7d776168a64313acc07ec9663d27f5e0c12112e466b2a5372f/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,1,2,10,10,0,10,10,7,7,0,6,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c367da538f42bb7d776168a64313acc07ec9663d27f5e0c12112e466b2a5372f/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,1,3,10,9,1,10,9,5,4,0,4,0,0,0,0,0,1,17,0.7058823529411765,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_c367da538f42bb7d776168a64313acc07ec9663d27f5e0c12112e466b2a5372f/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,2,0,11,10,1,11,10,8,8,0,7,0,0,0,0,0,1,17,0.9411764705882353,0.9411764705882353,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e125eed0c71aa0b1e56cbfade3d52036a501d4b14c6eefccf08b6d64050fa5bc/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,2,1,10,9,1,10,9,8,7,0,7,0,0,0,0,0,1,17,0.8823529411764706,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e125eed0c71aa0b1e56cbfade3d52036a501d4b14c6eefccf08b6d64050fa5bc/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,2,2,10,10,0,10,10,7,7,0,7,0,0,0,0,0,1,17,0.8823529411764706,0.8235294117647058,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e125eed0c71aa0b1e56cbfade3d52036a501d4b14c6eefccf08b6d64050fa5bc/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,2,3,10,9,1,10,9,7,6,0,6,0,0,0,0,0,1,17,0.8823529411764706,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e125eed0c71aa0b1e56cbfade3d52036a501d4b14c6eefccf08b6d64050fa5bc/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,3,0,10,10,0,10,10,6,6,0,6,0,0,0,0,0,1,17,0.9411764705882353,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0a30b6b944f7285c157ed63e97151b0faaa05a1e2c508a6f7f7ba5a0e3d7f24e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,3,1,10,10,0,10,10,6,6,0,6,0,0,0,0,0,1,17,0.9411764705882353,0.8823529411764706,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0a30b6b944f7285c157ed63e97151b0faaa05a1e2c508a6f7f7ba5a0e3d7f24e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,3,2,11,10,1,11,10,7,7,0,6,0,0,0,0,0,1,17,0.8823529411764706,0.8235294117647058,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0a30b6b944f7285c157ed63e97151b0faaa05a1e2c508a6f7f7ba5a0e3d7f24e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,3,3,11,10,1,11,10,4,4,0,3,0,0,0,0,0,1,17,0.8823529411764706,0.8823529411764706,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_0a30b6b944f7285c157ed63e97151b0faaa05a1e2c508a6f7f7ba5a0e3d7f24e/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,4,0,10,10,0,10,10,6,6,0,5,0,0,0,0,0,1,17,0.8823529411764706,1.0,Natural answer,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6a8bda56a86eb2a23e6132014baac16cd7ded675b9e1a11f527ef23ee6cae3f1/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,4,1,10,9,1,10,9,6,5,0,5,0,0,0,0,0,1,17,0.8235294117647058,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6a8bda56a86eb2a23e6132014baac16cd7ded675b9e1a11f527ef23ee6cae3f1/result/naive/result.json
deepseek-v4-flash-0731,cost_moderate,naive,4,2,10,9,1,10,9,6,5,0,5,0,0,0,0,0,1,17,0.8235294117647058,1.0,Time budget exceeded,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6a8bda56a86eb2a23e6132014baac16cd7ded675b9e1a11f527ef23ee6cae3f1/result/naive/result.json
