model,source,question_id,family,free_score,tight_score,score_change,free_visible,tight_visible,free_unique_articles,tight_unique_articles,shared_articles,common_article_prefix,same_first_article,tight_is_free_prefix,tight_term,free_term,tight_trace_path,free_trace_path
deepseek-v4-flash-0731,phantom_seed2,16,whois,1.0,0.0,-1.0,26,2,15,2,2,2,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_766630f0775cb77eb1170b7b1fc27d60c4a7dca954ef2993fed5c015205837db/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_16_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2fcc26c154977ea296c15cc9f19037a36141fcc8e80dc1361a075a637db9c9b4/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_16_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,9,whois,0.0,0.0,0.0,7,4,7,3,3,1,True,False,time_budget_exceeded,empty_model_response,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_cb4bdd5f7de039c3c2ea068b2f5504d654cebd3d26b62110e176374c686ddc24/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_34782ee472ce94c78ee0dcd0a229205cf8742508c028a55f373886476a72e7c2/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_9_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,36,whatis,0.0,0.0,0.0,30,12,8,3,3,3,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_d0d4a63dc98559ecb1c3692d0d12dff0033c8e4bd3bb62a7d572b5decc723936/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_36_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_36ad338850fa0378d93f293143aa0e6fe0192e93f21f3b64c7d9cc4b919fd119/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_36_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,0,whois,1.0,1.0,0.0,4,3,4,3,3,3,True,True,natural_answer,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3e0bd0674228ad80a18cb601c08329e6cbecd2a0c34b48a49703a98dc414066a/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_0_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_37a6e5271e730a9129a5307d4ae48aac23020b0d4b6e1799d2cc66615c20e121/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_0_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,25,whatis,0.0,0.0,0.0,4,2,4,2,2,2,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fdccb3880173e3741df00517719102bea324d1aa56af415591bbd42f6a20340c/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_25_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_37b013e6b5dede69f154ba1c889567f15b41b0a1fc02f085309e624276b74d88/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_25_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,5,whois,1.0,0.0,-1.0,29,2,23,2,2,2,True,True,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_161b42c7c24f0776309b4fe7e0dc8f32f2f1fff383a345e44230c859c5e16cc2/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_5_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_388d319d3991b52b6d493c937f997c4c1096f659853a3ac02c550ef7d6c21197/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_5_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,11,whois,0.0,0.0,0.0,30,4,13,3,3,1,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_667a36e7414cc18cb49c71e04d098d43a9a2d69cc55404f5807ea7164d394165/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3c8a2fde25cc5c4bbd480debe56f454995c4b99971a177dab5fca4a397730eb8/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_11_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,0,whois,1.0,0.4,-0.6,6,3,6,3,3,2,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_6fb9e6abc9e4efca362c157a12e856fbf8f539ae96a82cff2899ccb78424d5e1/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_0_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3e28d337993865f121f8834f6b57331ea44b76166c0a75339d41bbdca67c6d2f/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_0_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,21,whatis,0.5,0.5,0.0,19,3,11,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_85b4f0c24d455a4056bf308f81bc2e70f944ac4996382797975ebbe8a7a25654/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_21_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4202aa28e4b1ca6a2c7fe6f78cb49ebd799ce09d178d5423e980576f9f2f8bef/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_21_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,18,whois,0.0,0.0,0.0,16,6,8,2,2,1,True,False,time_budget_exceeded,empty_model_response,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_8f3c7017b8f8ee06d1898b74cc97d4eeab11ec6e58a5f00a575903e98147599a/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_18_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4518ca35e2eb5254a0900b953a6fd8cc928ad3701a85fd5710274ab0d09ed5db/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_18_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,6,whois,1.0,0.0,-1.0,23,2,19,2,2,2,True,True,time_budget_exceeded,aborted,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9511a0f0ae8f31ef51fd128e3423cbe2d4102ce2f9d3fa8c4af2da7992cf91a1/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_6_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_45df57670d7b69b8883a5fd3c4bd133ef54b88a27ae763286df5108b9d249c44/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_6_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,28,whatis,1.0,0.0,-1.0,21,3,15,3,3,2,True,False,time_budget_exceeded,empty_model_response,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ef46822eb0c7813ad953f52cd571c97f03c83bd47e6771c358bbc34ed2094de1/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_28_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4c1e0d4697aea57a2a061c1d51c990a2868bad7fc777ec284379183a915b4796/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_28_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,3,whois,0.0,0.8,0.8,23,3,15,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7333e4a85d1bae10f9a1d4ee35de720581eaec8fb807f2c043f2bbd31291420a/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_3_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_4ea67272136b3cd5662cdf9cbf88efc56d994147e0bfbd0b9e15c96b1a5e8f54/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_3_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,29,whatis,0.0,0.0,0.0,29,7,13,2,2,3,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b3ae9673bd54089dd8d257d7e7a4b982976bccf844788b5a9036570a72aff170/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_29_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5963a5588967784909dcfaeb236708852df4930169b6024bc43175bb9c497c74/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_29_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,7,whois,1.0,0.0,-1.0,17,3,14,3,3,1,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_26225ca6d1a48d80bb1b57b6522619666187deed76356c2e9e37e79bf262ef74/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_7_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5a89c95f50060f6b8b445872502e84c90fe04426e5caed9a2172c4cd4ca11962/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_7_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,21,whatis,1.0,0.0,-1.0,13,3,13,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1196a1c3926fbf4cad89405c90b1a2715fa778f7d97cc2bf1144fb87a5871661/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_21_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_62332d0bad9ad610e98593d203d919bf9c84188b0bbcfa8ee3dfec57a48dd868/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_21_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,23,whatis,0.6666666666666666,0.6666666666666666,0.0,6,3,6,3,3,2,True,False,natural_answer,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_678e282afcbb824113547f3965248207c99fc09da9254ab4724f487bf01f0594/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_23_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_638569ef65a370ac4ddfdee50a511b664bff5248979c2f0b1fb7c2c32f80a585/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_23_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,32,whatis,0.0,0.0,0.0,30,7,13,3,3,3,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_c87839f20f926c5b1ea01103db3915938b15d5522fe4e96ccbc7ff03b588d1a9/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_32_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_656d583ef361d6ab30f8a14cc0d81ebe2f3305c9c26faecd98c425dadb9c7490/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_32_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,35,whatis,0.0,0.0,0.0,29,2,13,2,2,2,True,True,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_304ba2a1df6b42aa89a29623f755865c05e8538e069d4c49aa54d95b5bf3d79b/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_35_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_66c24454eb787ff1df65f038ac0aeaf397fa7d6b50e8e7610c5041f567d84410/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_35_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,24,whatis,0.0,0.0,0.0,29,3,21,3,3,3,True,True,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9a3fda0cab030150e289651168a57a93691f9f32173f405177ae89da6b6c85e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_24_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_66c9a935c0a4ff232726a2891137db682d80b25d74750d4abd90afbdc8e883ff/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_24_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,26,whatis,0.0,0.0,0.0,29,3,22,3,3,2,True,False,empty_model_response,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_41218a1f12e4b7fbc26941aea45ffe5893a20d524777dc2fd24eddff3966fa1c/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_26_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_6ab1fb4ac421c143fd3eb17612d332028a5e51ac7be61b8bf00a68422ee0195b/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_26_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,4,whois,1.0,1.0,0.0,6,3,6,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_575d91664a2904a25e76165118878868779258c0ed5f1805fa93168c0e363288/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_4_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_6e9d98e578bc68c6051d21810eca456b6accf80544ac76b827b330880c7444ca/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_4_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,8,whois,0.6666666666666666,0.6666666666666666,0.0,24,3,19,3,3,2,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_31c3ddc7a65fe3894c559aff00345a7419abc8c084c47a71ad58156df22d7c60/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_722a8fe9f3f45db4720f4302c582411852c7b0684189d683ef58443566c42103/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_8_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,14,whois,1.0,0.0,-1.0,9,2,9,2,2,2,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_e3ad9f4a768afc8c7a8d018099bcd7d5d73c0a62f6eb6994ef8e4c50a3b1f549/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_14_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_7378bb677e5d38e2b9902193c119f9107745fa5652a8eda3f42042414953d5bb/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_14_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,1,whois,0.6666666666666666,0.6666666666666666,0.0,2,2,2,2,2,2,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_5afb76684f7657814716a4edfc1344ca36f373c20ddbc7dfa0457478416386e5/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_1_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_775144a68283e0813068f8b9b9fc4178523bc0409d08a7088343d6edc5327cba/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_1_r0_s2200.json
