slot_id,model,system,scenario,regime,strategy,item,order,source_sha256,diagnostic_agent_index,mechanism,old_metrics_json,prior_diagnostic_metrics_json,strict_structured_suffix
68e9e46da26d7097f4035702,kimi-k3,expgym,evidence_audit,cost_moderate,single,cc-large:1,1,405c837eb9ff0b413f2a8554ad011044004442d65877e68d06c16aa21648ce4c,0,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.8235294117647058,""label_acc"":0.8823529411764706,""verification_eff"":0.23076923076923078}",True
6f824e6ee7bf2fbec4d7949b,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:1,2,0d65d872fb1901dd3936db01b86fdd9bad234058b230da4e4dc1a5e6c7ec0c50,0,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":1.0}",False
7213b1b923344978d7b4ff53,glm-5.3,expgym,evidence_audit,cost_moderate,single,cc-large:5,2,9da2b0c9a5bf522662cb42561122db57a64a4d2fac841f48f2721259143dff5e,0,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.8235294117647058,""label_acc"":0.8235294117647058,""verification_eff"":0.07692307692307693}",True
92882e04c0645a8c3fa34875,glm-5.3,poolact,evidence_audit,cost_moderate,naive,cc-large:6,,cd291cbd1102661192b46bc8e3e557e8f1430db40712a07cca4e330dc30f8589,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.7647058823529411,""label_acc"":1.0,""verification_eff"":0.3076923076923077}",False
92882e04c0645a8c3fa34875,glm-5.3,poolact,evidence_audit,cost_moderate,naive,cc-large:6,,cd291cbd1102661192b46bc8e3e557e8f1430db40712a07cca4e330dc30f8589,3,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":0.17647058823529413}",False
afdb47ef9d5e2d9332ad0a53,glm-5.3,poolact,evidence_audit,cost_moderate,cached,cc-large:9,,9698f7f70ea3bbb2ac710e2b28043c37c8a0f244cd0c8fc73b0dbc554c8964dd,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.8235294117647058,""label_acc"":0.8235294117647058,""verification_eff"":0.38461538461538464}",False
d0b8c858f4fae3e83caf2eac,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:8,0,5a3ac2a30528221bf1c22225e7bd9f16e0a50ccad0657d59ff4309e204a4bfd5,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":1.0}",False
d1e79c209877fefa403592a6,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:8,2,dd9e1550613074dea388f76962b0586487d1bd0b60260c717e60350af8ead049,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":1.0}",False
d29ce810dbfa5fada7d65b5b,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:9,2,44ea2b16328169e4a4c3473560a3682d2415f0571b9ee44652173aa07f051527,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":1.0}",False
e0d486abe6b92c9db796589d,glm-5.3,poolact,evidence_audit,cost_tight,naive,cc-large:6,,6d5a8abdc3eb852c37797bb8924c856168608e34800b14b21eefa39ae623a78a,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.7058823529411765,""label_acc"":0.9411764705882353,""verification_eff"":0.08333333333333333}",False
e650d812797e1e39dba3b889,glm-5.3,poolact,evidence_audit,cost_moderate,naive,cc-large:5,,60ba7df550ffcbd1ee2293271feb02770c9b454941538d34cade173f6e6f6789,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.06666666666666667}",False
f4549895cd356c1481152824,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:4,0,5cef925d148c262d2c9efcabaa06317597dc7adbe7d5a27c275e40e4bc0ecc5b,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":1.0}",False
