model,budget,doc_index,doc_id,order,source_cohort,trace_sha256,trace_bytes,hypothesis_count,label_acc,evidence_acc,joint_acc,label_correct_wrong_evidence_rate,correct_label_wrong_evidence_conditional,tool_calls,visible_tool_calls,distinct_hypotheses,repeat_calls,gold_nonempty_query_calls,gold_empty_query_calls,feedback_correct,feedback_incomplete,feedback_irrelevant,first_fixed_example,last_feedback_not_exact,termination_reason,answer_source,agent_steps,simulated_feedback_cost,budget_limit,budget_fraction,residual_less_than_min_call,residual_at_least_max_call,zero_feedback,visible_distinct_hypotheses,visible_repeat_calls,visible_feedback_correct,visible_feedback_incomplete,visible_feedback_irrelevant,visible_last_feedback_not_exact,hidden_result_count,natural_answer,time_budget_exceeded,max_steps_reached,visible_nonempty_query_calls,nonempty_n,nonempty_label_correct,nonempty_evidence_exact,nonempty_joint_correct,nonempty_label_correct_wrong_evidence,nonempty_missing_any,nonempty_extra_any,nonempty_evidence_precision,nonempty_evidence_recall,nonempty_queried,nonempty_correct_label_wrong_evidence_conditional,empty_n,empty_label_correct,empty_evidence_exact,empty_joint_correct,empty_label_correct_wrong_evidence,empty_missing_any,empty_extra_any,empty_evidence_precision,empty_evidence_recall,empty_queried,empty_correct_label_wrong_evidence_conditional,slot_id,source_sha256,source_origin,historical_source_sha256,agent_id,score_version,answer_change_reason,verification_eff,visible_verification_eff
deepseek-v4-flash-0731,cost_free,5,8,2,deepseek_original,9d7dea94416d33452b95d116f4b9720dd10f259fce7da06e4d1102ed1e659271,297647,17,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,29,29,17,12,10,19,18,4,7,0,1,max_steps_reached,forced_model_answer,30,8598.923851288855,,,,,0,17,12,18,4,7,1,0,0,0,1,10,4,0.5,1,0.5,0,0,0,1.0,1.0,1,0.0,13,1,1,1,0,0,0,1.0,1.0,1,0.0,1c9b1e6e57bb2810e4289647,9d7dea94416d33452b95d116f4b9720dd10f259fce7da06e4d1102ed1e659271,existing_trace_rescored,9d7dea94416d33452b95d116f4b9720dd10f259fce7da06e4d1102ed1e659271,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,6,11,0,deepseek_original,fcb91c4862002d487594ed468daf658310f7fd1ca0323b8832ff9692eb10b218,245660,17,1.0,1.0,1.0,0.0,0.0,29,29,17,12,16,13,17,6,6,1,0,max_steps_reached,forced_model_answer,30,8680.96460676752,,,,,0,17,12,17,6,6,0,0,0,0,1,16,10,1,1,1,0,0,0,1.0,1.0,1,0.0,7,1,1,1,0,0,0,1.0,1.0,1,0.0,f73094974758bb6de4836362,fcb91c4862002d487594ed468daf658310f7fd1ca0323b8832ff9692eb10b218,existing_trace_rescored,fcb91c4862002d487594ed468daf658310f7fd1ca0323b8832ff9692eb10b218,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,6,11,1,deepseek_original,97ebaf475c5a735c43eca86dfec61b7d075b4e6c1403962aefae1dbd241299fc,156388,17,0.0,0.0,0.0,0.0,,11,11,7,4,10,1,6,3,2,1,0,empty_model_response,,13,3239.9017238244414,,,,,0,7,4,6,3,2,0,0,0,0,0,10,10,0,0,0,0,1,0,0.0,0.0,0.6,,7,0,0,0,0,0,0,1.0,1.0,0.14285714285714285,,63f323b7dd8e500d39134cb3,97ebaf475c5a735c43eca86dfec61b7d075b4e6c1403962aefae1dbd241299fc,existing_trace_rescored,97ebaf475c5a735c43eca86dfec61b7d075b4e6c1403962aefae1dbd241299fc,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,6,11,2,deepseek_original,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,226198,17,1.0,1.0,1.0,0.0,0.0,29,29,13,16,22,7,11,5,13,1,1,max_steps_reached,forced_model_answer,30,8671.251094881445,,,,,0,13,16,11,5,13,1,0,0,0,1,22,10,1,1,1,0,0,0,1.0,1.0,1,0.0,7,1,1,1,0,0,0,1.0,1.0,0.42857142857142855,0.0,c78ae04e231c8b522439dcd2,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,existing_trace_rescored,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,-1,new,unchanged,0.6470588235294118,0.6470588235294118
deepseek-v4-flash-0731,cost_free,7,18,0,deepseek_original,99c13d0590f40b16319731bcc2b30a9d69de7b21a4ab8284a5c042a1b8f715f7,45834,17,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,natural_answer,natural_model_answer,1,0.0,,,,,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0.0,0.0,0,,12,0,0,0,0,0,0,1.0,1.0,0,,93aa3fc23dedc57618a70392,99c13d0590f40b16319731bcc2b30a9d69de7b21a4ab8284a5c042a1b8f715f7,existing_trace_rescored,99c13d0590f40b16319731bcc2b30a9d69de7b21a4ab8284a5c042a1b8f715f7,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,7,18,1,deepseek_original,fd894751aca249ff75bbdfe7af0ae087bab9395187c658ed0905ef96ace906e2,213369,17,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,29,29,16,13,8,21,16,2,11,0,0,max_steps_reached,forced_model_answer,30,8794.691431531683,,,,,0,16,13,16,2,11,0,0,0,0,1,8,5,0.8,1,0.8,0,0,0,1.0,1.0,1,0.0,12,1,1,1,0,0,0,1.0,1.0,0.9166666666666666,0.0,a50c7f478b98947f3e26ab5c,fd894751aca249ff75bbdfe7af0ae087bab9395187c658ed0905ef96ace906e2,existing_trace_rescored,fd894751aca249ff75bbdfe7af0ae087bab9395187c658ed0905ef96ace906e2,-1,new,unchanged,0.9375,0.9375
deepseek-v4-flash-0731,cost_free,7,18,2,deepseek_original,20e1e7a152bbc4bea1df8a98f1c3c361fa0c727dc799d353389029213427b9bc,257645,17,1.0,1.0,1.0,0.0,0.0,28,28,17,11,9,19,17,3,8,1,0,natural_answer,natural_model_answer,30,8530.036060400307,,,,,0,17,11,17,3,8,0,0,1,0,0,9,5,1,1,1,0,0,0,1.0,1.0,1,0.0,12,1,1,1,0,0,0,1.0,1.0,1,0.0,13d661ba6d4943df2bffbcae,20e1e7a152bbc4bea1df8a98f1c3c361fa0c727dc799d353389029213427b9bc,existing_trace_rescored,20e1e7a152bbc4bea1df8a98f1c3c361fa0c727dc799d353389029213427b9bc,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,8,21,0,deepseek_original,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,213963,17,1.0,1.0,1.0,0.0,0.0,29,29,13,16,23,6,13,10,6,1,0,max_steps_reached,forced_model_answer,30,8688.374177748337,,,,,0,13,16,13,10,6,0,0,0,0,1,23,12,1,1,1,0,0,0,1.0,1.0,0.8333333333333334,0.0,5,1,1,1,0,0,0,1.0,1.0,0.6,0.0,7135de92beef6bd20c7ee1f6,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,existing_trace_rescored,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,-1,new,unchanged,0.7647058823529411,0.7647058823529411
deepseek-v4-flash-0731,cost_free,8,21,1,deepseek_original,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,270542,17,1.0,1.0,1.0,0.0,0.0,29,29,17,12,23,6,17,10,2,0,0,max_steps_reached,forced_model_answer,30,8668.22563668713,,,,,0,17,12,17,10,2,0,0,0,0,1,23,12,1,1,1,0,0,0,1.0,1.0,1,0.0,5,1,1,1,0,0,0,1.0,1.0,1,0.0,960ead1ec1ad7385a403f031,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,existing_trace_rescored,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,8,21,2,deepseek_original,2c7815ecfeba6a35307552cf2416c7cb0dc80490506c4d260c7a799bc5f37695,277730,17,1.0,1.0,1.0,0.0,0.0,29,29,16,13,21,8,15,10,4,0,1,max_steps_reached,forced_model_answer,30,8688.229373088107,,,,,0,16,13,15,10,4,1,0,0,0,1,21,12,1,1,1,0,0,0,1.0,1.0,0.9166666666666666,0.0,5,1,1,1,0,0,0,1.0,1.0,1,0.0,b6308e69838ae6d45da45b4d,2c7815ecfeba6a35307552cf2416c7cb0dc80490506c4d260c7a799bc5f37695,existing_trace_rescored,2c7815ecfeba6a35307552cf2416c7cb0dc80490506c4d260c7a799bc5f37695,-1,new,unchanged,0.8823529411764706,0.8823529411764706
deepseek-v4-flash-0731,cost_free,9,22,0,deepseek_original,33143d651992befdb3cc115d211a6cddc8432b1d5b476175ec6a745708d8611d,196517,17,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,29,29,16,13,24,5,15,9,5,1,1,max_steps_reached,forced_model_answer,30,8688.928288025782,,,,,0,16,13,15,9,5,1,0,0,0,1,24,12,0.8333333333333334,1,0.8333333333333334,0,0,0,1.0,1.0,1,0.0,5,1,1,1,0,0,0,1.0,1.0,0.8,0.0,19817686cb8d6cd6df2460ad,33143d651992befdb3cc115d211a6cddc8432b1d5b476175ec6a745708d8611d,existing_trace_rescored,33143d651992befdb3cc115d211a6cddc8432b1d5b476175ec6a745708d8611d,-1,new,unchanged,0.8666666666666667,0.8666666666666667
deepseek-v4-flash-0731,cost_free,9,22,1,deepseek_original,1dfb4c3d2c1c5d852ae614e0a9400e1c45a3552c95b20f7ec9059b4c7d138804,216868,17,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,29,29,17,12,23,6,15,6,8,1,1,max_steps_reached,forced_model_answer,30,8705.014349585399,,,,,0,17,12,15,6,8,1,0,0,0,1,23,12,0.8333333333333334,1,0.8333333333333334,0,0,0,1.0,1.0,1,0.0,5,1,1,1,0,0,0,1.0,1.0,1,0.0,ed01f48bff576375491f2510,1dfb4c3d2c1c5d852ae614e0a9400e1c45a3552c95b20f7ec9059b4c7d138804,existing_trace_rescored,1dfb4c3d2c1c5d852ae614e0a9400e1c45a3552c95b20f7ec9059b4c7d138804,-1,new,unchanged,0.9333333333333333,0.9333333333333333
deepseek-v4-flash-0731,cost_free,9,22,2,deepseek_original,0e47ed0422fadd47436cb409061aa3ba866aa8a148a1182a9fed9d0a0200f1ae,233227,17,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.17647058823529413,0.2,28,28,13,15,22,6,12,8,8,0,1,max_steps_reached,forced_model_answer,30,8469.161440581083,,,,,0,13,15,12,8,8,1,0,0,0,1,22,12,0.8333333333333334,0.75,0.5833333333333334,0.25,0.25,0,1.0,0.875,0.6666666666666666,0.3,5,1,1,1,0,0,0,1.0,1.0,1,0.0,a3bcb8a213723c5491f29d1a,0e47ed0422fadd47436cb409061aa3ba866aa8a148a1182a9fed9d0a0200f1ae,existing_trace_rescored,0e47ed0422fadd47436cb409061aa3ba866aa8a148a1182a9fed9d0a0200f1ae,-1,new,unchanged,0.8333333333333334,0.8333333333333334
deepseek-v4-flash-0731,cost_free,10,23,0,deepseek_original,968c38861fe72ab3afb576d89c007930dc4c1ed7a6349da8ba6be2218f47a0fc,362125,17,0.8235294117647058,0.5882352941176471,0.5882352941176471,0.23529411764705882,0.2857142857142857,29,29,8,21,22,7,7,6,16,0,1,max_steps_reached,forced_model_answer,30,8643.33030086942,,,,,0,8,21,7,6,16,1,0,0,0,1,22,11,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.7272727272727273,0.5833333333333334,0.45454545454545453,0.4444444444444444,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0.16666666666666666,0.8333333333333334,1.0,0.5,0.0,97ee48f6181ec0fd1a3f860d,968c38861fe72ab3afb576d89c007930dc4c1ed7a6349da8ba6be2218f47a0fc,existing_trace_rescored,968c38861fe72ab3afb576d89c007930dc4c1ed7a6349da8ba6be2218f47a0fc,-1,new,unchanged,0.6,0.6
deepseek-v4-flash-0731,cost_free,10,23,1,deepseek_original,fa54000d354335384390bcf79a608aa11595b6818357f6da218e8c37318d477f,484738,17,0.9411764705882353,0.7647058823529411,0.7647058823529411,0.17647058823529413,0.1875,30,30,11,19,24,6,10,8,12,0,1,max_steps_reached,forced_model_answer,30,8943.836786942557,,,,,0,11,19,10,8,12,1,0,0,0,1,24,11,0.9090909090909091,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.8409090909090909,0.7348484848484849,0.7272727272727273,0.3,6,1,1,1,0,0,0,1.0,1.0,0.5,0.0,34c8519d9ac7e26afa899a9e,fa54000d354335384390bcf79a608aa11595b6818357f6da218e8c37318d477f,existing_trace_rescored,fa54000d354335384390bcf79a608aa11595b6818357f6da218e8c37318d477f,-1,new,unchanged,0.7692307692307693,0.7692307692307693
