cohort_id,model,segment,resource,definition,scope,known_sum,complete_sum,attempts,known_attempts,unknown_attempts,partial_reported_attempts,status,source_path
gpt_original,gpt-5.6-sol,all,total_input_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",120478791,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,output_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",2947888,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,total_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",123426679,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,cache_read_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",74817408,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,cache_creation_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",0,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,reasoning_tokens_included_in_output,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",1870955,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,all,request_wall_seconds,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",97006.55660640541,97006.55660640541,14682,,0,,complete_for_recorded_field,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gpt_original,gpt-5.6-sol,,reported_monetary_cost,provider_reported_cash_cost_not_inferred_from_tokens_or_subscription,No complete monetary ledger in these inputs,,,,,,,unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
gemini_snapshot,gemini-3.8-flash-medium,,reported_monetary_cost,provider_reported_cash_cost_not_inferred_from_tokens_or_subscription,No complete monetary ledger in these inputs,,,,,,,unknown,/lustrefs/users/chufan.shi/codex_space_tn/all_model_report_20260913/gemini_snapshot/data_v1/INPUTS.json
gemini_snapshot,gemini-3.8-flash-medium,,all_attempt_usage,No refreshed complete all-attempt/cost ledger,Frozen snapshot covers effective terminal scalars; recovery costs remain unknown here,,,,,,,unknown_not_zero,/lustrefs/users/chufan.shi/codex_space_tn/all_model_report_20260913/gemini_snapshot/data_v1/INPUTS.json
