model,system,scenario,regime,strategy,metric,cohort_id,source_input,source_row,planned_logical_jobs,fully_scored_logical_jobs,source_expected_units,source_known_units
gemini-3.8-flash-medium,expgym,restricted_search,cost_tight,single,f1,gemini_snapshot,gemini_absolute,19,73,73,73,73
gemini-3.8-flash-medium,expgym,tuning,cost_free,single,gap,gemini_snapshot,gemini_absolute,22,27,25,27,25
gemini-3.8-flash-medium,expgym,tuning,cost_moderate,single,gap,gemini_snapshot,gemini_absolute,30,27,25,27,25
gemini-3.8-flash-medium,expgym,tuning,cost_tight,single,gap,gemini_snapshot,gemini_absolute,38,27,25,27,25
gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,gemini_snapshot,gemini_absolute,48,13,13,13,13
gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,gemini_snapshot,gemini_absolute,56,13,13,13,13
gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,gemini_snapshot,gemini_absolute,64,13,13,13,13
gemini-3.8-flash-medium,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,gemini_snapshot,gemini_absolute,72,13,13,13,13
gemini-3.8-flash-medium,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,gemini_snapshot,gemini_absolute,80,13,13,13,13
gemini-3.8-flash-medium,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,gemini_snapshot,gemini_absolute,88,13,13,13,13
gemini-3.8-flash-medium,poolact,restricted_search,cost_moderate,cached,f1_mv,gemini_snapshot,gemini_absolute,96,39,39,39,39
gemini-3.8-flash-medium,poolact,restricted_search,cost_moderate,naive,f1_mv,gemini_snapshot,gemini_absolute,100,39,38,39,38
gemini-3.8-flash-medium,poolact,restricted_search,cost_moderate,poolact,f1_mv,gemini_snapshot,gemini_absolute,104,39,39,39,39
gemini-3.8-flash-medium,poolact,restricted_search,cost_tight,cached,f1_mv,gemini_snapshot,gemini_absolute,108,39,39,39,39
gemini-3.8-flash-medium,poolact,restricted_search,cost_tight,naive,f1_mv,gemini_snapshot,gemini_absolute,112,39,39,39,39
gemini-3.8-flash-medium,poolact,restricted_search,cost_tight,poolact,f1_mv,gemini_snapshot,gemini_absolute,116,39,39,39,39
gemini-3.8-flash-medium,poolact,tuning,cost_moderate,cached,gap_mi,gemini_snapshot,gemini_absolute,120,9,7,9,7
gemini-3.8-flash-medium,poolact,tuning,cost_moderate,naive,gap_mi,gemini_snapshot,gemini_absolute,128,9,8,9,8
gemini-3.8-flash-medium,poolact,tuning,cost_moderate,poolact,gap_mi,gemini_snapshot,gemini_absolute,136,9,6,9,6
gemini-3.8-flash-medium,poolact,tuning,cost_tight,cached,gap_mi,gemini_snapshot,gemini_absolute,144,9,7,9,7
gemini-3.8-flash-medium,poolact,tuning,cost_tight,naive,gap_mi,gemini_snapshot,gemini_absolute,152,9,9,9,9
gemini-3.8-flash-medium,poolact,tuning,cost_tight,poolact,gap_mi,gemini_snapshot,gemini_absolute,160,9,8,9,8
glm-5.3,expgym,evidence_audit,cost_free,single,evidence_acc,glm_original,old_absolute,1247,39,39,13,13
glm-5.3,expgym,evidence_audit,cost_moderate,single,evidence_acc,glm_original,old_absolute,1258,39,39,13,13
glm-5.3,expgym,evidence_audit,cost_tight,single,evidence_acc,glm_original,old_absolute,1269,39,39,13,13
glm-5.3,expgym,restricted_search,cost_free,single,f1,glm_original,old_absolute,1279,73,73,73,73
glm-5.3,expgym,restricted_search,cost_moderate,single,f1,glm_original,old_absolute,1289,73,73,73,73
glm-5.3,expgym,restricted_search,cost_tight,single,f1,glm_original,old_absolute,1299,73,73,73,73
glm-5.3,expgym,tuning,cost_free,single,gap,glm_original,old_absolute,1369,27,27,27,27
glm-5.3,expgym,tuning,cost_moderate,single,gap,glm_original,old_absolute,1380,27,27,27,27
glm-5.3,expgym,tuning,cost_tight,single,gap,glm_original,old_absolute,1391,27,27,27,27
glm-5.3,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,glm_original,old_absolute,1784,13,13,13,13
glm-5.3,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,glm_original,old_absolute,1797,13,13,13,13
glm-5.3,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,glm_original,old_absolute,1810,13,13,13,13
glm-5.3,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,glm_rerun_20260912,rerun_aggregate,68,13,13,13,13
glm-5.3,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,glm_rerun_20260912,rerun_aggregate,72,13,13,13,13
glm-5.3,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,glm_rerun_20260912,rerun_aggregate,76,13,13,13,13
glm-5.3,poolact,restricted_search,cost_moderate,cached,f1_mv,glm_original,old_absolute,1862,39,39,39,39
glm-5.3,poolact,restricted_search,cost_moderate,naive,f1_mv,glm_original,old_absolute,1873,39,39,39,39
glm-5.3,poolact,restricted_search,cost_moderate,poolact,f1_mv,glm_original,old_absolute,1884,39,39,39,39
glm-5.3,poolact,restricted_search,cost_tight,cached,f1_mv,glm_original,old_absolute,1895,39,39,39,39
glm-5.3,poolact,restricted_search,cost_tight,naive,f1_mv,glm_original,old_absolute,1906,39,39,39,39
glm-5.3,poolact,restricted_search,cost_tight,poolact,f1_mv,glm_original,old_absolute,1917,39,39,39,39
glm-5.3,poolact,tuning,cost_moderate,cached,gap_mi,glm_original,old_absolute,1997,9,9,9,9
glm-5.3,poolact,tuning,cost_moderate,naive,gap_mi,glm_original,old_absolute,2010,9,9,9,9
glm-5.3,poolact,tuning,cost_moderate,poolact,gap_mi,glm_original,old_absolute,2023,9,9,9,9
glm-5.3,poolact,tuning,cost_tight,cached,gap_mi,glm_rerun_20260912,rerun_aggregate,82,9,9,9,9
glm-5.3,poolact,tuning,cost_tight,naive,gap_mi,glm_rerun_20260912,rerun_aggregate,88,9,9,9,9
glm-5.3,poolact,tuning,cost_tight,poolact,gap_mi,glm_rerun_20260912,rerun_aggregate,94,9,9,9,9
gpt-5.6-sol,expgym,evidence_audit,cost_free,single,evidence_acc,gpt_original,old_absolute,2381,39,39,13,13
gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,evidence_acc,gpt_original,old_absolute,2383,39,39,13,13
gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,evidence_acc,gpt_original,old_absolute,2385,39,39,13,13
gpt-5.6-sol,expgym,restricted_search,cost_free,single,f1,gpt_original,old_absolute,2393,73,73,73,73
gpt-5.6-sol,expgym,restricted_search,cost_moderate,single,f1,gpt_original,old_absolute,2394,73,73,73,73
gpt-5.6-sol,expgym,restricted_search,cost_tight,single,f1,gpt_original,old_absolute,2395,73,73,73,73
gpt-5.6-sol,expgym,tuning,cost_free,single,gap,gpt_original,old_absolute,2402,27,27,27,27
gpt-5.6-sol,expgym,tuning,cost_moderate,single,gap,gpt_original,old_absolute,2404,27,27,27,27
gpt-5.6-sol,expgym,tuning,cost_tight,single,gap,gpt_original,old_absolute,2406,27,27,27,27
gpt-5.6-sol,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,gpt_original,old_absolute,2481,13,13,13,13
gpt-5.6-sol,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,gpt_original,old_absolute,2485,13,13,13,13
gpt-5.6-sol,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,gpt_original,old_absolute,2489,13,13,13,13
gpt-5.6-sol,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,gpt_original,old_absolute,2493,13,13,13,13
gpt-5.6-sol,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,gpt_original,old_absolute,2497,13,13,13,13
gpt-5.6-sol,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,gpt_original,old_absolute,2501,13,13,13,13
gpt-5.6-sol,poolact,restricted_search,cost_moderate,cached,f1_mv,gpt_original,old_absolute,2529,39,39,39,39
gpt-5.6-sol,poolact,restricted_search,cost_moderate,naive,f1_mv,gpt_original,old_absolute,2531,39,39,39,39
gpt-5.6-sol,poolact,restricted_search,cost_moderate,poolact,f1_mv,gpt_original,old_absolute,2533,39,39,39,39
gpt-5.6-sol,poolact,restricted_search,cost_tight,cached,f1_mv,gpt_original,old_absolute,2535,39,39,39,39
gpt-5.6-sol,poolact,restricted_search,cost_tight,naive,f1_mv,gpt_original,old_absolute,2537,39,39,39,39
gpt-5.6-sol,poolact,restricted_search,cost_tight,poolact,f1_mv,gpt_original,old_absolute,2539,39,39,39,39
gpt-5.6-sol,poolact,tuning,cost_moderate,cached,gap_mi,gpt_rerun_20260912,rerun_aggregate,100,9,9,9,9
gpt-5.6-sol,poolact,tuning,cost_moderate,naive,gap_mi,gpt_rerun_20260912,rerun_aggregate,106,9,9,9,9
gpt-5.6-sol,poolact,tuning,cost_moderate,poolact,gap_mi,gpt_rerun_20260912,rerun_aggregate,112,9,9,9,9
gpt-5.6-sol,poolact,tuning,cost_tight,cached,gap_mi,gpt_original,old_absolute,2565,9,9,9,9
gpt-5.6-sol,poolact,tuning,cost_tight,naive,gap_mi,gpt_original,old_absolute,2569,9,9,9,9
gpt-5.6-sol,poolact,tuning,cost_tight,poolact,gap_mi,gpt_original,old_absolute,2573,9,9,9,9
kimi-k3,expgym,evidence_audit,cost_free,single,evidence_acc,kimi_original,old_absolute,2673,39,39,13,13
kimi-k3,expgym,evidence_audit,cost_moderate,single,evidence_acc,kimi_original,old_absolute,2684,39,39,13,13
kimi-k3,expgym,evidence_audit,cost_tight,single,evidence_acc,kimi_original,old_absolute,2695,39,39,13,13
kimi-k3,expgym,restricted_search,cost_free,single,f1,kimi_original,old_absolute,2705,73,73,73,73
kimi-k3,expgym,restricted_search,cost_moderate,single,f1,kimi_original,old_absolute,2715,73,73,73,73
kimi-k3,expgym,restricted_search,cost_tight,single,f1,kimi_original,old_absolute,2725,73,73,73,73
kimi-k3,expgym,tuning,cost_free,single,gap,kimi_original,old_absolute,2795,27,27,27,27
kimi-k3,expgym,tuning,cost_moderate,single,gap,kimi_original,old_absolute,2806,27,27,27,27
kimi-k3,expgym,tuning,cost_tight,single,gap,kimi_original,old_absolute,2817,27,27,27,27
kimi-k3,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,kimi_original,old_absolute,3210,13,13,13,13
kimi-k3,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,kimi_original,old_absolute,3223,13,13,13,13
kimi-k3,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,kimi_original,old_absolute,3236,13,13,13,13
kimi-k3,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,kimi_original,old_absolute,3249,13,13,13,13
kimi-k3,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,kimi_original,old_absolute,3262,13,13,13,13
kimi-k3,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,kimi_original,old_absolute,3275,13,13,13,13
kimi-k3,poolact,restricted_search,cost_moderate,cached,f1_mv,kimi_original,old_absolute,3288,39,39,39,39
kimi-k3,poolact,restricted_search,cost_moderate,naive,f1_mv,kimi_original,old_absolute,3299,39,39,39,39
kimi-k3,poolact,restricted_search,cost_moderate,poolact,f1_mv,kimi_original,old_absolute,3310,39,39,39,39
kimi-k3,poolact,restricted_search,cost_tight,cached,f1_mv,kimi_original,old_absolute,3321,39,39,39,39
kimi-k3,poolact,restricted_search,cost_tight,naive,f1_mv,kimi_original,old_absolute,3332,39,39,39,39
kimi-k3,poolact,restricted_search,cost_tight,poolact,f1_mv,kimi_original,old_absolute,3343,39,39,39,39
kimi-k3,poolact,tuning,cost_moderate,cached,gap_mi,kimi_original,old_absolute,3423,9,9,9,9
kimi-k3,poolact,tuning,cost_moderate,naive,gap_mi,kimi_original,old_absolute,3436,9,9,9,9
kimi-k3,poolact,tuning,cost_moderate,poolact,gap_mi,kimi_original,old_absolute,3449,9,9,9,9
kimi-k3,poolact,tuning,cost_tight,cached,gap_mi,kimi_rerun_20260912,rerun_aggregate,118,9,9,9,9
kimi-k3,poolact,tuning,cost_tight,naive,gap_mi,kimi_rerun_20260912,rerun_aggregate,124,9,9,9,9
kimi-k3,poolact,tuning,cost_tight,poolact,gap_mi,kimi_rerun_20260912,rerun_aggregate,130,9,9,9,9
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,evidence_acc,qwen_original,old_absolute,3808,39,39,13,13
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_moderate,single,evidence_acc,qwen_original,old_absolute,3819,39,39,13,13
qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_tight,single,evidence_acc,qwen_original,old_absolute,3830,39,39,13,13
qwen3.8-2.4t-a95b-fp8,expgym,restricted_search,cost_free,single,f1,qwen_original,old_absolute,3872,73,73,73,73
qwen3.8-2.4t-a95b-fp8,expgym,restricted_search,cost_moderate,single,f1,qwen_original,old_absolute,3882,73,73,73,73
qwen3.8-2.4t-a95b-fp8,expgym,restricted_search,cost_tight,single,f1,qwen_original,old_absolute,3892,73,73,73,73
qwen3.8-2.4t-a95b-fp8,expgym,tuning,cost_free,single,gap,qwen_original,old_absolute,3962,27,27,27,27
qwen3.8-2.4t-a95b-fp8,expgym,tuning,cost_moderate,single,gap,qwen_original,old_absolute,3973,27,27,27,27
qwen3.8-2.4t-a95b-fp8,expgym,tuning,cost_tight,single,gap,qwen_original,old_absolute,3984,27,27,27,27
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,cached,evidence_acc_mv,qwen_original,old_absolute,4377,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,evidence_acc_mv,qwen_original,old_absolute,4390,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,poolact,evidence_acc_mv,qwen_original,old_absolute,4403,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_tight,cached,evidence_acc_mv,qwen_original,old_absolute,4416,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_tight,naive,evidence_acc_mv,qwen_original,old_absolute,4429,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_tight,poolact,evidence_acc_mv,qwen_original,old_absolute,4442,13,13,13,13
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,cached,f1_mv,qwen_original,old_absolute,4533,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,naive,f1_mv,qwen_original,old_absolute,4544,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,f1_mv,qwen_original,old_absolute,4555,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_tight,cached,f1_mv,qwen_original,old_absolute,4566,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_tight,naive,f1_mv,qwen_original,old_absolute,4577,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_tight,poolact,f1_mv,qwen_original,old_absolute,4588,39,39,39,39
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_moderate,cached,gap_mi,qwen_original,old_absolute,4668,9,9,9,9
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_moderate,naive,gap_mi,qwen_original,old_absolute,4681,9,9,9,9
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_moderate,poolact,gap_mi,qwen_original,old_absolute,4694,9,9,9,9
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_tight,cached,gap_mi,qwen_original,old_absolute,4707,9,9,9,9
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_tight,naive,gap_mi,qwen_original,old_absolute,4720,9,9,9,9
qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_tight,poolact,gap_mi,qwen_original,old_absolute,4733,9,9,9,9
