family,scenario,regime,metric,unit,N,model,full_mean,display_value,rank,ranking_status,overall_winner,eligible_all_budgets,excluded_reason,cohort_id,source_input,source_row,planned_candidates,known_candidates
nasbench101,tuning,cost_tight,gap0,Gap points,1,kimi-k3,94.96809853403244,94.97,2,known,False,True,,kimi_original,old_gap0,6,6,5
nasbench101,tuning,cost_tight,gap0,Gap points,1,glm-5.3,90.76144263870238,90.76,4,known,False,True,,glm_original,old_gap0,30,6,5
nasbench101,tuning,cost_tight,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,93.81515159593864,93.82,3,known,False,True,,qwen_original,old_gap0,54,6,5
nasbench101,tuning,cost_tight,gap0,Gap points,1,deepseek-v4-flash-0731,86.86435133846592,86.86,5,known,False,True,,deepseek_original,old_gap0,78,6,5
nasbench101,tuning,cost_tight,gap0,Gap points,1,gpt-5.6-sol,97.03084328092477,97.03,1,known,False,True,,gpt_original,old_gap0,102,6,5
nasbench101,tuning,cost_tight,gap0,Gap points,1,gemini-3.8-flash-medium,,unknown,,unknown,False,False,"Moderate,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[204,715,942,1398,1444,1464,1506,1538,1572]",6,5
nasbench201,tuning,cost_free,gap0,Gap points,1,kimi-k3,99.77083456336484,99.77,1,known,True,True,,kimi_original,old_gap0,7,6,6
nasbench201,tuning,cost_free,gap0,Gap points,1,glm-5.3,98.63716414441365,98.64,3,known,False,True,,glm_original,old_gap0,31,6,6
nasbench201,tuning,cost_free,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,98.45155983155821,98.45,4,known,False,True,,qwen_original,old_gap0,55,6,6
nasbench201,tuning,cost_free,gap0,Gap points,1,deepseek-v4-flash-0731,81.62031675161019,81.62,6,known,False,True,,deepseek_original,old_gap0,79,6,6
nasbench201,tuning,cost_free,gap0,Gap points,1,gpt-5.6-sol,98.22953190702978,98.23,5,known,False,True,,gpt_original,old_gap0,103,6,6
nasbench201,tuning,cost_free,gap0,Gap points,1,gemini-3.8-flash-medium,99.15349095002772,99.15,2,known,False,True,,gemini_snapshot,gemini_metrics,"[31,131,361,1378,1452,1466,1512,1540,1556]",6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,kimi-k3,97.07662908016032,97.08,2,known,False,True,,kimi_original,old_gap0,8,6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,glm-5.3,96.4868516064718,96.49,3,known,False,True,,glm_original,old_gap0,32,6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,93.9364165262355,93.94,5,known,False,True,,qwen_original,old_gap0,56,6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,deepseek-v4-flash-0731,79.34404615956372,79.34,6,known,False,True,,deepseek_original,old_gap0,80,6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,gpt-5.6-sol,96.23745766067792,96.24,4,known,False,True,,gpt_original,old_gap0,104,6,6
nasbench201,tuning,cost_moderate,gap0,Gap points,1,gemini-3.8-flash-medium,99.12151934803056,99.12,1,known,True,True,,gemini_snapshot,gemini_metrics,"[274,745,1032,1394,1396,1432,1500,1544,1554]",6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,kimi-k3,94.66056902635921,94.66,2,known,False,True,,kimi_original,old_gap0,9,6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,glm-5.3,88.0373312804968,88.04,4,known,False,True,,glm_original,old_gap0,33,6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,85.4489732980693,85.45,5,known,False,True,,qwen_original,old_gap0,57,6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,deepseek-v4-flash-0731,76.62120124792725,76.62,6,known,False,True,,deepseek_original,old_gap0,81,6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,gpt-5.6-sol,92.25786061606709,92.26,3,known,False,True,,gpt_original,old_gap0,105,6,6
nasbench201,tuning,cost_tight,gap0,Gap points,1,gemini-3.8-flash-medium,94.8695267484929,94.87,1,known,True,True,,gemini_snapshot,gemini_metrics,"[6,297,425,1364,1372,1384,1508,1510,1536]",6,6
paramnet,tuning,cost_free,gap0,Gap points,1,kimi-k3,97.07588307631181,97.08,2,known,False,True,,kimi_original,old_gap0,10,6,5
paramnet,tuning,cost_free,gap0,Gap points,1,glm-5.3,96.03878841246782,96.04,3,known,False,True,,glm_original,old_gap0,34,6,5
paramnet,tuning,cost_free,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,95.2822905852123,95.28,4,known,False,True,,qwen_original,old_gap0,58,6,5
paramnet,tuning,cost_free,gap0,Gap points,1,deepseek-v4-flash-0731,41.55878551252233,41.56,5,known,False,True,,deepseek_original,old_gap0,82,6,5
paramnet,tuning,cost_free,gap0,Gap points,1,gpt-5.6-sol,97.31233017688683,97.31,1,known,False,True,,gpt_original,old_gap0,106,6,5
paramnet,tuning,cost_free,gap0,Gap points,1,gemini-3.8-flash-medium,,unknown,,unknown,False,False,"Free,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[23,800,1338,1408,1414,1454,1514,1594,1610]",6,5
paramnet,tuning,cost_moderate,gap0,Gap points,1,kimi-k3,87.7565007299784,87.76,5,known,False,True,,kimi_original,old_gap0,11,6,6
paramnet,tuning,cost_moderate,gap0,Gap points,1,glm-5.3,94.24026889615324,94.24,3,known,False,True,,glm_original,old_gap0,35,6,6
paramnet,tuning,cost_moderate,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,94.9526938925112,94.95,2,known,False,True,,qwen_original,old_gap0,59,6,6
paramnet,tuning,cost_moderate,gap0,Gap points,1,deepseek-v4-flash-0731,70.83837532498686,70.84,6,known,False,True,,deepseek_original,old_gap0,83,6,6
paramnet,tuning,cost_moderate,gap0,Gap points,1,gpt-5.6-sol,95.27182608253405,95.27,1,known,True,True,,gpt_original,old_gap0,107,6,6
paramnet,tuning,cost_moderate,gap0,Gap points,1,gemini-3.8-flash-medium,93.95190837209174,93.95,4,known,False,False,"Free,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[295,346,1251,1434,1440,1442,1516,1518,1530]",6,6
paramnet,tuning,cost_tight,gap0,Gap points,1,kimi-k3,79.42248331232413,79.42,2,known,False,True,,kimi_original,old_gap0,12,6,5
paramnet,tuning,cost_tight,gap0,Gap points,1,glm-5.3,79.40189205611205,79.40,3,known,False,True,,glm_original,old_gap0,36,6,5
paramnet,tuning,cost_tight,gap0,Gap points,1,qwen3.8-2.4t-a95b-fp8,77.86584532528114,77.87,4,known,False,True,,qwen_original,old_gap0,60,6,5
paramnet,tuning,cost_tight,gap0,Gap points,1,deepseek-v4-flash-0731,63.942854907754366,63.94,5,known,False,True,,deepseek_original,old_gap0,84,6,5
paramnet,tuning,cost_tight,gap0,Gap points,1,gpt-5.6-sol,85.69408389858862,85.69,1,known,False,True,,gpt_original,old_gap0,108,6,5
paramnet,tuning,cost_tight,gap0,Gap points,1,gemini-3.8-flash-medium,,unknown,,unknown,False,False,"Free,Tight unknown 或不唯一",gemini_snapshot,gemini_metrics,"[270,462,1211,1360,1380,1478,1494,1520,1592]",6,5
whatis,restricted_search,cost_free,f1,fraction,1,kimi-k3,0.6095842882607588,60.96,4,known,False,True,,kimi_original,old_absolute,2734,6,6
whatis,restricted_search,cost_free,f1,fraction,1,glm-5.3,0.6149144972674384,61.49,3,known,False,True,,glm_original,old_absolute,1308,6,6
whatis,restricted_search,cost_free,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.5131033182503771,51.31,5,known,False,True,,qwen_original,old_absolute,3901,6,6
whatis,restricted_search,cost_free,f1,fraction,1,deepseek-v4-flash-0731,0.36907308377896614,36.91,6,known,False,True,,deepseek_original,old_absolute,95,6,6
whatis,restricted_search,cost_free,f1,fraction,1,gpt-5.6-sol,0.6542057999670456,65.42,2,known,False,True,,gpt_original,old_absolute,2396,6,6
whatis,restricted_search,cost_free,f1,fraction,1,gemini-3.8-flash-medium,0.6992695117262592,69.93,1,known,True,True,,gemini_snapshot,gemini_absolute,14,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,kimi-k3,0.4080341227400051,40.80,3,known,False,True,,kimi_original,old_absolute,2744,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,glm-5.3,0.40649122119710357,40.65,4,known,False,True,,glm_original,old_absolute,1318,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.3934509118332648,39.35,5,known,False,True,,qwen_original,old_absolute,3911,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,deepseek-v4-flash-0731,0.33351648351648355,33.35,6,known,False,True,,deepseek_original,old_absolute,105,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,gpt-5.6-sol,0.45387700534759357,45.39,2,known,False,True,,gpt_original,old_absolute,2397,6,6
whatis,restricted_search,cost_moderate,f1,fraction,1,gemini-3.8-flash-medium,0.4613197260256084,46.13,1,known,True,True,,gemini_snapshot,gemini_absolute,17,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,kimi-k3,0.14313725490196078,14.31,4,known,False,True,,kimi_original,old_absolute,2754,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,glm-5.3,0.1484848484848485,14.85,2,known,False,True,,glm_original,old_absolute,1328,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.13770053475935828,13.77,6,known,False,True,,qwen_original,old_absolute,3921,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,deepseek-v4-flash-0731,0.15926916221033868,15.93,1,known,True,True,,deepseek_original,old_absolute,115,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,gpt-5.6-sol,0.13868092691622103,13.87,5,known,False,True,,gpt_original,old_absolute,2398,6,6
whatis,restricted_search,cost_tight,f1,fraction,1,gemini-3.8-flash-medium,0.1484848484848485,14.85,2,known,False,True,,gemini_snapshot,gemini_absolute,20,6,6
whois,restricted_search,cost_free,f1,fraction,1,kimi-k3,0.6588618353324236,65.89,3,known,False,True,,kimi_original,old_absolute,2763,6,6
whois,restricted_search,cost_free,f1,fraction,1,glm-5.3,0.6826510091215974,68.27,2,known,False,True,,glm_original,old_absolute,1337,6,6
whois,restricted_search,cost_free,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.6411018175724058,64.11,4,known,False,True,,qwen_original,old_absolute,3930,6,6
whois,restricted_search,cost_free,f1,fraction,1,deepseek-v4-flash-0731,0.498340874811463,49.83,6,known,False,True,,deepseek_original,old_absolute,124,6,6
whois,restricted_search,cost_free,f1,fraction,1,gpt-5.6-sol,0.6278280542986425,62.78,5,known,False,True,,gpt_original,old_absolute,2399,6,6
whois,restricted_search,cost_free,f1,fraction,1,gemini-3.8-flash-medium,0.7386339151045034,73.86,1,known,True,True,,gemini_snapshot,gemini_absolute,15,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,kimi-k3,0.5730039024156671,57.30,5,known,False,True,,kimi_original,old_absolute,2773,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,glm-5.3,0.642842148105306,64.28,1,known,True,True,,glm_original,old_absolute,1347,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.6112834877540759,61.13,3,known,False,True,,qwen_original,old_absolute,3940,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,deepseek-v4-flash-0731,0.4974861739567622,49.75,6,known,False,True,,deepseek_original,old_absolute,134,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,gpt-5.6-sol,0.5974861739567622,59.75,4,known,False,True,,gpt_original,old_absolute,2400,6,6
whois,restricted_search,cost_moderate,f1,fraction,1,gemini-3.8-flash-medium,0.6276652541358424,62.77,2,known,False,True,,gemini_snapshot,gemini_absolute,18,6,6
whois,restricted_search,cost_tight,f1,fraction,1,kimi-k3,0.17013574660633485,17.01,5,known,False,True,,kimi_original,old_absolute,2783,6,6
whois,restricted_search,cost_tight,f1,fraction,1,glm-5.3,0.23057530704589527,23.06,1,known,True,True,,glm_original,old_absolute,1357,6,6
whois,restricted_search,cost_tight,f1,fraction,1,qwen3.8-2.4t-a95b-fp8,0.22569130216189043,22.57,2,known,False,True,,qwen_original,old_absolute,3950,6,6
whois,restricted_search,cost_tight,f1,fraction,1,deepseek-v4-flash-0731,0.17782805429864254,17.78,4,known,False,True,,deepseek_original,old_absolute,144,6,6
whois,restricted_search,cost_tight,f1,fraction,1,gpt-5.6-sol,0.17013574660633485,17.01,5,known,False,True,,gpt_original,old_absolute,2401,6,6
whois,restricted_search,cost_tight,f1,fraction,1,gemini-3.8-flash-medium,0.20432378079436903,20.43,3,known,False,True,,gemini_snapshot,gemini_absolute,21,6,6
