event_id,lane,models,run_id,start_utc,end_utc,time_basis,phase,matrix,planned,execution_accounting,score_accounting,count_unit,issue_found,followup,final_selection,excluded_model_in_current_report,evidence,known_limitations,additional_accounting
portable_03,selfserve,"[""Kimi K3""]",k3_smoke_1203474_v2_scenario,2026-09-08T03:41:03.038263Z,2026-09-08T04:22:32.262862Z,原始执行开始/结束元数据,smoke,Exp 三场景×Free/Moderate/Tight；Pool 三场景×Moderate/Tight×三策略 N2,"{""agent_traces"": 45, ""invocations"": 15}","{""agent_traces"": 45, ""http_attempts"": 228, ""invocations"": 15}","{""validated_agent_traces"": 45}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,确认 native 系统指令与 task 用户上下文的文本 Action 格式冲突,修正 native task-context，在 v3 另跑6-job smoke；原45条保留,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/scenario_runs/k3_smoke_1203474_v2/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/scenario_runs/k3_smoke_1203474_v2/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/scenario_runs/k3_smoke_1203474_v2/operator_completion_receipt.json""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""scenario smoke"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_04,selfserve,"[""Kimi K3""]",k3_native_context_1203474_v3,2026-09-08T04:48:50.541262Z,2026-09-08T05:16:52.029815Z,原始执行开始/结束元数据,smoke,Moderate；Exp Search/Audit/HPO 3项，Pool 对应三场景×三策略 N2,"{""agent_traces"": 21, ""invocations"": 6}","{""agent_traces"": 21, ""invocations"": 6}","{""validated_agent_traces"": 21}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,native prompt gate/12路径覆盖通过；保留7个语义零分,进入 A21 runtime pilot,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/scenario_runs/k3_native_context_1203474_v3/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/scenario_runs/k3_native_context_1203474_v3/execution.json""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""repaired scenario smoke"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_05,selfserve,"[""Kimi K3""]",k3_a21_1203474_v3,2026-09-08T05:21:13.331176Z,2026-09-08T05:52:05.574923Z,原始执行开始/结束元数据,smoke,Exp：9个HPO Moderate；Search/Audit各2题×三预算,"{""agent_traces"": 21, ""invocations"": 21}","{""agent_traces"": 21, ""http_attempts"": 248, ""invocations"": 21}","{""validated_agent_traces"": 21}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,工程通过，1个语义零分保留,进入 B/C N4 runtime pilot；不复用为正式矩阵,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_a21_1203474_v3/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_a21_1203474_v3/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_a21_1203474_v3/operator_completion_receipt.json""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""runtime pilot"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_06,selfserve,"[""Kimi K3""]",k3_bc312_1203474_v3,2026-09-08T06:08:29.707827Z,2026-09-08T10:38:47.112766Z,开始为 execution_started；结束为事后 interrupted receipt 创建时点，不是精确进程退出,smoke,N4 三策略：9HPO Moderate；Search Tight/Audit Moderate各2题；NAS101A Tight；另36个重复池,"{""agent_traces"": 312, ""pools"": 78}","{""agent_traces_retained"": 188, ""http_attempts"": 1532, ""pools_closed"": 47, ""pools_not_started"": 31, ""pools_started"": 47}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,1次 provider grammar abort 被旧客户端当 success；整受影响池隔离；另1次HTTP错误成本未知,10:25单次 controller SIGINT 后自然 drain；修复 provider abort/finish-reason 准入后新源开发验证,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_bc312_1203474_v3/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_bc312_1203474_v3/operator_interrupted_partial_receipt.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/pilot_runs/k3_bc312_1203474_v3/operator_single_pid_sigint_20260908T102501Z.json""]","[""47项旧本地闭合不等于47个科学有效池；中断未生成正常全程elapsed""]","{""historical_phase_label"": ""interrupted runtime pilot"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_07,selfserve,"[""GLM 5.3""]",glm_compatibility_1203577_v6,2026-09-08T15:42:43.565460Z,2026-09-08T18:25:38Z,开始 controller_started_unix；结束为 operator_completion 创建时点,smoke,12 nonce + 3 Exp +12 Pool任务 N4；共51 task agents,"{""agent_traces"": 51, ""nonce_slots"": 12, ""task_invocations"": 15}","{""agent_traces"": 51, ""http_attempts"": 487, ""task_invocations"": 15}","{""validated_agent_traces"": 51}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,工程检查通过；保留9次length和12次多工具修复，不是HTTP retry,完成后释放本phase，下一 Kimi phase；后续双模型正式运行另建cohort,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/glm_compatibility_1203577_v6/operator_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/glm_compatibility_1203577_v6/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/glm_compatibility_1203577_v6/ROOT_ACTUAL_PROTOCOL_ACCEPTANCE.json""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""compatibility development"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_08,selfserve,"[""Kimi K3""]",k3_formal_1203577_v6,2026-09-08T19:29:37.088687Z,2026-09-08T19:37:06Z,开始实际执行字段；结束为STATUS观察到父进程退出时点,smoke,12 nonce +预定3 Exp、12 Pool N4开发任务,"{""agent_traces"": 51, ""nonce_slots"": 12, ""task_invocations"": 15}","{""http_attempts"": 24, ""task_failures"": 1, ""task_invocations_not_started"": 13, ""task_invocations_started"": 2, ""task_successes"": 1}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,Slurm1203577于19:35:17被账户1071取消；具体操作者未知。Search完成，Audit连接中断；3失败HTTP attempts用量未知,原件保留；用户授权后新job1203653重新做开发/正式，不当模型性能失败,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203577_v6/operator_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203577_v6/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""infrastructure-interrupted development"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_09,selfserve,"[""Kimi K3""]",k3_formal_1203653_dual_v1,2026-09-08T22:25:26Z,2026-09-08T22:27:35.389453Z,operator启动时钟/终态观察,smoke,12 auto nonce槽；通过后才派发15开发任务,"{""nonce_slots"": 12, ""task_invocations"": 15}","{""actual_calls"": 10, ""dependent_slots_skipped"": 2, ""task_invocations"": 0}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,replica0没有工具调用，strict gate失败；未证明客户端删除工具调用,原失败保留，另做named→none结构验证，不重抽原auto探针,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_dual_v1/operator_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_dual_v1/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""auto protocol diagnosis"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_10,selfserve,"[""Kimi K3""]",k3_formal_1203653_named_v5,2026-09-08T22:59:05Z,2026-09-08T23:00:38.000311Z,开始STATUS记录，结束operator终态观察,smoke,复用原auto；8个named/none结构槽，之后15开发任务,"{""new_structure_slots"": 8, ""task_invocations"": 15}","{""actual_new_calls"": 7, ""dependent_slots_skipped"": 1, ""task_invocations"": 0}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,一个副本参数返回 parameters:{}，而结构检查要求空{}；gate失败,保留失败；条件授权仅运行原从未开始的15任务，新增synthetic=0,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_named_v5/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_named_v5/operation.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""named protocol diagnosis"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_11,selfserve,"[""GLM 5.3""]",glm_formal_1203652_named_v5,2026-09-08T23:06:19Z,2026-09-09T02:15:03Z,operator_start_utc/terminal_observed_utc,smoke,auto12 + named8 +3 Exp/12 Pool N4开发任务,"{""agent_traces"": 51, ""new_diagnostic_slots"": 20, ""task_invocations"": 15}","{""agent_traces"": 51, ""task_http_attempts"": 463, ""task_invocations"": 15, ""total_http_attempts"": 483}","{""validated_agent_traces"": 51}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,严格结构与任务核查通过；9次length保留,启动旧R3正式矩阵；开发分数不混入正式,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/glm_formal_1203652_named_v5/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/glm_formal_1203652_named_v5/operation.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""formal-entry development"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_12,selfserve,"[""Kimi K3""]",k3_formal_1203653_tasks_v6,2026-09-08T23:34:10.792871Z,2026-09-09T01:18:22.235688Z,开始STATUS实际入口记录/结束operator终态观察,smoke,原15未开始开发任务：3 Exp +12 Pool N4；不新增协议探针,"{""agent_traces"": 51, ""task_invocations"": 15}","{""agent_traces"": 51, ""task_http_attempts"": 429, ""task_invocations"": 15}","{""validated_agent_traces"": 51}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,保留前序auto/named strict false；任务/native路径有限准入通过，不追认严格诊断,启动旧R3正式；不混用开发分数,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_tasks_v6/operator_completion.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/development_runs/k3_formal_1203653_tasks_v6/ROOT_FORMAL_PROTOCOL_ADMISSION.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""conditional development"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_13,selfserve,"[""Kimi K3""]",parallel_full_20260908_k3_r3_retry_v5,2026-09-09T01:54:42.365165Z,2026-09-09T04:47:59Z,开始started_unix；结束为已观察parent absent时间，不是精确结束,formal,Exp Free/Moderate/Tight + Pool Moderate/Tight×naive/cached/poolact N4；全部外层R3（含Search/Audit额外重复）,"{""agent_traces"": 5049, ""invocations"": 1845, ""logical_outcomes"": 2079}","{""http_successes"": 6784, ""invocations_closed"": 295, ""invocations_not_started"": 1550, ""invocations_started"": 295}","{""journal_model_failure_scored_logical"": 1, ""journal_scored_logical"": 336}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,用户修订重复次数与提示词要求，旧完整study作废；并非模型坏结果触发,04:12:05.348008单次SIGINT停止controller补派并自然join；可恢复归档，未物理删除；全新v5重跑,replaced,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/parallel_full_20260908/formal_authority_retry_v5/kimi-k3/dispatch_epoch_000_v1/operator_start.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/parallel_full_20260908/formal_authority_retry_v5/kimi-k3/dispatch_epoch_000_v1/run.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/STOP_OLD_K3.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/retired_k3_epoch000_seal_v1/operator_completion.json""]","[""journal类别不是当前strict评分口径；报告计数分别标invocation/logical""]","{""historical_phase_label"": ""superseded formal"", ""historical_selection_note"": ""排除（whole-study superseded）""}"
portable_14,selfserve,"[""GLM 5.3""]",parallel_full_20260908_glm_r3_retry_v5,2026-09-09T02:33:27.307354Z,,开始started_unix；结束UTC未知,formal,Exp Free/Moderate/Tight + Pool Moderate/Tight×naive/cached/poolact N4；全部外层R3（含Search/Audit额外重复）,"{""agent_traces"": 5049, ""invocations"": 1845, ""logical_outcomes"": 2079}","{""engineering_fail"": 3, ""engineering_pass"": 64, ""invocations_closed"": 67, ""invocations_not_started"": 1778, ""invocations_started"": 67}","{""journal_infrastructure_failed_logical"": 3, ""journal_model_failure_scored_logical"": 36, ""journal_scored_logical"": 38}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,正常无答案被旧_score_check抛错；整池通过后才写agent，导致3池结果未持久化；触发停新,通用终态保存/缺答分类与评分规则修补；用户更改重复设计后全study废弃并v5重跑，旧raw保留,replaced,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/parallel_full_20260908/formal_authority_retry_v5/glm-5.3/dispatch_epoch_000_v1/operator_start.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/parallel_full_20260908/formal_authority_retry_v5/glm-5.3/dispatch_epoch_000_v1/run.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/STATUS.zh.md""]","[""原run有elapsed4864.7988797s但无精确UTC finish字段，不凭mtime伪造""]","{""historical_phase_label"": ""superseded formal"", ""historical_selection_note"": ""排除（whole-study superseded）""}"
portable_15,selfserve,"[""GLM 5.3""]",restart-20260909-v5-glm-5.3-smoke,2026-09-09T04:43:48.100086Z,2026-09-09T05:13:45.745662Z,原始执行开始/结束元数据,smoke,选定Exp/Pool三场景；W8、4 steps、3 evals、单次输出32768,"{""agent_terminals"": 46, ""invocations"": 28}","{""agent_terminals"": 46, ""http_successes"": 194, ""invocations"": 28}","{""validated_agent_terminals"": 46}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,框架/实际 prompt 检查通过；不以 smoke 分数作为正式成绩。,同模型通过后启动新版formal,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-smoke/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-smoke/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""restart smoke"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_16,selfserve,"[""Kimi K3""]",restart-20260909-v5-kimi-k3-smoke,2026-09-09T04:50:07.948405Z,2026-09-09T05:24:12.341909Z,原始执行开始/结束元数据,smoke,选定Exp/Pool三场景；W8、4 steps、3 evals、单次输出32768,"{""agent_terminals"": 46, ""invocations"": 28}","{""agent_terminals"": 46, ""http_successes"": 176, ""invocations"": 28}","{""validated_agent_terminals"": 46}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,框架/实际prompt检查通过；Kimi1次length保留,同模型通过后启动新版formal,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-smoke/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-smoke/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md""]","[""历史开发/运行记录；工程通过不等于性能结论成立""]","{""historical_phase_label"": ""restart smoke"", ""historical_selection_note"": ""不纳入最终正式分数""}"
portable_17,selfserve,"[""GLM 5.3""]",restart-20260909-v5-glm-5.3-formal,2026-09-09T05:17:33.061708Z,2026-09-09T18:42:11.600352Z,原始执行开始/结束元数据,formal,Exp Search73×3预算×R1；Audit13×3预算×3固定顺序；HPO9×3预算×R3；Pool Search39×2预算×3策略×R1、Audit13×2×3×R1、NAS101ABC×2×3×R3，N4,"{""agent_terminals"": 1881, ""invocations"": 705, ""logical_outcomes"": 783}","{""agent_terminals"": 1881, ""http_successes"": 18403, ""invocations"": 705, ""logical_outcomes"": 783}","{""logical_outcomes"": 783}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,59 agent最终正文为空：实际length、32768输出额度全耗在reasoning；原评分保留。后续图/评分问题见20260912历史,无全量再抽；后续定向补跑的覆盖关系由当前最终selection标记,mixed,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md""]","[""执行/严格可评分并不表示每个agent正常给出答案；本子任务不审核后续替换""]","{""historical_phase_label"": ""selected formal base"", ""historical_selection_note"": ""最终GLM基础来源；若20260912定向替换以最新selection为准""}"
portable_18,selfserve,"[""Kimi K3""]",restart-20260909-v5-kimi-k3-formal,2026-09-09T05:32:41.468233Z,2026-09-09T14:27:39.330705Z,原始执行开始/结束元数据,formal,Exp Search73×3预算×R1；Audit13×3预算×3固定顺序；HPO9×3预算×R3；Pool Search39×2预算×3策略×R1、Audit13×2×3×R1、NAS101ABC×2×3×R3，N4,"{""agent_terminals"": 1881, ""invocations"": 705, ""logical_outcomes"": 783}","{""infrastructure_failures"": 8, ""invocations_completed_scored"": 697, ""invocations_started"": 705}",,Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,Slurm1203653于14:25:32 NODE_FAIL，非人工取消；8项基础设施失败,仅固定8项恢复；旧697项不动、旧8失败及费用保留,mixed,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution_started.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-formal/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md""]","[""原execution_complete/score_complete=false保留，不把原批次改成成功""]","{""historical_phase_label"": ""selected formal base with infrastructure failures"", ""historical_selection_note"": ""最终Kimi基础来源：697原项+8恢复项；另以后续定向替换selection为准""}"
portable_19,selfserve,"[""Kimi K3""]",restart-20260909-v5-kimi-k3-infra8-recovery,2026-09-09T21:49:00.943Z,2026-09-10T00:04:24.870207Z,开始first2 execution.started_unix（毫秒显示舍入）；结束whole execution.finished_at_utc,recovery,原formal固定8个NODE_FAIL项（NAS101 Exp/Pool），分first2与remaining6；参数/旧数据不改,"{""agent_terminals"": 26, ""invocations"": 8}","{""agent_terminals"": 26, ""http_successes"": 289, ""invocations"": 8}","{""agent_terminals"": 26, ""invocations"": 8}",Units and scope remain explicit in each accounting object; not necessarily logical slots or strict scores.,原始硬件故障；新8全completed_scored；6条legacy fallback仍披露,形成697原+8新=705 invocations/783 logical/1881 agents composite；所有旧失败费用保留,mixed,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-infra8-recovery/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-kimi-k3-infra8-recovery/stages/first2_only/execution.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/operations/restart_user_20260909/PLAN.zh.md""]","[""8项恢复不是额外8个独立样本；不能和原783简单相加""]","{""historical_phase_label"": ""exact infrastructure recovery"", ""historical_selection_note"": ""最终Kimi基础composite的指定8项恢复来源""}"
api-claude-smoke-20260910,api,"[""Claude fable5 / high""]",claude_fable5_high_poolact_smoke_20260910_v1,2026-09-10T22:27:23.034831Z,2026-09-10T22:28:02.662935Z,first queue start → drained (rounded to microseconds),smoke,Search/Audit/NAS各1池，poolact N2/Tight；max_steps4/max_evals3。,3,3,2,"logical invocation/pool; executed means terminal execution_complete, not HTTP attempts",Audit/NAS在工具前明确拒答；NAS无配置不可评分。,保留负结果，原生回放检查通过；进入正式N4。,validation_only,True,"[""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/claude_fable5_high_poolact_smoke_20260910_v1/queue-plan.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/common/native-smoke-acceptance.json""]","[""当前六模型报告不包含Claude；历史验证仍登记。""]",{}
api-gpt-smoke-20260910,api,"[""GPT-5.6-sol / medium""]",gpt56sol_medium_smoke_20260910_v1,2026-09-10T22:27:23.041470Z,2026-09-10T22:29:37.149626Z,first queue start → drained (rounded to microseconds),smoke,Tight；Search/Audit/HPO各1个ExpGym N1 + 各1个poolact N2；max_steps4/max_evals3。,6,6,6,"logical invocation/pool; executed means terminal execution_complete, not HTTP attempts",32次调用的原生历史检查无回放或HTTP问题；无明确拒答。,允许正式矩阵启动；smoke不并入正式分母。,validation_only,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/gpt56sol_medium_smoke_20260910_v1/queue-plan.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/common/native-smoke-acceptance.json""]",[],{}
api-claude-original-first-window,api,"[""Claude fable5 / high""]",claude_fable5_high_poolact_refmatrix_20260910_v1 / formal_controller_v1,2026-09-10T22:33:01.891665Z,,first recorded queue start; original controller result lacks terminal timestamp; first captured queue session drained 23:12:06 but controller spans4waves,formal,N4: Search39题、Audit13文档、NAS101 A/B/C×3重复，各×Moderate/Tight×naive/cached/poolact，共366池/1464 agent槽；无ExpGym N1。,366,45,,"logical invocation/pool; executed means terminal execution_complete, not HTTP attempts",首个5小时订阅窗口耗尽；控制器累计49项开始、45完成、4失败、317未开始。,窗口恢复后只首次执行未开始槽位；4个已开始失败当时保留。,not_used,True,"[""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/formal_controller_v1/claude_waves/result.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/common/claude-first-failure-diagnosis.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/full_report_v1/execution_timeline.json""]","[""这一行与后续continuation是同一个366槽计划，不可重复相加planned。"", ""整模型按本次用户要求排除，不是删除原始数据。""]","{""failed"": 4, ""started"": 49, ""unstarted"": 317}"
api-gpt-original-formal,api,"[""GPT-5.6-sol / medium""]",gpt56sol_medium_refmatrix_20260910_v1,2026-09-10T22:33:08.201407Z,2026-09-11T01:36:25.725231Z,first queue start → drained (rounded to microseconds); API observed envelope separately 22:33:08.898804→01:36:25.038024,formal,ExpGym N1: Search 73题×3预算、Audit 13文档×3顺序×3预算、HPO 9任务×3重复×3预算，共417项；N4: Search39题、Audit13文档、NAS101 A/B/C×3重复，各×Moderate/Tight×naive/cached/poolact，共366池。总783项/1881 agent槽。,783,783,782,"logical invocation/pool; executed means terminal execution_complete, not HTTP attempts",1个NAS池有1名agent被本地131072近似context admission上限拦下，无最终配置，严格池评分未知。后来确认通用graph配置截断碰撞；旧Audit native提示存在固定示例/格式兼容局限。,2026-09-12对NAS101/Moderate三策略×3任务×3重复整组27池重跑；其余756项保留。,mixed,False,"[""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/gpt56sol_medium_refmatrix_20260910_v1/queue-plan.json"", ""/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910/studies/api_20260910/full_report_v1/README.zh.md"", ""/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/gpt/selection.json""]","[""不是与其他模型同日同源码全量复跑；原GPT raw为本地存档。""]","{""effective_final_slots"": 756, ""source_commit"": ""ccaf6adb8f7e82fa0f33d97c06cf5f7a33592122""}"
