kind,model,system,scenario,slice_kind,slice,metric,unit,N,from_regime,to_regime,from_strategy,to_strategy,from_mean,to_mean,delta,display_delta,status,from_expected_units,from_known_units,from_missing_units,to_expected_units,to_known_units,to_missing_units,cohort_from,cohort_to,source_from,source_to,source_row_from,source_row_to
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_moderate,cost_tight,single,single,0.7556561085972852,0.702865761689291,-0.05279034690799411,-5.28,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,50,61
budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_free,cost_tight,single,single,0.6681749622926093,0.702865761689291,0.03469079939668174,+3.47,known,13,13,0,13,13,0,deepseek_original,deepseek_original,old_absolute,old_absolute,39,61
budget,deepseek-v4-flash-0731,expgym,restricted_search,all,all,f1,fraction,1,cost_free,cost_moderate,single,single,0.4381339584401631,0.42111672909416664,-0.017017229345996476,-1.70,known,73,73,0,73,73,0,deepseek_original,deepseek_original,old_absolute,old_absolute,66,76
budget,deepseek-v4-flash-0731,expgym,restricted_search,all,all,f1,fraction,1,cost_moderate,cost_tight,single,single,0.42111672909416664,0.16918418675066538,-0.25193254234350126,-25.19,known,73,73,0,73,73,0,deepseek_original,deepseek_original,old_absolute,old_absolute,76,86
budget,deepseek-v4-flash-0731,expgym,restricted_search,all,all,f1,fraction,1,cost_free,cost_tight,single,single,0.4381339584401631,0.16918418675066538,-0.26894977168949774,-26.89,known,73,73,0,73,73,0,deepseek_original,deepseek_original,old_absolute,old_absolute,66,86
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whatis,f1,fraction,1,cost_free,cost_moderate,single,single,0.36907308377896614,0.33351648351648355,-0.035556600262482585,-3.56,known,34,34,0,34,34,0,deepseek_original,deepseek_original,old_absolute,old_absolute,95,105
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whatis,f1,fraction,1,cost_moderate,cost_tight,single,single,0.33351648351648355,0.15926916221033868,-0.17424732130614487,-17.42,known,34,34,0,34,34,0,deepseek_original,deepseek_original,old_absolute,old_absolute,105,115
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whatis,f1,fraction,1,cost_free,cost_tight,single,single,0.36907308377896614,0.15926916221033868,-0.20980392156862746,-20.98,known,34,34,0,34,34,0,deepseek_original,deepseek_original,old_absolute,old_absolute,95,115
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whois,f1,fraction,1,cost_free,cost_moderate,single,single,0.498340874811463,0.4974861739567622,-0.0008547008547007962,-0.09,known,39,39,0,39,39,0,deepseek_original,deepseek_original,old_absolute,old_absolute,124,134
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whois,f1,fraction,1,cost_moderate,cost_tight,single,single,0.4974861739567622,0.17782805429864254,-0.31965811965811963,-31.97,known,39,39,0,39,39,0,deepseek_original,deepseek_original,old_absolute,old_absolute,134,144
budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whois,f1,fraction,1,cost_free,cost_tight,single,single,0.498340874811463,0.17782805429864254,-0.3205128205128205,-32.05,known,39,39,0,39,39,0,deepseek_original,deepseek_original,old_absolute,old_absolute,124,144
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap,Gap points,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,27,20,7,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,156,167
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap,Gap points,1,cost_moderate,cost_tight,single,single,,,,unknown,unknown,27,25,2,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,167,178
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap,Gap points,1,cost_free,cost_tight,single,single,,,,unknown,unknown,27,20,7,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,156,178
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap0,Gap points,1,cost_free,cost_moderate,single,single,61.093958124966825,74.01985210220249,12.925893977235667,+12.93,known,27,27,0,27,27,0,deepseek_original,deepseek_original,old_gap0,old_gap0,73,74
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap0,Gap points,1,cost_moderate,cost_tight,single,single,74.01985210220249,75.80946916471585,1.7896170625133578,+1.79,known,27,27,0,27,27,0,deepseek_original,deepseek_original,old_gap0,old_gap0,74,75
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap0,Gap points,1,cost_free,cost_tight,single,single,61.093958124966825,75.80946916471585,14.715511039749025,+14.72,known,27,27,0,27,27,0,deepseek_original,deepseek_original,old_gap0,old_gap0,73,75
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,27,20,7,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,160,171
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,,,,unknown,unknown,27,25,2,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,171,182
budget,deepseek-v4-flash-0731,expgym,tuning,all,all,raw_perf,fraction,1,cost_free,cost_tight,single,single,,,,unknown,unknown,27,20,7,27,25,2,deepseek_original,deepseek_original,old_absolute,old_absolute,160,182
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap,Gap points,1,cost_free,cost_moderate,single,single,,71.8771348220569,,unknown,unknown,9,7,2,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,188,199
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap,Gap points,1,cost_moderate,cost_tight,single,single,71.8771348220569,86.86435133846594,14.987216516409035,+14.99,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,199,210
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap,Gap points,1,cost_free,cost_tight,single,single,,86.86435133846594,,unknown,unknown,9,7,2,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,188,210
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap0,Gap points,1,cost_free,cost_moderate,single,single,60.10277211076796,71.87713482205692,11.774362711288958,+11.77,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,76,77
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap0,Gap points,1,cost_moderate,cost_tight,single,single,71.87713482205692,86.86435133846592,14.987216516409006,+14.99,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,77,78
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap0,Gap points,1,cost_free,cost_tight,single,single,60.10277211076796,86.86435133846592,26.761579227697965,+26.76,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,76,78
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.7111081414752536,,unknown,unknown,9,7,2,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,192,203
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.7111081414752536,0.8834097473709671,0.17230160589571353,+0.17,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,203,214
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,raw_perf,fraction,1,cost_free,cost_tight,single,single,,0.8834097473709671,,unknown,unknown,9,7,2,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,192,214
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap,Gap points,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,9,8,1,9,8,1,deepseek_original,deepseek_original,old_absolute,old_absolute,220,231
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap,Gap points,1,cost_moderate,cost_tight,single,single,,76.62120124792725,,unknown,unknown,9,8,1,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,231,242
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap,Gap points,1,cost_free,cost_tight,single,single,,76.62120124792725,,unknown,unknown,9,8,1,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,220,242
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap0,Gap points,1,cost_free,cost_moderate,single,single,81.62031675161019,79.34404615956372,-2.2762705920464725,-2.28,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,79,80
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap0,Gap points,1,cost_moderate,cost_tight,single,single,79.34404615956372,76.62120124792725,-2.7228449116364715,-2.72,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,80,81
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,gap0,Gap points,1,cost_free,cost_tight,single,single,81.62031675161019,76.62120124792725,-4.999115503682944,-5.00,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,79,81
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,9,8,1,9,8,1,deepseek_original,deepseek_original,old_absolute,old_absolute,224,235
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,,0.6790437036150897,,unknown,unknown,9,8,1,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,235,246
budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench201,raw_perf,fraction,1,cost_free,cost_tight,single,single,,0.6790437036150897,,unknown,unknown,9,8,1,9,9,0,deepseek_original,deepseek_original,old_absolute,old_absolute,224,246
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap,Gap points,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,9,5,4,9,8,1,deepseek_original,deepseek_original,old_absolute,old_absolute,252,263
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap,Gap points,1,cost_moderate,cost_tight,single,single,,,,unknown,unknown,9,8,1,9,7,2,deepseek_original,deepseek_original,old_absolute,old_absolute,263,274
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap,Gap points,1,cost_free,cost_tight,single,single,,,,unknown,unknown,9,5,4,9,7,2,deepseek_original,deepseek_original,old_absolute,old_absolute,252,274
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap0,Gap points,1,cost_free,cost_moderate,single,single,41.55878551252233,70.83837532498686,29.27958981246453,+29.28,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,82,83
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap0,Gap points,1,cost_moderate,cost_tight,single,single,70.83837532498686,63.942854907754366,-6.89552041723249,-6.90,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,83,84
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,gap0,Gap points,1,cost_free,cost_tight,single,single,41.55878551252233,63.942854907754366,22.38406939523204,+22.38,known,9,9,0,9,9,0,deepseek_original,deepseek_original,old_gap0,old_gap0,82,84
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,,,unknown,unknown,9,5,4,9,8,1,deepseek_original,deepseek_original,old_absolute,old_absolute,256,267
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,,,,unknown,unknown,9,8,1,9,7,2,deepseek_original,deepseek_original,old_absolute,old_absolute,267,278
budget,deepseek-v4-flash-0731,expgym,tuning,family,paramnet,raw_perf,fraction,1,cost_free,cost_tight,single,single,,,,unknown,unknown,9,5,4,9,7,2,deepseek_original,deepseek_original,old_absolute,old_absolute,256,278
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,gap,Gap points,1,cost_free,cost_moderate,single,single,,64.14010650417727,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,284,295
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,gap,Gap points,1,cost_moderate,cost_tight,single,single,64.14010650417727,90.12157318441591,25.98146668023864,+25.98,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,295,306
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,gap,Gap points,1,cost_free,cost_tight,single,single,,90.12157318441591,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,284,306
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.6129473845163981,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,288,299
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.6129473845163981,0.8765914307700262,0.26364404625362814,+0.26,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,299,310
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:A,raw_perf,fraction,1,cost_free,cost_tight,single,single,,0.8765914307700262,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,288,310
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,gap,Gap points,1,cost_free,cost_moderate,single,single,86.80291150450755,57.66626811847442,-29.13664338603313,-29.14,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,316,327
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,gap,Gap points,1,cost_moderate,cost_tight,single,single,57.66626811847442,85.17838770491902,27.512119586444598,+27.51,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,327,338
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,gap,Gap points,1,cost_free,cost_tight,single,single,86.80291150450755,85.17838770491902,-1.6245237995885304,-1.62,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,316,338
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,raw_perf,fraction,1,cost_free,cost_moderate,single,single,0.9153200652864243,0.6096977326605054,-0.30562233262591887,-0.31,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,320,331
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.6096977326605054,0.9111801120969983,0.3014823794364929,+0.30,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,331,342
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:B,raw_perf,fraction,1,cost_free,cost_tight,single,single,0.9153200652864243,0.9111801120969983,-0.004139953189425949,-0.00,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,320,342
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,gap,Gap points,1,cost_free,cost_moderate,single,single,,93.82502984351903,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,348,359
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,gap,Gap points,1,cost_moderate,cost_tight,single,single,93.82502984351903,85.29309312606287,-8.531936717456162,-8.53,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,359,370
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,gap,Gap points,1,cost_free,cost_tight,single,single,,85.29309312606287,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,348,370
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.9106793072488574,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,352,363
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.9106793072488574,0.8624576992458767,-0.0482216080029807,-0.05,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,363,374
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench101:C,raw_perf,fraction,1,cost_free,cost_tight,single,single,,0.8624576992458767,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,352,374
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,gap,Gap points,1,cost_free,cost_moderate,single,single,,86.13064311457704,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,380,391
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,gap,Gap points,1,cost_moderate,cost_tight,single,single,86.13064311457704,82.31154476532424,-3.8190983492527977,-3.82,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,391,402
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,gap,Gap points,1,cost_free,cost_tight,single,single,,82.31154476532424,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,380,402
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.9050266665771485,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,384,395
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.9050266665771485,0.9019866665364583,-0.0030400000406901606,-0.00,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,395,406
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar10-valid,raw_perf,fraction,1,cost_free,cost_tight,single,single,,0.9019866665364583,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,384,406
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,gap,Gap points,1,cost_free,cost_moderate,single,single,94.24854359018077,87.91466121481024,-6.3338823753705356,-6.33,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,412,423
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,gap,Gap points,1,cost_moderate,cost_tight,single,single,87.91466121481024,90.99059834537809,3.0759371305678513,+3.08,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,423,434
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,gap,Gap points,1,cost_free,cost_tight,single,single,94.24854359018077,90.99059834537809,-3.257945244802684,-3.26,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,412,434
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,raw_perf,fraction,1,cost_free,cost_moderate,single,single,0.728011111111111,0.7202777777777779,-0.007733333333333148,-0.01,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,416,427
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.7202777777777779,0.7240333333333333,0.003755555555555401,+0.00,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,427,438
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:cifar100,raw_perf,fraction,1,cost_free,cost_tight,single,single,0.728011111111111,0.7240333333333333,-0.003977777777777747,-0.00,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,416,438
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,gap,Gap points,1,cost_free,cost_moderate,single,single,89.84189174287503,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,444,455
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,gap,Gap points,1,cost_moderate,cost_tight,single,single,,56.5614606330794,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,455,466
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,gap,Gap points,1,cost_free,cost_tight,single,single,89.84189174287503,56.5614606330794,-33.280431109795636,-33.28,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,444,466
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,raw_perf,fraction,1,cost_free,cost_moderate,single,single,0.4550370368787977,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,448,459
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,,0.4111111109754774,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,459,470
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:nasbench201:imagenet16-120,raw_perf,fraction,1,cost_free,cost_tight,single,single,0.4550370368787977,0.4111111109754774,-0.043925925903320284,-0.04,known,3,3,0,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,448,470
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,gap,Gap points,1,cost_free,cost_moderate,single,single,,87.3667258799883,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,476,487
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,gap,Gap points,1,cost_moderate,cost_tight,single,single,87.3667258799883,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,487,498
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,gap,Gap points,1,cost_free,cost_tight,single,single,,,,unknown,unknown,3,2,1,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,476,498
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.8485277814005996,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,480,491
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.8485277814005996,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,491,502
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:adult:steps,raw_perf,fraction,1,cost_free,cost_tight,single,single,,,,unknown,unknown,3,2,1,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,480,502
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:higgs:steps,gap,Gap points,1,cost_free,cost_moderate,single,single,,92.65792672511434,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,508,519
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:higgs:steps,gap,Gap points,1,cost_moderate,cost_tight,single,single,92.65792672511434,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,519,530
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:higgs:steps,gap,Gap points,1,cost_free,cost_tight,single,single,,,,unknown,unknown,3,2,1,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,508,530
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:higgs:steps,raw_perf,fraction,1,cost_free,cost_moderate,single,single,,0.7146755900158835,,unknown,unknown,3,2,1,3,3,0,deepseek_original,deepseek_original,old_absolute,old_absolute,512,523
budget,deepseek-v4-flash-0731,expgym,tuning,task,hpobench:paramnet:higgs:steps,raw_perf,fraction,1,cost_moderate,cost_tight,single,single,0.7146755900158835,,,unknown,unknown,3,3,0,3,2,1,deepseek_original,deepseek_original,old_absolute,old_absolute,523,534
