budget,model,gold_subset,n_hypothesis_presentations,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_any,extra_any,queried,ever_exact_proposal,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,queried_first_wrong,queried_first_correct
cost_tight,ALL,all,3978,3167,2230,2168,999,1123,674,445,147,307,8,89,378,67
cost_tight,ALL,nonempty,2160,1869,932,870,999,1123,300,161,77,58,1,24,102,59
cost_tight,ALL,empty,1818,1298,1298,1298,0,0,374,284,70,249,7,65,276,8
cost_tight,deepseek-v4-flash-0731,all,663,466,315,306,160,224,91,67,28,36,5,22,56,11
cost_tight,deepseek-v4-flash-0731,nonempty,360,266,115,106,160,224,46,28,11,8,1,8,21,7
cost_tight,deepseek-v4-flash-0731,empty,303,200,200,200,0,0,45,39,17,28,4,14,35,4
cost_tight,gemini-3.8-flash-medium,all,663,585,478,468,117,133,78,83,28,58,0,6,61,22
cost_tight,gemini-3.8-flash-medium,nonempty,360,323,216,206,117,133,37,41,26,17,0,4,19,22
cost_tight,gemini-3.8-flash-medium,empty,303,262,262,262,0,0,41,42,2,41,0,2,42,0
cost_tight,glm-5.3,all,663,503,342,333,170,205,93,98,14,67,1,2,86,12
cost_tight,glm-5.3,nonempty,360,304,143,134,170,205,41,33,11,13,0,1,23,10
cost_tight,glm-5.3,empty,303,199,199,199,0,0,52,65,3,54,1,1,63,2
cost_tight,gpt-5.6-sol,all,663,522,359,349,173,193,126,65,9,48,1,3,58,7
cost_tight,gpt-5.6-sol,nonempty,360,311,148,138,173,193,57,18,7,5,0,2,12,6
cost_tight,gpt-5.6-sol,empty,303,211,211,211,0,0,69,47,2,43,1,1,46,1
cost_tight,kimi-k3,all,663,540,349,340,200,199,142,65,35,45,1,28,56,9
cost_tight,kimi-k3,nonempty,360,332,141,132,200,199,60,19,11,6,0,4,11,8
cost_tight,kimi-k3,empty,303,208,208,208,0,0,82,46,24,39,1,24,45,1
cost_tight,qwen3.8-2.4t-a95b-fp8,all,663,551,387,372,179,169,144,67,33,53,0,28,61,6
cost_tight,qwen3.8-2.4t-a95b-fp8,nonempty,360,333,169,154,179,169,59,22,11,9,0,5,16,6
cost_tight,qwen3.8-2.4t-a95b-fp8,empty,303,218,218,218,0,0,85,45,22,44,0,23,45,0
