model,budget,doc_index,doc_id,order,source_cohort,hypothesis,position,gold_label,gold_nonempty,gold_size,submitted_size,valid_hypothesis_submission,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_count,extra_count,overlap_count,missing_any,extra_any,evidence_precision,evidence_recall,feedback_calls,visible_feedback_calls,queried,ever_exact_proposal,submitted_exactly_verified,first_proposal_exact,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,final_changed_from_first,gold_evidence_ids,submitted_evidence_ids,first_visible_evidence_ids,first_visible_feedback_status,slot_id,source_sha256,agent_id,score_version,answer_change_reason
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-12,2,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[63, 67]",[67],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-16,3,Entailment,1,3,3,1,1,0,0,1,2,2,1,1,1,0.3333333333333333,0.3333333333333333,0,0,0,0,0,,0,0,0,0,"[84, 85, 86]","[60, 84, 88]",,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-3,4,NotMentioned,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0,0,0,0,0,0,,0,0,0,0,[],[25],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-17,5,Entailment,1,1,1,1,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,0,0,,0,0,0,0,[60],[59],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-15,6,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[45],[45],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-2,7,Contradiction,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[25, 32]",[25],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-19,8,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[76],[76],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-18,9,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-20,10,Entailment,1,1,3,1,1,0,0,1,0,2,1,0,1,0.3333333333333333,1.0,0,0,0,0,0,,0,0,0,0,[60],"[60, 61, 87]",,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-4,11,Entailment,1,4,2,1,1,0,0,1,2,0,2,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[44, 49, 50, 53]","[44, 53]",,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-1,12,Contradiction,1,1,0,1,0,0,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,[25],[],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-7,13,Entailment,1,2,0,1,0,0,0,0,2,0,0,1,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,"[37, 38]",[],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-5,14,Entailment,1,3,2,1,1,0,0,1,1,0,2,1,0,1.0,0.6666666666666666,0,0,0,0,0,,0,0,0,0,"[37, 38, 55]","[38, 55]",,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-11,15,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[],[],"[3, 7]",Contain Irrelevant Evidences,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-8,16,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[71],[71],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-19,0,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[76],[76],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-8,1,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[71],[71],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-11,2,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[],[],"[3, 7]",Contain Irrelevant Evidences,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-12,3,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[63, 67]",[67],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-1,4,Contradiction,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,[25],[25],"[25, 34]",Contain Irrelevant Evidences,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-16,5,Entailment,1,3,3,1,1,0,0,1,1,1,2,1,1,0.6666666666666666,0.6666666666666666,0,0,0,0,0,,0,0,0,0,"[84, 85, 86]","[84, 86, 88]",,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-10,6,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-2,7,Contradiction,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,12,12,1,1,1,0,1,0,1,1,"[25, 32]","[25, 32]",[25],Evidence Incomplete,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-15,8,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[45],[45],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-20,9,Entailment,1,1,2,1,1,0,0,1,0,1,1,0,1,0.5,1.0,0,0,0,0,0,,0,0,0,0,[60],"[60, 87]",,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-18,10,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-7,11,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[37, 38]",[38],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-13,12,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[63, 66]",[66],,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-5,13,Entailment,1,3,3,1,1,0,0,1,1,1,2,1,1,0.6666666666666666,0.6666666666666666,8,8,1,0,0,0,0,0,1,1,"[37, 38, 55]","[38, 42, 55]","[38, 55]",Evidence Incomplete,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-17,14,Entailment,1,1,2,1,1,0,0,1,0,1,1,0,1,0.5,1.0,0,0,0,0,0,,0,0,0,0,[60],"[59, 60]",,,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-4,15,Entailment,1,4,4,1,1,1,1,0,0,0,4,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,"[44, 49, 50, 53]","[44, 49, 50, 53]","[44, 53]",Evidence Incomplete,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,nda-3,16,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[],[],[25],Contain Irrelevant Evidences,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-10,0,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-4,1,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,5,5,1,1,1,0,1,0,1,1,[],[],[20],Contain Irrelevant Evidences,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-8,2,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[48],[48],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-12,3,Entailment,1,3,3,1,1,1,1,0,0,0,3,0,0,1.0,1.0,5,5,1,1,1,0,1,0,1,1,"[33, 37, 64]","[33, 37, 64]",[64],Evidence Incomplete,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-19,4,Entailment,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,"[27, 86]","[27, 86]",[86],Evidence Incomplete,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-3,5,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[15],[15],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-16,6,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[45],[45],[45],Evidence Correct,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-1,7,Contradiction,1,3,3,1,1,1,1,0,0,0,3,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,"[15, 16, 17]","[15, 16, 17]",[17],Evidence Incomplete,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-15,8,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[57],[57],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-7,9,Contradiction,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[23],[23],[23],Evidence Correct,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-20,10,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[45],[45],[45],Evidence Correct,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-11,11,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,[24],[24],"[3, 7]",Contain Irrelevant Evidences,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-17,12,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,[45],[45],[44],Contain Irrelevant Evidences,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-13,13,Entailment,1,3,3,1,1,1,1,0,0,0,3,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,"[33, 36, 64]","[33, 36, 64]",[64],Evidence Incomplete,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-2,14,Contradiction,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[18],[18],[18],Evidence Correct,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-5,15,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[22],[22],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,nda-18,16,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,1,deepseek_original,nda-13,0,Entailment,1,3,0,0,0,0,0,0,3,0,0,1,0,0.0,0.0,2,2,1,1,0,0,0,1,1,1,"[33, 36, 64]",[],[36],Evidence Incomplete,3f42c6d29761ee5375eeac72,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,1,deepseek_original,nda-10,1,NotMentioned,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,1,1,1,1,1,0,1,0,0,[],[],[],Evidence Correct,3f42c6d29761ee5375eeac72,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,1,deepseek_original,nda-12,2,Entailment,1,3,0,0,0,0,0,0,3,0,0,1,0,0.0,0.0,5,5,1,1,0,0,0,1,1,1,"[33, 37, 64]",[],[37],Evidence Incomplete,3f42c6d29761ee5375eeac72,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,1,2,1,deepseek_original,nda-16,3,Entailment,1,1,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1,1,1,1,0,1,0,1,0,1,[45],[],[45],Evidence Correct,3f42c6d29761ee5375eeac72,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,-1,new,unchanged
