comparison,model,system,scenario,slice_kind,slice,metric,unit,N,regime,analysis_unit,report_scale,report_score_unit,report_delta_unit,complete,free_full_mean,free_expected_units,free_known_units,free_missing_units,free_absolute_record,free_cohort_id,moderate_full_mean,moderate_expected_units,moderate_known_units,moderate_missing_units,moderate_absolute_record,moderate_cohort_id,tight_full_mean,tight_expected_units,tight_known_units,tight_missing_units,tight_absolute_record,tight_cohort_id,naive_full_mean,naive_expected_units,naive_known_units,naive_missing_units,naive_absolute_record,naive_cohort_id,cached_full_mean,cached_expected_units,cached_known_units,cached_missing_units,cached_absolute_record,cached_cohort_id,poolact_full_mean,poolact_expected_units,poolact_known_units,poolact_missing_units,poolact_absolute_record,poolact_cohort_id,moderate_minus_free,tight_minus_free,tight_minus_moderate,cached_minus_naive,poolact_minus_naive,poolact_minus_cached
N4_strategy,glm-5.3,poolact,tuning,all,all,gap_mi,Gap points,4,cost_moderate,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,97.87332960162215,9,9,0,2725,glm_original,98.06133287597413,9,9,0,2719,glm_original,98.96582781948116,9,9,0,2731,glm_original,,,,0.18800327435198,1.09249821785901,0.90449494350703
N4_strategy,glm-5.3,poolact,tuning,all,all,gap_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,85.92950088398068,9,9,0,2743,glm_rerun_20260912,86.57074750139166,9,9,0,2737,glm_rerun_20260912,94.33103637151207,9,9,0,2749,glm_rerun_20260912,,,,0.64124661741098,8.40153548753139,7.76028887012041
N1_budget,gpt-5.6-sol,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.7043740573152337,13,13,0,2878,gpt_original,0.6591251885369532,13,13,0,2880,gpt_original,0.5414781297134238,13,13,0,2882,gpt_original,,,,,,,,,,,,,,,,,,,-0.0452488687782805,-0.1628959276018099,-0.1176470588235294,,,
N1_budget,gpt-5.6-sol,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.6401135796784467,73,73,0,2890,gpt_original,0.5305997118648207,73,73,0,2891,gpt_original,0.1554855566136791,73,73,0,2892,gpt_original,,,,,,,,,,,,,,,,,,,-0.1095138678136260,-0.4846280230647676,-0.3751141552511416,,,
N1_budget,gpt-5.6-sol,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.9732348609594,27,27,0,2899,gpt_original,96.61109513450062,27,27,0,2902,gpt_original,91.66092926519349,27,27,0,2905,gpt_original,,,,,,,,,,,,,,,,,,,-1.36213972645878,-6.31230559576591,-4.95016586930713,,,
N1_budget,gpt-5.6-sol,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.9732348609594,27,27,0,2900,gpt_original,96.61109513450062,27,27,0,2903,gpt_original,91.66092926519349,27,27,0,2906,gpt_original,,,,,,,,,,,,,,,,,,,-1.36213972645878,-6.31230559576591,-4.95016586930713,,,
N4_strategy,gpt-5.6-sol,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6470588235294118,13,13,0,2994,gpt_original,0.6515837104072398,13,13,0,2990,gpt_original,0.6742081447963801,13,13,0,2998,gpt_original,,,,0.0045248868778280,0.0271493212669683,0.0226244343891403
N4_strategy,gpt-5.6-sol,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.5158371040723982,13,13,0,3006,gpt_original,0.5882352941176471,13,13,0,3002,gpt_original,0.6244343891402715,13,13,0,3010,gpt_original,,,,0.0723981900452489,0.1085972850678733,0.0361990950226244
N4_strategy,gpt-5.6-sol,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6231271995977878,39,39,0,3040,gpt_original,0.6377792142498024,39,39,0,3038,gpt_original,0.6060331825037707,39,39,0,3042,gpt_original,,,,0.0146520146520146,-0.0170940170940171,-0.0317460317460317
N4_strategy,gpt-5.6-sol,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.1915032679738562,39,39,0,3046,gpt_original,0.20275867922926746,39,39,0,3044,gpt_original,0.21885369532428356,39,39,0,3048,gpt_original,,,,0.01125541125541126,0.02735042735042736,0.01609501609501610
N4_strategy,gpt-5.6-sol,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_moderate,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,98.10591772776527,9,9,0,3068,gpt_rerun_20260912,98.21139961323344,9,9,0,3062,gpt_rerun_20260912,97.96701760786793,9,9,0,3074,gpt_rerun_20260912,,,,0.10548188546817,-0.13890011989734,-0.24438200536551
N4_strategy,gpt-5.6-sol,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_tight,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,96.64101526358955,9,9,0,3086,gpt_original,96.04946232773469,9,9,0,3080,gpt_original,97.27071155025706,9,9,0,3092,gpt_original,,,,-0.59155293585486,0.62969628666751,1.22124922252237
N4_strategy,gpt-5.6-sol,poolact,tuning,all,all,gap_mi,Gap points,4,cost_moderate,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,98.10591772776527,9,9,0,3070,gpt_rerun_20260912,98.21139961323344,9,9,0,3064,gpt_rerun_20260912,97.96701760786793,9,9,0,3076,gpt_rerun_20260912,,,,0.10548188546817,-0.13890011989734,-0.24438200536551
N4_strategy,gpt-5.6-sol,poolact,tuning,all,all,gap_mi,Gap points,4,cost_tight,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,96.64101526358955,9,9,0,3088,gpt_original,96.04946232773469,9,9,0,3082,gpt_original,97.27071155025706,9,9,0,3094,gpt_original,,,,-0.59155293585486,0.62969628666751,1.22124922252237
N1_budget,kimi-k3,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.894419306184012,13,13,0,3223,kimi_original,0.6877828054298643,13,13,0,3225,kimi_original,0.5158371040723982,13,13,0,3227,kimi_original,,,,,,,,,,,,,,,,,,,-0.2066365007541477,-0.3785822021116138,-0.1719457013574661,,,
N1_budget,kimi-k3,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.6359106490250729,73,73,0,3235,kimi_original,0.49616866256672865,73,73,0,3236,kimi_original,0.1575611066344346,73,73,0,3237,kimi_original,,,,,,,,,,,,,,,,,,,-0.13974198645834425,-0.4783495423906383,-0.33860755593229405,,,
N1_budget,kimi-k3,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,true,98.51291031515852,27,27,0,3244,kimi_original,94.23010363061042,27,27,0,3247,kimi_original,89.68371695757193,27,27,0,3250,kimi_original,,,,,,,,,,,,,,,,,,,-4.28280668454810,-8.82919335758659,-4.54638667303849,,,
N1_budget,kimi-k3,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,98.51291031515852,27,27,0,3245,kimi_original,94.23010363061042,27,27,0,3248,kimi_original,89.68371695757193,27,27,0,3251,kimi_original,,,,,,,,,,,,,,,,,,,-4.28280668454810,-8.82919335758659,-4.54638667303849,,,
N4_strategy,kimi-k3,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.7375565610859728,13,13,0,3339,kimi_original,0.7647058823529411,13,13,0,3335,kimi_original,0.9366515837104072,13,13,0,3343,kimi_original,,,,0.0271493212669683,0.1990950226244344,0.1719457013574661
N4_strategy,kimi-k3,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.5520361990950227,13,13,0,3351,kimi_original,0.5475113122171946,13,13,0,3347,kimi_original,0.6289592760180995,13,13,0,3355,kimi_original,,,,-0.0045248868778281,0.0769230769230768,0.0814479638009049
N4_strategy,kimi-k3,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6459192223898106,39,39,0,3385,kimi_original,0.6420342185048067,39,39,0,3383,kimi_original,0.6674088438794321,39,39,0,3387,kimi_original,,,,-0.0038850038850039,0.0214896214896215,0.0253746253746254
N4_strategy,kimi-k3,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.21287078934137757,39,39,0,3391,kimi_original,0.18722976370035194,39,39,0,3389,kimi_original,0.304323780794369,39,39,0,3393,kimi_original,,,,-0.02564102564102563,0.09145299145299143,0.11709401709401706
N4_strategy,kimi-k3,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_moderate,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,98.03886592767417,9,9,0,3413,kimi_original,97.9611398348133,9,9,0,3407,kimi_original,98.5563281837845,9,9,0,3419,kimi_original,,,,-0.07772609286087,0.51746225611033,0.5951883489712
N4_strategy,kimi-k3,poolact,tuning,all,all,gap0_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,93.64915826734827,9,9,0,3431,kimi_rerun_20260912,92.95336655015971,9,9,0,3425,kimi_rerun_20260912,95.52366392604269,9,9,0,3437,kimi_rerun_20260912,,,,-0.69579171718856,1.87450565869442,2.57029737588298
N4_strategy,kimi-k3,poolact,tuning,all,all,gap_mi,Gap points,4,cost_moderate,pool_aggregate_N4,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,98.03886592767417,9,9,0,3415,kimi_original,97.9611398348133,9,9,0,3409,kimi_original,98.5563281837845,9,9,0,3421,kimi_original,,,,-0.07772609286087,0.51746225611033,0.5951883489712
N4_strategy,kimi-k3,poolact,tuning,all,all,gap_mi,Gap points,4,cost_tight,item_equal_weight_after_within_item_mean,1,Gap points,Gap points,true,,,,,,,,,,,,,,,,,,,93.64915826734827,9,9,0,3433,kimi_rerun_20260912,92.95336655015971,9,9,0,3427,kimi_rerun_20260912,95.52366392604269,9,9,0,3439,kimi_rerun_20260912,,,,-0.69579171718856,1.87450565869442,2.57029737588298
N1_budget,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.9185520361990951,13,13,0,3568,qwen_original,0.7496229260935142,13,13,0,3570,qwen_original,0.5837104072398189,13,13,0,3572,qwen_original,,,,,,,,,,,,,,,,,,,-0.1689291101055809,-0.3348416289592762,-0.1659125188536953,,,
N1_budget,qwen3.8-2.4t-a95b-fp8,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.5814860781621458,73,73,0,3580,qwen_original,0.5098272195169858,73,73,0,3581,qwen_original,0.18470930090591656,73,73,0,3582,qwen_original,,,,,,,,,,,,,,,,,,,-0.0716588586451600,-0.39677677725622924,-0.32511791861106924,,,
N1_budget,qwen3.8-2.4t-a95b-fp8,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.46520547494104,27,27,0,3589,qwen_original,95.13336915970626,27,27,0,3592,qwen_original,85.70999007309636,27,27,0,3595,qwen_original,,,,,,,,,,,,,,,,,,,-2.33183631523478,-11.75521540184468,-9.42337908660990,,,
N1_budget,qwen3.8-2.4t-a95b-fp8,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,97.46520547494104,27,27,0,3590,qwen_original,95.13336915970626,27,27,0,3593,qwen_original,85.70999007309636,27,27,0,3596,qwen_original,,,,,,,,,,,,,,,,,,,-2.33183631523478,-11.75521540184468,-9.42337908660990,,,
N4_strategy,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6877828054298643,13,13,0,3684,qwen_original,0.7466063348416289,13,13,0,3680,qwen_original,0.9366515837104072,13,13,0,3688,qwen_original,,,,0.0588235294117646,0.2488687782805429,0.1900452488687783
N4_strategy,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,all,all,evidence_acc_mv,fraction,4,cost_tight,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.5610859728506787,13,13,0,3696,qwen_original,0.6018099547511312,13,13,0,3692,qwen_original,0.6380090497737557,13,13,0,3700,qwen_original,,,,0.0407239819004525,0.0769230769230770,0.0361990950226245
N4_strategy,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,all,all,f1_mv,fraction,4,cost_moderate,pool_aggregate_N4,100,0–100,percentage_points,true,,,,,,,,,,,,,,,,,,,0.6121381886087769,39,39,0,3730,qwen_original,0.6117311882017764,39,39,0,3728,qwen_original,0.6348488113193996,39,39,0,3732,qwen_original,,,,-0.0004070004070005,0.0227106227106227,0.0231176231176232
