comparison,model,system,scenario,slice_kind,slice,metric,unit,N,regime,analysis_unit,report_scale,report_score_unit,report_delta_unit,complete,naive_full_mean,naive_expected_units,naive_known_units,naive_missing_units,naive_absolute_record,naive_cohort_id,cached_full_mean,cached_expected_units,cached_known_units,cached_missing_units,cached_absolute_record,cached_cohort_id,poolact_full_mean,poolact_expected_units,poolact_known_units,poolact_missing_units,poolact_absolute_record,poolact_cohort_id,cached_minus_naive,poolact_minus_naive,poolact_minus_cached
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6968325791855203,13,13,0,141,deepseek_rerun_20260912,0.7239819004524887,13,13,0,137,deepseek_rerun_20260912,0.9457013574660633,13,13,0,145,deepseek_rerun_20260912,0.0271493212669684,0.2488687782805430,0.2217194570135746
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6199095022624435,13,13,0,153,deepseek_rerun_20260912,0.6199095022624435,13,13,0,149,deepseek_rerun_20260912,0.7149321266968326,13,13,0,157,deepseek_rerun_20260912,0E-16,0.0950226244343891,0.0950226244343891
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8597285067873304,13,13,0,142,deepseek_rerun_20260912,0.8947963800904977,13,13,0,138,deepseek_rerun_20260912,0.9615384615384616,13,13,0,146,deepseek_rerun_20260912,0.0350678733031673,0.1018099547511312,0.0667420814479639
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8687782805429864,13,13,0,154,deepseek_rerun_20260912,0.8461538461538461,13,13,0,150,deepseek_rerun_20260912,0.9072398190045249,13,13,0,158,deepseek_rerun_20260912,-0.0226244343891403,0.0384615384615385,0.0610859728506788
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.918552036199095,13,13,0,143,deepseek_rerun_20260912,0.9321266968325792,13,13,0,139,deepseek_rerun_20260912,0.9638009049773756,13,13,0,147,deepseek_rerun_20260912,0.0135746606334842,0.0452488687782806,0.0316742081447964
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,family,evidence_audit,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8914027149321266,13,13,0,155,deepseek_rerun_20260912,0.8959276018099547,13,13,0,151,deepseek_rerun_20260912,0.9276018099547512,13,13,0,159,deepseek_rerun_20260912,0.0045248868778281,0.0361990950226246,0.0316742081447965
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.3088235294117647,1,1,0,164,deepseek_rerun_20260912,0.39705882352941174,1,1,0,160,deepseek_rerun_20260912,0.8529411764705882,1,1,0,168,deepseek_rerun_20260912,0.08823529411764704,0.5441176470588235,0.45588235294117646
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.3382352941176471,1,1,0,176,deepseek_rerun_20260912,0.36764705882352944,1,1,0,172,deepseek_rerun_20260912,0.4117647058823529,1,1,0,180,deepseek_rerun_20260912,0.02941176470588234,0.0735294117647058,0.04411764705882346
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.4117647058823529,1,1,0,165,deepseek_rerun_20260912,0.4117647058823529,1,1,0,161,deepseek_rerun_20260912,0.8235294117647058,1,1,0,169,deepseek_rerun_20260912,0E-16,0.4117647058823529,0.4117647058823529
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.35294117647058826,1,1,0,177,deepseek_rerun_20260912,0.35294117647058826,1,1,0,173,deepseek_rerun_20260912,0.4117647058823529,1,1,0,181,deepseek_rerun_20260912,0E-17,0.05882352941176464,0.05882352941176464
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6911764705882353,1,1,0,166,deepseek_rerun_20260912,0.8823529411764706,1,1,0,162,deepseek_rerun_20260912,0.9264705882352942,1,1,0,170,deepseek_rerun_20260912,0.1911764705882353,0.2352941176470589,0.0441176470588236
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9264705882352942,1,1,0,178,deepseek_rerun_20260912,0.8970588235294117,1,1,0,174,deepseek_rerun_20260912,0.9117647058823529,1,1,0,182,deepseek_rerun_20260912,-0.0294117647058825,-0.0147058823529413,0.0147058823529412
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,167,deepseek_rerun_20260912,0.9411764705882353,1,1,0,163,deepseek_rerun_20260912,0.9411764705882353,1,1,0,171,deepseek_rerun_20260912,0E-16,0E-16,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:0,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,179,deepseek_rerun_20260912,0.9411764705882353,1,1,0,175,deepseek_rerun_20260912,0.9411764705882353,1,1,0,183,deepseek_rerun_20260912,0E-16,0E-16,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.7352941176470589,1,1,0,188,deepseek_rerun_20260912,0.7352941176470589,1,1,0,184,deepseek_rerun_20260912,0.9558823529411764,1,1,0,192,deepseek_rerun_20260912,0E-16,0.2205882352941175,0.2205882352941175
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6764705882352942,1,1,0,200,deepseek_rerun_20260912,0.6911764705882353,1,1,0,196,deepseek_rerun_20260912,0.7794117647058822,1,1,0,204,deepseek_rerun_20260912,0.0147058823529411,0.1029411764705880,0.0882352941176469
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.7647058823529411,1,1,0,189,deepseek_rerun_20260912,0.7647058823529411,1,1,0,185,deepseek_rerun_20260912,0.9411764705882353,1,1,0,193,deepseek_rerun_20260912,0E-16,0.1764705882352942,0.1764705882352942
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.7647058823529411,1,1,0,201,deepseek_rerun_20260912,0.7058823529411765,1,1,0,197,deepseek_rerun_20260912,0.7647058823529411,1,1,0,205,deepseek_rerun_20260912,-0.0588235294117646,0E-16,0.0588235294117646
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,190,deepseek_rerun_20260912,0.8823529411764706,1,1,0,186,deepseek_rerun_20260912,0.8970588235294117,1,1,0,194,deepseek_rerun_20260912,0E-16,0.0147058823529411,0.0147058823529411
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,202,deepseek_rerun_20260912,0.8823529411764706,1,1,0,198,deepseek_rerun_20260912,0.8823529411764706,1,1,0,206,deepseek_rerun_20260912,0E-16,0E-16,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,191,deepseek_rerun_20260912,0.8823529411764706,1,1,0,187,deepseek_rerun_20260912,0.8823529411764706,1,1,0,195,deepseek_rerun_20260912,0E-16,0E-16,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:1,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,203,deepseek_rerun_20260912,0.8823529411764706,1,1,0,199,deepseek_rerun_20260912,0.8823529411764706,1,1,0,207,deepseek_rerun_20260912,0E-16,0E-16,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.38235294117647056,1,1,0,212,deepseek_rerun_20260912,0.47058823529411764,1,1,0,208,deepseek_rerun_20260912,0.6029411764705883,1,1,0,216,deepseek_rerun_20260912,0.08823529411764708,0.22058823529411774,0.13235294117647066
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.36764705882352944,1,1,0,224,deepseek_rerun_20260912,0.3382352941176471,1,1,0,220,deepseek_rerun_20260912,0.47058823529411764,1,1,0,228,deepseek_rerun_20260912,-0.02941176470588234,0.10294117647058820,0.13235294117647054
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5294117647058824,1,1,0,213,deepseek_rerun_20260912,0.47058823529411764,1,1,0,209,deepseek_rerun_20260912,0.5882352941176471,1,1,0,217,deepseek_rerun_20260912,-0.05882352941176476,0.0588235294117647,0.11764705882352946
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.35294117647058826,1,1,0,225,deepseek_rerun_20260912,0.4117647058823529,1,1,0,221,deepseek_rerun_20260912,0.47058823529411764,1,1,0,229,deepseek_rerun_20260912,0.05882352941176464,0.11764705882352938,0.05882352941176474
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6764705882352942,1,1,0,214,deepseek_rerun_20260912,0.8823529411764706,1,1,0,210,deepseek_rerun_20260912,1.0,1,1,0,218,deepseek_rerun_20260912,0.2058823529411764,0.3235294117647058,0.1176470588235294
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8676470588235294,1,1,0,226,deepseek_rerun_20260912,0.8382352941176471,1,1,0,222,deepseek_rerun_20260912,0.9264705882352942,1,1,0,230,deepseek_rerun_20260912,-0.0294117647058823,0.0588235294117648,0.0882352941176471
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,215,deepseek_rerun_20260912,0.8823529411764706,1,1,0,211,deepseek_rerun_20260912,1.0,1,1,0,219,deepseek_rerun_20260912,-0.0588235294117647,0.0588235294117647,0.1176470588235294
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:10,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,227,deepseek_rerun_20260912,0.9411764705882353,1,1,0,223,deepseek_rerun_20260912,0.9411764705882353,1,1,0,231,deepseek_rerun_20260912,0.0588235294117647,0.0588235294117647,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.3970588235294118,1,1,0,236,deepseek_rerun_20260912,0.5147058823529412,1,1,0,232,deepseek_rerun_20260912,0.9117647058823529,1,1,0,240,deepseek_rerun_20260912,0.1176470588235294,0.5147058823529411,0.3970588235294117
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.47058823529411764,1,1,0,248,deepseek_rerun_20260912,0.3382352941176471,1,1,0,244,deepseek_rerun_20260912,0.5588235294117647,1,1,0,252,deepseek_rerun_20260912,-0.13235294117647054,0.08823529411764706,0.2205882352941176
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5882352941176471,1,1,0,237,deepseek_rerun_20260912,0.5882352941176471,1,1,0,233,deepseek_rerun_20260912,0.9411764705882353,1,1,0,241,deepseek_rerun_20260912,0E-16,0.3529411764705882,0.3529411764705882
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5294117647058824,1,1,0,249,deepseek_rerun_20260912,0.4117647058823529,1,1,0,245,deepseek_rerun_20260912,0.5882352941176471,1,1,0,253,deepseek_rerun_20260912,-0.1176470588235295,0.0588235294117647,0.1764705882352942
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6764705882352942,1,1,0,238,deepseek_rerun_20260912,0.8529411764705882,1,1,0,234,deepseek_rerun_20260912,1.0,1,1,0,242,deepseek_rerun_20260912,0.1764705882352940,0.3235294117647058,0.1470588235294118
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8529411764705882,1,1,0,250,deepseek_rerun_20260912,0.7794117647058824,1,1,0,246,deepseek_rerun_20260912,0.8235294117647058,1,1,0,254,deepseek_rerun_20260912,-0.0735294117647058,-0.0294117647058824,0.0441176470588234
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,239,deepseek_rerun_20260912,0.9411764705882353,1,1,0,235,deepseek_rerun_20260912,1.0,1,1,0,243,deepseek_rerun_20260912,0E-16,0.0588235294117647,0.0588235294117647
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:11,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,251,deepseek_rerun_20260912,0.8823529411764706,1,1,0,247,deepseek_rerun_20260912,0.8823529411764706,1,1,0,255,deepseek_rerun_20260912,-0.0588235294117647,-0.0588235294117647,0E-16
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.6029411764705883,1,1,0,260,deepseek_rerun_20260912,0.4411764705882353,1,1,0,256,deepseek_rerun_20260912,1.0,1,1,0,264,deepseek_rerun_20260912,-0.1617647058823530,0.3970588235294117,0.5588235294117647
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5294117647058824,1,1,0,272,deepseek_rerun_20260912,0.5147058823529411,1,1,0,268,deepseek_rerun_20260912,0.6029411764705883,1,1,0,276,deepseek_rerun_20260912,-0.0147058823529413,0.0735294117647059,0.0882352941176472
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5882352941176471,1,1,0,261,deepseek_rerun_20260912,0.5294117647058824,1,1,0,257,deepseek_rerun_20260912,1.0,1,1,0,265,deepseek_rerun_20260912,-0.0588235294117647,0.4117647058823529,0.4705882352941176
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.5882352941176471,1,1,0,273,deepseek_rerun_20260912,0.47058823529411764,1,1,0,269,deepseek_rerun_20260912,0.6470588235294118,1,1,0,277,deepseek_rerun_20260912,-0.11764705882352946,0.0588235294117647,0.17647058823529416
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,262,deepseek_rerun_20260912,0.6617647058823529,1,1,0,258,deepseek_rerun_20260912,1.0,1,1,0,266,deepseek_rerun_20260912,-0.2794117647058824,0.0588235294117647,0.3382352941176471
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.838235294117647,1,1,0,274,deepseek_rerun_20260912,0.8529411764705882,1,1,0,270,deepseek_rerun_20260912,0.8970588235294117,1,1,0,278,deepseek_rerun_20260912,0.0147058823529412,0.0588235294117647,0.0441176470588235
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9411764705882353,1,1,0,263,deepseek_rerun_20260912,0.8823529411764706,1,1,0,259,deepseek_rerun_20260912,1.0,1,1,0,267,deepseek_rerun_20260912,-0.0588235294117647,0.0588235294117647,0.1176470588235294
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:12,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,275,deepseek_rerun_20260912,0.8235294117647058,1,1,0,271,deepseek_rerun_20260912,0.9411764705882353,1,1,0,279,deepseek_rerun_20260912,-0.0588235294117648,0.0588235294117647,0.1176470588235295
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8970588235294117,1,1,0,284,deepseek_rerun_20260912,0.9558823529411764,1,1,0,280,deepseek_rerun_20260912,1.0,1,1,0,288,deepseek_rerun_20260912,0.0588235294117647,0.1029411764705883,0.0441176470588236
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,evidence_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.7941176470588235,1,1,0,296,deepseek_rerun_20260912,0.7794117647058822,1,1,0,292,deepseek_rerun_20260912,0.8970588235294117,1,1,0,300,deepseek_rerun_20260912,-0.0147058823529413,0.1029411764705882,0.1176470588235295
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,evidence_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,285,deepseek_rerun_20260912,0.9411764705882353,1,1,0,281,deepseek_rerun_20260912,1.0,1,1,0,289,deepseek_rerun_20260912,0.0588235294117647,0.1176470588235294,0.0588235294117647
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,evidence_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8235294117647058,1,1,0,297,deepseek_rerun_20260912,0.7647058823529411,1,1,0,293,deepseek_rerun_20260912,0.9411764705882353,1,1,0,301,deepseek_rerun_20260912,-0.0588235294117647,0.1176470588235295,0.1764705882352942
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,label_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8676470588235294,1,1,0,286,deepseek_rerun_20260912,0.9558823529411764,1,1,0,282,deepseek_rerun_20260912,0.9705882352941176,1,1,0,290,deepseek_rerun_20260912,0.0882352941176470,0.1029411764705882,0.0147058823529412
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,label_acc_mi,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.7794117647058822,1,1,0,298,deepseek_rerun_20260912,0.7647058823529411,1,1,0,294,deepseek_rerun_20260912,0.8970588235294117,1,1,0,302,deepseek_rerun_20260912,-0.0147058823529411,0.1176470588235295,0.1323529411764706
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,label_acc_mv,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8823529411764706,1,1,0,287,deepseek_rerun_20260912,0.9411764705882353,1,1,0,283,deepseek_rerun_20260912,1.0,1,1,0,291,deepseek_rerun_20260912,0.0588235294117647,0.1176470588235294,0.0588235294117647
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:2,label_acc_mv,fraction,4,cost_tight,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.8235294117647058,1,1,0,299,deepseek_rerun_20260912,0.7647058823529411,1,1,0,295,deepseek_rerun_20260912,0.9411764705882353,1,1,0,303,deepseek_rerun_20260912,-0.0588235294117647,0.1176470588235295,0.1764705882352942
N4_strategy,deepseek-v4-flash-0731,poolact,evidence_audit,task,cc-large:3,evidence_acc_mi,fraction,4,cost_moderate,item_equal_weight_after_within_item_mean,100,0–100,percentage_points,true,0.9117647058823529,1,1,0,308,deepseek_rerun_20260912,1.0,1,1,0,304,deepseek_rerun_20260912,1.0,1,1,0,312,deepseek_rerun_20260912,0.0882352941176471,0.0882352941176471,0.0
