model,regime,strategy,cohort_id,question_index,data_source,result_sha256,bytes,agents,feedback_attempts,feedback_visible,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,first_choice_unique_hypotheses,within_agent_repeated_attempts,cross_agent_overlap_queries,unique_verified_correct_queries,unique_verified_correct_nonempty,semantic_redundancy_fraction,correct_visible,incomplete_visible,irrelevant_visible,other_visible,withheld,invalid_payload_attempts,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,agents_with_peer_snapshot,agents_with_peer_only_nonempty_final_match,cache_hits,cache_size,graph_pending_claims,slot_id,source_sha256,score_version,answer_change_reason,label_acc,evidence_acc,verification_eff
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,10,phantom_seed1,02bc1ccff76364b134673ef8e10cafc4477e28ebf66d926ee8c74de60b8a390c,493595,4,47,44,34,31,10,8,3,0,13,6,4,0.276595744680851,13,6,25,0,3,0,0,0,0,0,0,4,0,0,6,31,0,5f907bcfab5918ad34dd4725,02bc1ccff76364b134673ef8e10cafc4477e28ebf66d926ee8c74de60b8a390c,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.47058823529411764,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,11,phantom_seed1,22a1da388068fdcda485ad159f1be28fc4d772ba136335057555662241f1fc22,471924,4,50,47,35,32,14,13,3,0,15,11,5,0.30000000000000004,21,11,15,0,3,0,0,0,0,0,0,4,0,0,9,32,0,a79e92f58cc8d123944c9f49,22a1da388068fdcda485ad159f1be28fc4d772ba136335057555662241f1fc22,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.5882352941176471,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,12,phantom_seed1,3cf4f17614c95b7f69cce77c701528496ddce7ada286a60769a321e1c988e7c3,410616,4,46,43,32,29,12,10,4,0,14,9,2,0.30434782608695654,14,3,26,0,3,0,0,0,0,0,0,3,0,0,6,29,0,be82eaadb4725b7e49ff62ba,3cf4f17614c95b7f69cce77c701528496ddce7ada286a60769a321e1c988e7c3,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.5294117647058824,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,0,phantom_seed1,d8d796877d92547edd8a52285e7d08f51bd91063bf07c2d9fb3866222f348835,412422,4,40,38,33,32,8,8,3,0,7,5,3,0.17500000000000004,9,6,23,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0c6584c29703e86ff3a6821a,d8d796877d92547edd8a52285e7d08f51bd91063bf07c2d9fb3866222f348835,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.4117647058823529,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,1,phantom_seed1,8365d1d62fee61d387eae025b0567024bc68c66e378bc07e59cc6c62acbedcd4,474100,4,39,38,22,22,12,12,3,0,17,11,9,0.4358974358974359,24,5,9,0,1,0,0,0,0,0,0,4,0,0,0,0,0,83160e02f17057c672ea7619,8365d1d62fee61d387eae025b0567024bc68c66e378bc07e59cc6c62acbedcd4,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.7647058823529411,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,2,phantom_seed1,fc3055e25b519705d1737a7be7990a445459d16972caebdbd129df99049e8e65,303558,4,41,38,19,18,12,12,3,0,22,11,6,0.5365853658536586,27,1,10,0,3,0,0,0,0,0,0,4,0,0,0,0,0,db7bcf71e54633717968f2db,fc3055e25b519705d1737a7be7990a445459d16972caebdbd129df99049e8e65,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.8823529411764706,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,3,phantom_seed1,fc3c7fa36bab3aa8f027fbb42ec782c82ebd23de0fb5f1322d2ac2847ec95700,388211,4,42,40,19,19,8,8,2,0,23,7,5,0.5476190476190477,21,7,12,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0d4438713f36d7c67d155e40,fc3c7fa36bab3aa8f027fbb42ec782c82ebd23de0fb5f1322d2ac2847ec95700,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,4,phantom_seed1,397c48b2529229a1357ee365ea8df5f87afd60872bf64a9637dcc9956a5d1409,331346,4,40,37,14,13,7,6,2,0,26,6,6,0.65,19,5,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0,a350517b5486d0c0dd7a261f,397c48b2529229a1357ee365ea8df5f87afd60872bf64a9637dcc9956a5d1409,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.8235294117647058,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,5,phantom_seed1,fe2d0385d807166e8b964ce9d046592a7c48cbbae50fb9b630660402f1f2876a,348855,4,41,37,21,21,11,11,3,0,20,11,4,0.4878048780487805,21,3,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0,e0aa191d3ca7db0cc15e271d,fe2d0385d807166e8b964ce9d046592a7c48cbbae50fb9b630660402f1f2876a,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8235294117647058,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,6,phantom_seed1,a0afd1fbcb43e5fe70f25ac65b3d886cdf04f7b66b4203eec04a0347276e21cf,362130,4,40,37,22,20,13,13,1,0,18,11,5,0.44999999999999996,22,1,14,0,3,0,0,0,0,0,0,4,0,0,0,0,0,18a54204c42e45177a600be4,a0afd1fbcb43e5fe70f25ac65b3d886cdf04f7b66b4203eec04a0347276e21cf,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.7058823529411765,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,7,phantom_seed1,36c1c47b953ce34d87b37e3a9aefc4b80390b1d53484afa4696afe337744bf7d,362484,4,40,36,21,20,10,10,3,0,19,9,5,0.475,19,7,10,0,4,0,0,0,0,0,0,4,0,0,0,0,0,d70b9ae9886783c0a4b573a2,36c1c47b953ce34d87b37e3a9aefc4b80390b1d53484afa4696afe337744bf7d,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,8,phantom_seed1,66100981e8de7e15b4a9f2bd1bdb0b91a3c6b7df3e0ac3edae9024920140cd7f,395246,4,40,37,29,26,11,10,3,0,11,10,6,0.275,17,7,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0,8de7904280da1ab72fb74621,66100981e8de7e15b4a9f2bd1bdb0b91a3c6b7df3e0ac3edae9024920140cd7f,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.35294117647058826,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,9,phantom_seed1,5e2bc43ac0435ce5c3f776901451b5fb15ee4bf445a5a2ddd00b3f517cb1020c,410051,4,40,36,16,14,6,5,1,0,24,5,3,0.6,13,10,13,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3a344acc1352511e37878193,5e2bc43ac0435ce5c3f776901451b5fb15ee4bf445a5a2ddd00b3f517cb1020c,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8235294117647058,0.5294117647058824,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,10,phantom_seed1,6fbddb022b7c878863c770887ac16acc65cef4e599d40155711e1378f541ecae,471144,4,40,40,22,22,8,8,1,0,18,6,4,0.44999999999999996,12,6,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,bf47e2aa9980f6c4655079b6,6fbddb022b7c878863c770887ac16acc65cef4e599d40155711e1378f541ecae,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.5294117647058824,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,11,phantom_seed1,a8edc3081b0d360f5e329987e2ffb63c2c0d614cf7b996cce0f5ba98a15869c6,440670,4,40,38,30,28,10,10,2,0,10,9,6,0.25,14,9,15,0,2,0,0,0,0,0,0,3,0,0,0,0,0,9f7de8cec16434bcb1b88e32,a8edc3081b0d360f5e329987e2ffb63c2c0d614cf7b996cce0f5ba98a15869c6,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.5882352941176471,0.0
deepseek-v4-flash-0731,cost_moderate,naive,deepseek_rerun_20260912,12,phantom_seed1,0fc082d7ab0fcf0aee689f3b8a311b3d4978bbaed3c1bca54cf9016727b0b1e1,355711,4,40,37,28,26,12,11,2,0,12,9,1,0.30000000000000004,13,3,21,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4fe7a1d2b8910f1c6edc54b2,0fc082d7ab0fcf0aee689f3b8a311b3d4978bbaed3c1bca54cf9016727b0b1e1,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.5882352941176471,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,0,phantom_seed1,1fc00fb45047fb23670783452e47644b9e51d65ccb1901d04dbf32b02ebd5afa,712584,4,40,39,39,38,12,12,4,0,1,12,11,0.025000000000000022,12,5,22,0,1,0,38,28,28,28,28,4,4,4,0,38,0,e4a3de7414124ba25ae424c0,1fc00fb45047fb23670783452e47644b9e51d65ccb1901d04dbf32b02ebd5afa,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.8235294117647058,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,1,phantom_seed1,d5a628d19181ae58830a5b8e6b88ca1e84dd6397bb9deedefde4b9fb2543468b,601085,4,39,38,32,32,17,17,4,0,7,17,14,0.17948717948717952,20,5,13,0,1,0,36,51,45,45,39,4,4,4,0,32,0,5b5bae9976e7fb745e3982c1,d5a628d19181ae58830a5b8e6b88ca1e84dd6397bb9deedefde4b9fb2543468b,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,2,phantom_seed1,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,469816,4,37,37,23,23,17,17,4,0,14,17,6,0.3783783783783784,31,1,5,0,0,0,35,60,37,37,15,4,4,4,0,23,0,34147bb84bd134f2b3322cec,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,3,phantom_seed1,f00f3564772e7f2a918460554761f10decf11ddcbeccef542f7aa3e42727764f,489908,4,34,34,27,27,17,17,4,1,6,17,5,0.20588235294117652,24,2,8,0,0,0,33,54,45,45,15,4,4,4,2,27,0,e2b70fd229e0ad9833f041fc,f00f3564772e7f2a918460554761f10decf11ddcbeccef542f7aa3e42727764f,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,4,phantom_seed1,272cb9d1e6eca2e7a48989466b356efb5710e5a124c79be9de6516655a0fa94e,495857,4,40,39,26,26,14,14,4,0,14,14,11,0.35,20,5,14,0,1,0,38,38,31,31,28,4,4,4,0,26,0,85a89e4b4ff8c8ed5f528289,272cb9d1e6eca2e7a48989466b356efb5710e5a124c79be9de6516655a0fa94e,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,5,phantom_seed1,0b362e1cbb80a4dcbe897edc284df3ec94c65fbee1ca52f1c843e21ba6f6cd14,460529,4,34,34,23,23,17,17,4,0,11,17,4,0.32352941176470584,26,2,6,0,0,0,33,54,42,42,11,4,4,4,1,23,0,fd9c7b49ec22cbc344c16ad4,0b362e1cbb80a4dcbe897edc284df3ec94c65fbee1ca52f1c843e21ba6f6cd14,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,6,phantom_seed1,46922bb16f790d5d3ae4b77b0911f4ca2f34a4770ae99d3b2c17d227eab2fe8a,624479,4,39,39,30,30,17,17,4,0,9,17,10,0.23076923076923073,23,4,12,0,0,0,38,51,43,43,29,4,4,4,0,30,0,193249da3c3e28d155f7889f,46922bb16f790d5d3ae4b77b0911f4ca2f34a4770ae99d3b2c17d227eab2fe8a,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,7,phantom_seed1,3a02b36efd82018f5b51a3bc09ccb3b3cbbd15dc0ae4cb5356463cb9c8445333,470752,4,36,36,26,26,17,17,4,0,10,17,5,0.2777777777777778,26,3,7,0,0,0,35,56,41,41,13,4,4,4,0,26,0,74f9bb603f6e230d2661998c,3a02b36efd82018f5b51a3bc09ccb3b3cbbd15dc0ae4cb5356463cb9c8445333,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,8,phantom_seed1,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,577046,4,40,38,33,32,17,17,4,0,7,17,12,0.17500000000000004,19,10,9,0,2,0,37,46,44,44,30,4,4,4,0,32,0,b17fc226bb045789df8c3d49,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,9,phantom_seed1,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,518319,4,39,37,32,32,17,17,4,0,7,17,12,0.17948717948717952,22,7,8,0,2,0,36,49,42,42,32,4,4,4,0,32,0,2a395d2e30d11c9e0cd0c6d0,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,10,phantom_seed1,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,825810,4,40,39,35,34,10,10,4,0,5,7,4,0.125,8,6,25,0,1,0,36,22,20,20,12,4,4,4,0,34,0,aa8511993d6ec60b40bac3d5,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.5882352941176471,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,11,phantom_seed1,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,697439,4,39,39,34,34,15,15,4,0,5,13,9,0.1282051282051282,15,8,16,0,0,0,36,31,27,27,17,4,4,4,0,34,0,b61bf7439794536f53c71d69,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,poolact,deepseek_rerun_20260912,12,phantom_seed1,c9570e36cbd2d832c80326bd7150937ac3147fdd3ed705190ff3ca22b8f14c95,559579,4,39,36,29,28,16,15,4,0,10,15,7,0.2564102564102564,22,5,9,0,3,0,35,46,35,35,17,4,4,4,0,28,0,c52650f11387ce2601b652b9,c9570e36cbd2d832c80326bd7150937ac3147fdd3ed705190ff3ca22b8f14c95,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,1.0,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,0,phantom_seed1,4b637e3d935c214ab62a53f96fd22203201fc20a1a6e23ab7b45fd551c2a7e9e,376899,4,13,9,11,7,4,3,3,0,2,1,1,0.15384615384615385,2,3,4,0,4,0,0,0,0,0,0,4,0,0,0,7,0,f441781a3c3282dba8cff8d0,4b637e3d935c214ab62a53f96fd22203201fc20a1a6e23ab7b45fd551c2a7e9e,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.35294117647058826,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,1,phantom_seed1,34c0c9019fe9b6a9a0ab33917705cc58f61c56b00954b3ef0dcccce51eebd67c,322950,4,12,12,6,6,6,6,1,0,6,4,3,0.5,10,1,1,0,0,0,0,0,0,0,0,4,0,0,0,6,0,14288c46e88aebbaf73660ab,34c0c9019fe9b6a9a0ab33917705cc58f61c56b00954b3ef0dcccce51eebd67c,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.7058823529411765,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,2,phantom_seed1,be5c0b0b28121419a594d44ef2ea87ddc6acea39703cd8176aa42ecf5a8b79c3,312607,4,13,13,8,8,7,7,3,0,5,7,4,0.3846153846153846,10,0,3,0,0,0,0,0,0,0,0,4,0,0,2,8,0,55eb71a8070ac96dc06c844d,be5c0b0b28121419a594d44ef2ea87ddc6acea39703cd8176aa42ecf5a8b79c3,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.7647058823529411,0.7647058823529411,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,3,phantom_seed1,3f8daa394583560f858b8a4086b1077f49f8841413e84b90a2c9ad5385626c3f,379821,4,22,19,11,9,6,4,3,0,11,3,1,0.5,8,4,7,0,3,0,0,0,0,0,0,4,0,0,8,9,0,dac999b76cd1209dbdd49498,3f8daa394583560f858b8a4086b1077f49f8841413e84b90a2c9ad5385626c3f,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,4,phantom_seed1,c5d1f553a6264f5d18f153b11bc1ae58b17ac5f9383f7524929b12b04e4a82e7,274830,4,12,10,9,7,6,6,2,0,3,3,3,0.25,6,0,4,0,2,0,0,0,0,0,0,4,0,0,0,7,0,be63d9f53a24e771a2a49f90,c5d1f553a6264f5d18f153b11bc1ae58b17ac5f9383f7524929b12b04e4a82e7,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.7058823529411765,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,5,phantom_seed1,1d2fa3787ffd4ca47e93b8daf50af7b571e17bba8de78f976fb4309934cf73dc,266205,4,13,9,5,4,4,4,1,0,8,3,3,0.6153846153846154,7,2,0,0,4,0,0,0,0,0,0,4,0,0,1,4,0,c8b4252233949a3ddbfe1bf2,1d2fa3787ffd4ca47e93b8daf50af7b571e17bba8de78f976fb4309934cf73dc,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8235294117647058,0.8823529411764706,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,6,phantom_seed1,c7d4cf115576e1bbf0c1c3f81d5c93f9f75a7f02cf10200f3b7873506b33d687,354468,4,14,12,9,8,7,7,4,0,5,6,3,0.3571428571428571,8,0,4,0,2,0,0,0,0,0,0,4,0,0,2,8,0,fb53d67cc77a5604c3b43cb4,c7d4cf115576e1bbf0c1c3f81d5c93f9f75a7f02cf10200f3b7873506b33d687,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.7058823529411765,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,7,phantom_seed1,655967e6153f9fc8eabc4c4cb9a2bb99c086f8d3849dcac65edc26781fc51c36,350381,4,13,9,8,5,7,4,2,0,5,3,3,0.3846153846153846,7,1,1,0,4,0,0,0,0,0,0,4,0,0,0,5,0,0d7661269ebf23943a4fd6b4,655967e6153f9fc8eabc4c4cb9a2bb99c086f8d3849dcac65edc26781fc51c36,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.8823529411764706,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,8,phantom_seed1,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,393556,4,15,12,9,6,6,5,1,0,6,2,0,0.4,5,3,4,0,3,0,0,0,0,0,0,4,0,0,3,6,0,00f8e194c1badaa56bf899c5,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.4117647058823529,0.0
deepseek-v4-flash-0731,cost_tight,cached,deepseek_rerun_20260912,9,phantom_seed1,0b173989597c599924d331d7a6798be0779f9363688fb1331fa5923215365e0b,276282,4,13,10,10,8,5,4,2,0,3,4,2,0.23076923076923073,5,0,5,0,3,0,0,0,0,0,0,4,0,0,1,8,0,69353cf4e0c7bff6c284eec3,0b173989597c599924d331d7a6798be0779f9363688fb1331fa5923215365e0b,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8235294117647058,0.47058823529411764,0.0
