dimension,model,regime,metric,full_mean,display_value,complete,rank_among_complete,all_six_complete,overall_winner,cohort_id
Audit LA,kimi-k3,cost_moderate,label_acc,0.8959276018099547,89.59,True,2,True,False,kimi_original
Audit LA,glm-5.3,cost_moderate,label_acc,0.8521870286576169,85.22,True,5,True,False,glm_original
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_moderate,label_acc,0.8823529411764706,88.24,True,3,True,False,qwen_original
Audit LA,deepseek-v4-flash-0731,cost_moderate,label_acc,0.755656108597285,75.57,True,6,True,False,deepseek_original
Audit LA,gpt-5.6-sol,cost_moderate,label_acc,0.8793363499245852,87.93,True,4,True,False,gpt_original
Audit LA,gemini-3.8-flash-medium,cost_moderate,label_acc,0.923076923076923,92.31,True,1,True,True,gemini_snapshot
Audit LA,kimi-k3,cost_tight,label_acc,0.8144796380090498,81.45,True,3,True,False,kimi_original
Audit LA,glm-5.3,cost_tight,label_acc,0.7586726998491704,75.87,True,5,True,False,glm_original
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_tight,label_acc,0.8310708898944192,83.11,True,2,True,False,qwen_original+terminal_protocol_control_20260918_qwen
Audit LA,deepseek-v4-flash-0731,cost_tight,label_acc,0.702865761689291,70.29,True,6,True,False,deepseek_original
Audit LA,gpt-5.6-sol,cost_tight,label_acc,0.7873303167420814,78.73,True,4,True,False,gpt_original
Audit LA,gemini-3.8-flash-medium,cost_tight,label_acc,0.8823529411764706,88.24,True,1,True,True,gemini_snapshot
ParamNet,kimi-k3,cost_free,gap0,97.07588307631181,97.08,True,2,True,False,kimi_original
ParamNet,glm-5.3,cost_free,gap0,96.03878841246782,96.04,True,3,True,False,glm_original
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,95.2822905852123,95.28,True,5,True,False,qwen_original
ParamNet,deepseek-v4-flash-0731,cost_free,gap0,41.55878551252233,41.56,True,6,True,False,deepseek_original
ParamNet,gpt-5.6-sol,cost_free,gap0,97.31233017688683,97.31,True,1,True,True,gpt_original
ParamNet,gemini-3.8-flash-medium,cost_free,gap0,95.99663483198155,96.00,True,4,True,False,gemini_openrouter_missing_main_20260917+gemini_snapshot
ParamNet,kimi-k3,cost_moderate,gap0,87.7565007299784,87.76,True,5,True,False,kimi_original
ParamNet,glm-5.3,cost_moderate,gap0,94.24026889615324,94.24,True,3,True,False,glm_original
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,94.9526938925112,94.95,True,2,True,False,qwen_original
ParamNet,deepseek-v4-flash-0731,cost_moderate,gap0,70.83837532498686,70.84,True,6,True,False,deepseek_original
ParamNet,gpt-5.6-sol,cost_moderate,gap0,95.27182608253405,95.27,True,1,True,True,gpt_original
ParamNet,gemini-3.8-flash-medium,cost_moderate,gap0,93.95190837209174,93.95,True,4,True,False,gemini_snapshot
ParamNet,kimi-k3,cost_tight,gap0,79.42248331232413,79.42,True,3,True,False,kimi_original
ParamNet,glm-5.3,cost_tight,gap0,79.40189205611205,79.40,True,4,True,False,glm_original
ParamNet,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,77.86584532528114,77.87,True,5,True,False,qwen_original
ParamNet,deepseek-v4-flash-0731,cost_tight,gap0,63.942854907754366,63.94,True,6,True,False,deepseek_original
ParamNet,gpt-5.6-sol,cost_tight,gap0,85.69408389858862,85.69,True,2,True,False,gpt_original
ParamNet,gemini-3.8-flash-medium,cost_tight,gap0,90.08387085324293,90.08,True,1,True,True,gemini_openrouter_missing_main_20260917+gemini_snapshot
NAS101,kimi-k3,cost_free,gap0,98.69201330579891,98.69,True,3,True,False,kimi_original
NAS101,glm-5.3,cost_free,gap0,99.05747572457256,99.06,True,2,True,False,glm_original
NAS101,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.66176600805261,98.66,True,4,True,False,qwen_original
NAS101,deepseek-v4-flash-0731,cost_free,gap0,60.10277211076796,60.10,True,6,True,False,deepseek_original
NAS101,gpt-5.6-sol,cost_free,gap0,98.37784249896156,98.38,True,5,True,False,gpt_original
NAS101,gemini-3.8-flash-medium,cost_free,gap0,99.33314374851237,99.33,True,1,True,True,gemini_snapshot
NAS101,kimi-k3,cost_moderate,gap0,97.85718108169253,97.86,True,3,True,False,kimi_original
NAS101,glm-5.3,cost_moderate,gap0,97.73655857169163,97.74,True,4,True,False,glm_original
NAS101,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,96.51099706037206,96.51,True,5,True,False,qwen_original
NAS101,deepseek-v4-flash-0731,cost_moderate,gap0,71.87713482205692,71.88,True,6,True,False,deepseek_original
NAS101,gpt-5.6-sol,cost_moderate,gap0,98.3240016602899,98.32,True,2,True,False,gpt_original
NAS101,gemini-3.8-flash-medium,cost_moderate,gap0,98.74444626689534,98.74,True,1,True,True,gemini_openrouter_missing_main_20260917+gemini_snapshot
NAS101,kimi-k3,cost_tight,gap0,94.96809853403244,94.97,True,3,True,False,kimi_original
NAS101,glm-5.3,cost_tight,gap0,90.76144263870238,90.76,True,5,True,False,glm_original
NAS101,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,93.81515159593863,93.82,True,4,True,False,qwen_original
NAS101,deepseek-v4-flash-0731,cost_tight,gap0,86.86435133846592,86.86,True,6,True,False,deepseek_original
NAS101,gpt-5.6-sol,cost_tight,gap0,97.03084328092477,97.03,True,1,True,True,gpt_original
NAS101,gemini-3.8-flash-medium,cost_tight,gap0,96.62054943377423,96.62,True,2,True,False,gemini_openrouter_missing_main_20260917+gemini_snapshot
NAS201,kimi-k3,cost_free,gap0,99.77083456336484,99.77,True,1,True,True,kimi_original
NAS201,glm-5.3,cost_free,gap0,98.63716414441365,98.64,True,3,True,False,glm_original
NAS201,qwen3.8-2.4t-a95b-fp8,cost_free,gap0,98.45155983155823,98.45,True,4,True,False,qwen_original
NAS201,deepseek-v4-flash-0731,cost_free,gap0,81.62031675161019,81.62,True,6,True,False,deepseek_original
NAS201,gpt-5.6-sol,cost_free,gap0,98.22953190702978,98.23,True,5,True,False,gpt_original
NAS201,gemini-3.8-flash-medium,cost_free,gap0,99.15349095002772,99.15,True,2,True,False,gemini_snapshot
NAS201,kimi-k3,cost_moderate,gap0,97.07662908016032,97.08,True,2,True,False,kimi_original
NAS201,glm-5.3,cost_moderate,gap0,96.4868516064718,96.49,True,3,True,False,glm_original
NAS201,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0,93.9364165262355,93.94,True,5,True,False,qwen_original
NAS201,deepseek-v4-flash-0731,cost_moderate,gap0,79.34404615956372,79.34,True,6,True,False,deepseek_original
NAS201,gpt-5.6-sol,cost_moderate,gap0,96.23745766067792,96.24,True,4,True,False,gpt_original
NAS201,gemini-3.8-flash-medium,cost_moderate,gap0,99.12151934803056,99.12,True,1,True,True,gemini_snapshot
NAS201,kimi-k3,cost_tight,gap0,94.66056902635921,94.66,True,2,True,False,kimi_original
NAS201,glm-5.3,cost_tight,gap0,88.0373312804968,88.04,True,4,True,False,glm_original
NAS201,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0,85.44897329806932,85.45,True,5,True,False,qwen_original
NAS201,deepseek-v4-flash-0731,cost_tight,gap0,76.62120124792725,76.62,True,6,True,False,deepseek_original
NAS201,gpt-5.6-sol,cost_tight,gap0,92.25786061606709,92.26,True,3,True,False,gpt_original
NAS201,gemini-3.8-flash-medium,cost_tight,gap0,94.8695267484929,94.87,True,1,True,True,gemini_snapshot
