model,beta,job_id,data_source,question_index,repeat,score_status,missing_final,protocol_failure_events,evaluations,simulated_feedback_seconds,agent_wall_seconds,http_request_attempts
gpt,1,job_26d685945dc6c2b0f2445e798bd062482741cc9c377ca62916f26e9565700ec9,phantom_seed3,8,R1,scored_final_answer,False,0,2,592.1416796557605,7.391491174697876,3
gpt,1,job_a6f1887b77fc6259e1fe25ba4d27963092668929cf18c415161d11eef095f1cc,phantom_seed3,9,R1,scored_final_answer,False,0,1,305.5844378005713,6.9872727394104,2
gpt,1,job_0ae8d3f9ba80e221981fd6e0f64ae004d3d399d3379c2c8fa03d4e60f9080380,phantom_seed3,10,R1,scored_final_answer,False,0,1,310.0280711706728,5.0097832679748535,2
gpt,1,job_864ba522cad32b0a80b95efe99d2ed3b14180e3fd1f2af0dfe98d7c11d329afb,phantom_seed3,11,R1,scored_final_answer,False,0,2,598.2240247353911,7.928409814834595,3
gpt,1,job_20ae2f78b4ddb657a69030ac5bb7584883c5fc44a1f4b71ab3a91bcbbb48c739,phantom_seed3,12,R1,scored_final_answer,False,0,4,589.7369173821062,17.050824642181396,5
gpt,1,job_d482f76bddd447af66a29f25dfcdac045d28bcc020aac910b42948acce83ef50,phantom_seed3,13,R1,scored_final_answer,False,0,1,305.1142273657024,6.696556568145752,2
gpt,1,job_b3b5de1fedd9ac258cac8e56ca8ffbb459539645869489717667f753632f544f,phantom_seed3,14,R1,scored_final_answer,False,0,1,306.48579951375723,4.590810537338257,2
gpt,1,job_c14a24fc8a9ee62cb20baf727b4b83752e064039992e1c5646c917399a804969,phantom_seed3,15,R1,scored_final_answer,False,0,1,300.3206635825336,5.856675863265991,2
gpt,1,job_f51d551affd3a35a66daf21fb186a171d80a17bfc94117facd88abd29f7fffa9,phantom_seed3,16,R1,scored_final_answer,False,0,5,597.9713687021285,19.767964601516724,6
gpt,1,job_3875b557615a7314ba764e64d7d5990ce55684eec8e2182667fc005de5155a66,phantom_seed3,17,R1,scored_final_answer,False,0,6,584.3976297602057,31.947128295898438,7
gpt,1,job_208481e2df11b4589e641f4510cbb4e5199ca2033bb4ec0a141e111d5ee09fa1,phantom_seed3,18,R1,scored_final_answer,False,0,1,307.1769913379103,4.749969482421875,2
gpt,5,job_47546c859e5679d7df4f68d1317d254592baa50f2c235df96f698c91ab1e4ebe,phantom_seed2,0,R1,scored_final_answer,False,0,5,1461.8871756177396,16.657310485839844,6
gpt,5,job_bea1ec364ca7ff6b64be50f0846f92dccd717e6c505cb97b3f14ae7b8aa0aca7,phantom_seed2,1,R1,scored_final_answer,False,0,7,1770.2176808193326,55.69302558898926,8
gpt,5,job_43a53f2664bd08c4dc99a130be6135c101deeb87280b806463b16ad274c34b53,phantom_seed2,2,R1,scored_final_answer,False,0,7,1779.8256338760257,36.84569334983826,8
gpt,5,job_53f221f7d020ae1902c688934454c8f5db783452de7dec58f72099688f4fe7e9,phantom_seed2,3,R1,scored_final_answer,False,0,5,1508.9496103674173,22.6619656085968,6
gpt,5,job_fcbc6875e0839e4c102c97959c1dde2b080301ad070f0cbcadaf3ea7938e0fdf,phantom_seed2,4,R1,scored_final_answer,False,0,5,1523.5344687849283,18.95522427558899,6
gpt,5,job_e2130eba430e658bc25a8c73c202e89f6884a56ae70f376e666d03f0017e7cb7,phantom_seed2,5,R1,scored_final_answer,False,0,5,1495.6489845179021,22.830034732818604,6
gpt,5,job_8455d28c9c6138a2c3eb09fc422c01b1484884640b4790ee5d4a039595b79b21,phantom_seed2,6,R1,scored_final_answer,False,0,5,1506.5850839577615,20.77155900001526,6
gpt,5,job_f6b5879c871bb44e9774cd419292ac27119f876aab44158d8c6ee9afc24574b7,phantom_seed2,7,R1,scored_final_answer,False,0,6,1507.1345369331539,35.101370334625244,7
gpt,5,job_b901dd74cb6485bf0f9d0a6d0aa3e007fa0d55a778e056c3fde3a39ce1d4b36f,phantom_seed2,8,R1,scored_final_answer,False,0,4,1207.8130622766912,16.49002456665039,5
gpt,5,job_559c191a6aa2658c4144a0471ed7a4c4f380ba061f7cd85b56e6b655c87bccf5,phantom_seed2,9,R1,scored_final_answer,False,0,7,1782.0680731907487,34.349276065826416,8
gpt,5,job_a1d9046411665f83f5a802e5df15b43f5f77e9c5a9dac7b558548600c1056e58,phantom_seed2,10,R1,scored_final_answer,False,0,11,1468.9960861206055,49.15186285972595,12
gpt,5,job_22b0b3fbe3017e1f78441f884194425d7c8c197fa2794be066aec9b864599ddb,phantom_seed2,11,R1,scored_final_answer,False,0,4,878.5709794424474,22.66642928123474,5
gpt,5,job_7c74ef0855e062221d04050d96f4e71e03848e29a343e8cfe4429459f9b20b51,phantom_seed2,12,R1,scored_final_answer,False,0,4,1192.76493024081,13.706997156143188,5
gpt,5,job_99b0b3f624a615973d1347b24bc0207f175e4aaf504f144a127fe9e6211cb6f1,phantom_seed2,13,R1,scored_final_answer,False,0,15,1803.4590441640466,83.51275062561035,16
gpt,5,job_8f14cc96ffbc81a8734087c968590c5aac90dfab893235ff09ce6916b691b15b,phantom_seed2,14,R1,scored_final_answer,False,0,5,1482.4396085273474,13.976243495941162,6
gpt,5,job_917f582cda1d85e8958d6258e04a55dbccd777b33e8f6046d9074f5b4a90ae71,phantom_seed2,15,R1,scored_final_answer,False,0,8,1796.4110403880477,35.373361587524414,9
gpt,5,job_3a3bf391cea8378a8222969ce8a94f2321e7824e204d66d440da24f6cd2e9205,phantom_seed2,16,R1,scored_final_answer,False,0,6,1502.0345465559512,33.937522411346436,7
gpt,5,job_a5bf7f3db00c47495fe84e8b2d203970cfec148c5bbc8868e8cfdcc5a40f3917,phantom_seed2,17,R1,scored_final_answer,False,0,6,1477.3826610390097,29.220111846923828,7
gpt,5,job_0a17956a6295f0c7698c3f15f56f70f1c7de8a531be669051140068ddff0dbc8,phantom_seed2,18,R1,scored_final_answer,False,0,12,1506.1551276315004,57.58813238143921,13
gpt,5,job_368416515a40443c0e37c8a3c647d8cf72fc1349c38e42bb9b7334658b609e30,phantom_seed2,19,R1,scored_final_answer,False,0,7,1792.1475124638528,28.49349808692932,8
gpt,5,job_d8278e6de44c195c2333a7d8eec5c61d5f41c087fe839c301ac19e0dfe26e6f7,phantom_seed3,0,R1,scored_final_answer,False,0,5,1516.0336370952427,19.37694787979126,6
gpt,5,job_38f2229ef07c67c49cb8118f9df511de8976a30e68c2f2af6b1384ff7e83c033,phantom_seed3,1,R1,scored_final_answer,False,0,3,914.3215529154986,11.252989530563354,4
gpt,5,job_0f230122fe5dcd8366ae51d28aa3fe3c5f3418dddd52bb3726f9abfa6c384ef8,phantom_seed3,2,R1,scored_final_answer,False,0,5,1494.0669453516603,19.083335638046265,6
gpt,5,job_db1de86bfa18ca810877a2b9697e8a955f172b06a5e63c0208d07f59a854512f,phantom_seed3,3,R1,scored_final_answer,False,0,7,1772.511028693989,31.90939974784851,8
gpt,5,job_b8563ba60d70bd96dbc63e77a88fdc06814a26ff83a56b6c8cfa9c915d9e9dc1,phantom_seed3,4,R1,scored_final_answer,False,0,5,1518.6282060481608,27.01849365234375,6
gpt,5,job_b513459a95be8ca7a80544cdfefd0aa5f15b85015616e2e48c14ba03e7ea9325,phantom_seed3,5,R1,scored_final_answer,False,0,6,1452.5944427028298,39.45669507980347,7
gpt,5,job_b1a03bdfc48040e9b3cd52e15f676e882895bf831e4a110af6b07ab490155055,phantom_seed3,6,R1,scored_final_answer,False,0,6,1804.2515752837062,25.211223125457764,7
gpt,5,job_adfd040ff1c2b567913f4e02cbc9af17c0a83087925ad3ebf44e68c20a431566,phantom_seed3,7,R1,scored_final_answer,False,0,5,1481.592618478462,25.624905824661255,6
gpt,5,job_bc76259188da6d590b521aa884359eaf5a9f2515678ae2f073eca860480d7c01,phantom_seed3,8,R1,scored_final_answer,False,0,6,1791.8977317865938,29.04770827293396,7
gpt,5,job_ffb9b5b87c8932ceffd33dcc1fe31f654aa5cdf9505ab88d90621aad2dce9b4a,phantom_seed3,9,R1,scored_final_answer,False,0,5,1506.169666312635,32.150108098983765,6
gpt,5,job_999107e58e8b225a4668f4c1ecaeb3e23a01c8627320e5a2488b055f601a28fa,phantom_seed3,10,R1,scored_final_answer,False,0,3,908.8126324303448,8.748473167419434,4
gpt,5,job_3cbec1b5c75610e4c4911d326b172ae84bd0950e93602236e1986bd27d37e38a,phantom_seed3,11,R1,scored_final_answer,False,0,4,884.9983040522784,11.488110780715942,5
gpt,5,job_b33af7743a3d2143e33033a4a9db0011edd03f78c2d0a960955d2113eae4c779,phantom_seed3,12,R1,scored_final_answer,False,0,8,1195.8221259247512,49.37849402427673,9
gpt,5,job_593681acf7f0fe53fbb6c3d92449137a6fb6e939d2aceca5ce9d71ff41e42afe,phantom_seed3,13,R1,scored_final_answer,False,0,3,914.3215529154986,10.498275518417358,4
gpt,5,job_97df80727cf11e2d6f1d0a6e931efbdad216c901a150fd279091f6f21cbdb1fe,phantom_seed3,14,R1,scored_final_answer,False,0,5,1510.7189071550965,47.2484130859375,6
gpt,5,job_bb41bc300033d30f6e89cc288cad04b74d3fa67ad3b3c83e132efd6e09bc9084,phantom_seed3,15,R1,scored_final_answer,False,0,8,1212.867347272113,42.24155330657959,9
gpt,5,job_32bdda18dfa151ac41c44fc5b604dd4626f4df6285d274b7486d2aace750cfc4,phantom_seed3,16,R1,scored_final_answer,False,0,15,1192.1233408898115,81.92809200286865,16
gpt,5,job_578f9a23e36db9bb931832f1daf68b16166ec0e7cada3d2e2d8b692aa3fdc08e,phantom_seed3,17,R1,scored_final_answer,False,0,10,1738.588174721226,45.92464566230774,11
gpt,5,job_3af1b284c0e8d757cc75feae26e7883beb160946e87b4f74431408dec64681c4,phantom_seed3,18,R1,scored_final_answer,False,0,7,1526.8218735512346,43.21207904815674,8
gpt,15,job_b98e2b42873d7b616843413e6d0e4e06ac4225871aaaf010b39c4f3df038b973,phantom_seed2,0,R1,scored_final_answer,False,0,2,589.5610034931451,14.941262483596802,3
gpt,15,job_83e6a17904ce744680ef6dff4befcf6cef9b168c3c30ffb48877c77271368dac,phantom_seed2,1,R1,scored_final_answer,False,0,10,2660.7505163829774,41.64997100830078,11
gpt,15,job_8b6e8bee086e4ecaa5c1ac68e3a74a3c67ea1e03096fce08352cef3c57515953,phantom_seed2,2,R1,scored_final_answer,False,0,12,3296.216268390417,31.199878454208374,13
gpt,15,job_016ba5b1a35c3c08ce22b900a1d45c09aa07296130aa0d7c8ff1f74972238197,phantom_seed2,3,R1,scored_final_answer,False,0,13,3636.5256559941918,36.527100563049316,14
gpt,15,job_61f9b79695845dd1c68283ba5667245e84fb9ba55959c1dcc1d07b9f870d6fb1,phantom_seed2,4,R1,scored_final_answer,False,0,8,2450.99493233487,21.419448375701904,9
gpt,15,job_fc6ff8613613bef053ee1b6ce9f52086253bf1842226817ae0669b63314d47d3,phantom_seed2,5,R1,scored_final_answer,False,0,12,3606.1920617800206,40.00693321228027,13
gpt,15,job_f4796b206fa6a16e6530e367f0e9917e3f804d51a766408a83b380096339886a,phantom_seed2,6,R1,scored_final_answer,False,0,7,2092.304650330916,24.881195306777954,8
gpt,15,job_26cb5459d42f27c9b934283dd10206a5ad5a7829960da7e2673d07b5b4dbe3c7,phantom_seed2,7,R1,scored_final_answer,False,0,10,2700.9992152638733,35.977007150650024,11
gpt,15,job_2bfd10e5df12c982c32fac4ba58c134dde437bac36bcb7edfa8bfa28e65c9be1,phantom_seed2,8,R1,scored_final_answer,False,0,16,4494.351736865938,57.71962308883667,17
gpt,15,job_66caff0c9a78b059f69753f5fab8b2f5bf56290d4faeb2878e4a5cadb546ded7,phantom_seed2,9,R1,scored_final_answer,False,0,11,3012.672636276111,36.12641000747681,12
gpt,15,job_8de8af2130b35df3a76e1354ac81d8d12f7779aef2251614317fbc0b70db9180,phantom_seed2,10,R1,scored_final_answer,False,0,22,3240.952950567007,88.645090341568,23
gpt,15,job_7cf0e216913331b57e4a29f7f53352c37335f62f5a537ed2d10f8b72b4457435,phantom_seed2,11,R1,scored_final_answer,False,0,6,1167.1741521917284,48.430495262145996,7
gpt,15,job_94d1c9cd6749ad2f657f723a188ccda94d8b78c0bc36886963c75bd9d461d16f,phantom_seed2,12,R1,scored_final_answer,False,0,4,1192.76493024081,13.536004543304443,5
gpt,15,job_49a6a4a9833729bc30b1a44dd7d199f39b4b9440f223a8e32d7f90f9238cbd74,phantom_seed2,13,R1,scored_final_answer,False,0,16,2362.3571204021573,85.25822353363037,17
gpt,15,job_d9a57619810bdbae7924a04f6401956f889e10a6c7646a57d1cdf2478404ac87,phantom_seed2,14,R1,scored_final_answer,False,0,5,1482.4396085273474,22.519670724868774,6
gpt,15,job_d329f6bd66f4092281f2fb61e248a12b9a83af4d07217695abd1867df8bde085,phantom_seed2,15,R1,scored_final_answer,False,0,8,1796.4110403880477,27.16135311126709,9
gpt,15,job_690aaa3c29b1c75c30d971c934cebed54354afed5c43eac27a2f7de67dd074ec,phantom_seed2,16,R1,scored_final_answer,False,0,9,2749.675324037671,31.970474243164062,10
gpt,15,job_c57fdb3fae3922c1ebedeea178601a17d526c6661215e26e7086375a03e1ecfe,phantom_seed2,17,R1,scored_final_answer,False,0,6,1477.3826610390097,53.09305286407471,7
gpt,15,job_17c41b7c7105441c36718fdee9e37cbcc59f8aeadcf8a527dd895e528c0a7551,phantom_seed2,18,R1,scored_final_answer,False,0,14,1832.0189201459289,91.82553482055664,15
gpt,15,job_645894a41442fb187345f7376c2446bac9eb6603ae1e4cbe94d9612537ca0122,phantom_seed2,19,R1,scored_final_answer,False,0,13,3571.405511861667,45.94319152832031,14
gpt,15,job_a08f55cbbbab5d34697b8ff828f3d86d6219db620424c6ddda80f6ed34a064c4,phantom_seed3,0,R1,scored_final_answer,False,0,6,1812.833813559264,22.462977409362793,7
gpt,15,job_6ae257749cd3489cb861e93c0cbdf311a097dc48450c7022512ae8a77fd18835,phantom_seed3,1,R1,scored_final_answer,False,0,4,1217.806619266048,16.22130036354065,5
gpt,15,job_36506f74e39033f751112b11f92b10adf384f96ea06dc074d080b49d1fd52700,phantom_seed3,2,R1,scored_final_answer,False,0,5,1494.0669453516603,19.212839365005493,6
gpt,15,job_38bd169920cf4a06ffe4df259cb36a7180753be1324d0e700102970c448a61a2,phantom_seed3,3,R1,scored_final_answer,False,0,13,3857.6679755188525,34.461305141448975,14
gpt,15,job_7d981284f61ea5edcfbacd0afc445bdbf70ec48cf22bf77ea8a86ddf90169ff6,phantom_seed3,4,R1,scored_final_answer,False,0,6,1827.713236277923,17.79598093032837,7
gpt,15,job_92fd753e83ab9c620ef185fd3a6f890e8450ca2f26e375efd71ee5577dd59182,phantom_seed3,5,R1,scored_final_answer,False,0,9,2635.0921808369458,30.27864146232605,10
gpt,15,job_8d787e1c4c6c7c0989d82808f75d7decdbe052f6e63d3e970bd12e54e3452b2d,phantom_seed3,6,R1,scored_final_answer,False,0,16,4470.227229055017,55.047505140304565,17
gpt,15,job_d4319f6ed655fbd4ffb3d9615745f9fb353d62eabe6848de7ea2423534de99e2,phantom_seed3,7,R1,scored_final_answer,False,0,14,4168.701103068888,44.73248553276062,15
gpt,15,job_6a9a6ab9c054d837072f477e19dc140ed40130b4fded4c586471dae28bccb6cd,phantom_seed3,8,R1,scored_final_answer,False,0,19,4738.843512199819,107.1111409664154,20
gpt,15,job_4d55c5f6be7d4754b3722cf621da4b7abb080ab53de899e0098b4e2b4433bca3,phantom_seed3,9,R1,scored_final_answer,False,0,16,4496.955276634544,60.10169434547424,17
gpt,15,job_7ab13afe61105c0bc0651efd9a6459beeb1add2d06401ab336f5bdcb6238c8ac,phantom_seed3,10,R1,scored_final_answer,False,0,3,908.8126324303448,12.25006365776062,4
gpt,15,job_646f29e2e61d29a0721995e6859044ec4f0e29ecc71ca7cb18b61f62be6592ef,phantom_seed3,11,R1,scored_final_answer,False,0,3,884.9983040522784,10.557638883590698,4
gpt,15,job_c5019b290f3e225db80cbd1c3e4ad9c8fb97baeb1fc65da6444acd21201caf38,phantom_seed3,12,R1,scored_final_answer,False,0,16,2111.4940555393696,85.33814692497253,17
gpt,15,job_eb35a7e9cea4568af37a4b3b72b6b1da4abf88cc5bcb4189d05357bff5dd65f8,phantom_seed3,13,R1,scored_final_answer,False,0,3,914.3215529154986,9.95768690109253,4
gpt,15,job_b4957307096754976f43fc37413e4963285d1ad3f69afdc21c935f1f70094edc,phantom_seed3,14,R1,scored_final_answer,False,0,8,2435.6970451492816,24.39577889442444,9
gpt,15,job_7d33fa7e3c48421a6c0ee2f76d533cc45c4702f4020a86d2e155966ec310e0e7,phantom_seed3,15,R1,scored_final_answer,False,0,16,1786.83124454692,114.33967852592468,17
gpt,15,job_07ebb6ff019d3a555dae951e4979f955a8eb2a904a98e28cf3c048fadaed0741,phantom_seed3,16,R1,scored_final_answer,False,0,30,2999.6161070186645,229.54176926612854,31
gpt,15,job_d9677c791de59876a2fe6892499945dc423b86a7fef75f78cbd7aaec8707256f,phantom_seed3,17,R1,scored_final_answer,False,0,22,3232.6592741068453,111.42124390602112,23
gpt,15,job_3f0c1e1e095c97f97998f17bb039fa74959bdf64f7098c6397a3114b3c7ef74a,phantom_seed3,18,R1,scored_final_answer,False,0,18,4239.408600889146,84.05664920806885,19
gpt,20,job_8e4dcbacf270329d779658064218e2880083dcc2812f2d1e06632372c3a2aedc,phantom_seed2,0,R1,scored_final_answer,False,0,1,289.2492104694247,9.708483219146729,2
gpt,20,job_ff1142ea5d4d5db5ed92c714ed6d3b81fa91b8022cb8c8fb010123aa1523623d,phantom_seed2,1,R1,scored_final_answer,False,0,9,2660.7505163829774,34.18778371810913,10
gpt,20,job_15fe79e3f8ecca047f2e87198e7776032f2b71385814ac39f2dce4b2cf63426d,phantom_seed2,2,R1,scored_final_answer,False,0,11,3296.216268390417,31.478577613830566,12
gpt,20,job_196c3392128622c0aadeb879633d89d0ba02408bcb68b54baf765acdccddbb47,phantom_seed2,3,R1,scored_final_answer,False,0,12,3636.5256559941918,40.840885162353516,13
gpt,20,job_70ee57e264241fad690c03c4b1c4d6ed29263f738f33f22f9ef12eaec51bf800,phantom_seed2,4,R1,scored_final_answer,False,0,8,2450.99493233487,30.34367346763611,9
gpt,20,job_1f84a71414d6705cb3ab33e22cddbc3fc951be8fb50ec09dcd62975fe92e3624,phantom_seed2,5,R1,scored_final_answer,False,0,12,3595.5937948916107,43.64204025268555,13
gpt,20,job_9658cc7c52703fee829b200f002414822850f4652645cf290596eeb827265593,phantom_seed2,6,R1,scored_final_answer,False,0,7,2092.304650330916,23.520591259002686,8
gpt,20,job_fd5732c999f72983409f09bc35baf710abc902bf9572700edb5acd6b3ff9fd59,phantom_seed2,7,R1,scored_final_answer,False,0,10,2427.305805310607,64.80827760696411,11
gpt,20,job_061aed7d4d0c32d218e400c8f9b36cd678163335bc6dd990aeead33bb34a6884,phantom_seed2,8,R1,scored_final_answer,False,0,17,5111.263546878472,67.18458700180054,18
gpt,20,job_3806ad0210f8b75c4e8c62ce4b149fd3400ce461aedd84d966768a83c0f957a6,phantom_seed2,9,R1,scored_final_answer,False,0,11,3011.358423018828,44.46456241607666,12
gpt,20,job_d9fd6e970383b5f9b13aac833f11e6808f25e2004793b2e3798d749caf29aea6,phantom_seed2,10,R1,scored_final_answer,False,0,13,2353.3049571420997,50.05862545967102,14
gpt,20,job_a9be7f87293fe904435676dba0011866808823440a9dc58f59cec1bdec048e9e,phantom_seed2,11,R1,scored_final_answer,False,0,6,878.5709794424474,49.26785397529602,7
gpt,20,job_0ecb956ecf755ed39e95ac78ca35707e641364b8468a8c044c27e896cd1d3fff,phantom_seed2,12,R1,scored_final_answer,False,0,4,1192.76493024081,10.882449388504028,5
gpt,20,job_da113b5d76a0ce0bd5ac9ea16df430d0bdef1346e2d016137d066bbb5cb72b45,phantom_seed2,13,R1,scored_final_answer,False,0,26,3295.1961632445455,186.63397550582886,27
gpt,20,job_b9342783e11f054e85def60f1aa45c98f537ede2d05f6f83974656c96572381d,phantom_seed2,14,R1,scored_final_answer,False,0,5,1482.4396085273474,17.014813899993896,6
gpt,20,job_51c7c2bb3b2666c9d5c95bf6a0c8ff1f6816f6d33784cb7d01a606a9c2abfa2e,phantom_seed2,15,R1,scored_final_answer,False,0,8,1796.4110403880477,36.02010726928711,9
gpt,20,job_16706354d4092c844bc9dbc9bdabde67127ed88f89e9166b63eccdf6198ce1c3,phantom_seed2,16,R1,scored_final_answer,False,0,6,1846.9011385086924,22.49509906768799,7
gpt,20,job_722867d15d6a56277775f66e7ced36ae8ce033a3f07359e31a981ea1f6c304a4,phantom_seed2,17,R1,scored_final_answer,False,0,6,1177.0561488065869,62.81591582298279,7
gpt,20,job_a1f0b2a96279d36175e1fefa63473b29b896f06e2a19a8936d178830c0677de4,phantom_seed2,18,R1,scored_final_answer,False,0,19,1823.183684302494,151.5417013168335,20
gpt,20,job_d2605e62c3dcc2fa587c21fd2c3b5b47753a4289ac3f7218889cf0256e8c7321,phantom_seed2,19,R1,scored_final_answer,False,0,13,3571.405511861667,58.48189616203308,14
gpt,20,job_a47b08ebb8a10c5b83a2cf8b272f930ca7888fe8d57b4a87e125deae957df8c9,phantom_seed3,0,R1,scored_final_answer,False,0,6,1812.833813559264,22.858182430267334,7
gpt,20,job_17bbbd1e484ffce4dceba4259b4357c8a01cdf65e17ede0c4aa9c3c5770b97c2,phantom_seed3,1,R1,scored_final_answer,False,0,4,1217.806619266048,16.841548919677734,5
gpt,20,job_4bb16cc03361949e3a94fc6dd0224a5b8932d9caec1f89c3190a51d6db04b8f2,phantom_seed3,2,R1,scored_final_answer,False,0,7,1494.0669453516603,30.015033721923828,8
gpt,20,job_de66864d93fd677257db432582bf615d6be1dcc414dcb03489c9b9ce47fdc619,phantom_seed3,3,R1,scored_final_answer,False,0,13,3857.6679755188525,61.51485538482666,14
gpt,20,job_f3c770bf296aff4bcba4d1c93dd6b4590a8f67ceb6f9e62a5f8bb2c320ac96f1,phantom_seed3,4,R1,scored_final_answer,False,0,9,2735.1452893856913,38.015974283218384,10
gpt,20,job_fda8a7d1a63c61ff4e7914c70b34231126097374dabf79ee668b725df8b6ba73,phantom_seed3,5,R1,scored_final_answer,False,0,9,2635.0921808369458,34.26049089431763,10
