conclusion,historical,new,unit,status,evidence,old_identity,new_identity
POOLACT gpt-5.6-sol:restricted_search:cost_tight gain over naive,2.735042735042736,2.735042735042736,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:restricted_search:cost_tight gain over cached,1.60950160950161,1.60950160950161,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:tuning:cost_moderate gain over naive,-0.1389001198973432,-0.1389001198973432,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:tuning:cost_moderate gain over cached,-0.2443820053655088,-0.2443820053655088,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:tuning:cost_tight gain over naive,0.6296962866675102,0.6296962866675102,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT gpt-5.6-sol:tuning:cost_tight gain over cached,1.2212492225223741,1.2212492225223741,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:evidence_audit:cost_moderate gain over naive,19.90950226244344,23.529411764705884,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:evidence_audit:cost_moderate gain over cached,17.194570135746602,18.09954751131221,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:evidence_audit:cost_tight gain over naive,7.692307692307686,8.14479638009049,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:evidence_audit:cost_tight gain over cached,8.14479638009049,8.14479638009049,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:restricted_search:cost_moderate gain over naive,2.1489621489621555,2.1489621489621555,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:restricted_search:cost_moderate gain over cached,2.5374625374625452,2.5374625374625452,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:restricted_search:cost_tight gain over naive,9.145299145299145,9.145299145299145,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:restricted_search:cost_tight gain over cached,11.709401709401707,11.709401709401707,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:tuning:cost_moderate gain over naive,0.5174622561103348,0.5174622561103348,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:tuning:cost_moderate gain over cached,0.595188348971206,0.595188348971206,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:tuning:cost_tight gain over naive,1.8745056586944173,1.8745056586944173,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT kimi-k3:tuning:cost_tight gain over cached,2.570297375882973,2.570297375882973,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:evidence_audit:cost_moderate gain over naive,24.886877828054295,24.886877828054295,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:evidence_audit:cost_moderate gain over cached,19.00452488687783,19.004524886877817,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:evidence_audit:cost_tight gain over naive,7.6923076923077005,8.597285067873301,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:evidence_audit:cost_tight gain over cached,3.619909502262452,4.072398190045249,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:restricted_search:cost_moderate gain over naive,2.271062271062277,2.271062271062263,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:restricted_search:cost_moderate gain over cached,2.3117623117623225,2.3117623117623083,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:restricted_search:cost_tight gain over naive,2.3931623931623918,3.418803418803421,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:restricted_search:cost_tight gain over cached,-2.6251526251526265,-1.5995115995115974,pp or Gap points,修改,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:tuning:cost_moderate gain over naive,1.9465326444343702,1.946532644434356,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:tuning:cost_moderate gain over cached,1.1461509799736689,1.1461509799736547,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:tuning:cost_tight gain over naive,5.6495828536412915,5.6495828536412915,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
POOLACT qwen3.8-2.4t-a95b-fp8:tuning:cost_tight gain over cached,5.513070564094917,5.513070564094917,pp or Gap points,保持,poolact/poolact_primary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free label_acc,84.43941679235797,87.78280542986425,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free evidence_acc,80.29160382101558,83.71040723981899,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free joint_acc,77.97888386123681,81.32227249874309,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free nonempty_label_correct,82.6190405036559,85.86486874948413,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free nonempty_evidence_exact,78.18968780507241,81.60849122387583,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free nonempty_joint_correct,72.426526464988,75.67235471081625,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free nonempty_missing_any,20.76264191648807,17.34383849768465,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_free nonempty_extra_any,3.7333535410458487,3.7333535410458487,0-100,保持,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate label_acc,84.23831070889895,86.47561588738058,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate evidence_acc,69.8340874811463,71.56862745098039,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate joint_acc,67.84816490698844,69.53242835595776,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate nonempty_label_correct,83.62958266804421,85.99057637519176,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate nonempty_evidence_exact,62.42770762001532,64.03496788112173,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate nonempty_joint_correct,56.85873955104724,58.32863717479102,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate nonempty_missing_any,34.71014028706336,33.00660877583954,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_moderate nonempty_extra_any,8.230174384020538,8.616668232052847,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
