model,budget,gold_subset,metric,old,new,delta
ALL,cost_tight,empty,joint_correct,1289,1298,9
ALL,cost_tight,empty,label_correct,1289,1298,9
ALL,cost_tight,empty,queried,284,283,-1
ALL,cost_tight,empty,queried_first_wrong,276,275,-1
ALL,cost_tight,empty,wrong_first_final_exact,246,248,2
ALL,cost_tight,nonempty,evidence_exact,925,932,7
ALL,cost_tight,nonempty,extra_any,297,299,2
ALL,cost_tight,nonempty,joint_correct,864,870,6
ALL,cost_tight,nonempty,label_correct,1850,1869,19
ALL,cost_tight,nonempty,label_correct_wrong_evidence,986,999,13
ALL,cost_tight,nonempty,missing_any,1131,1123,-8
ALL,cost_tight,nonempty,queried,161,162,1
ALL,cost_tight,nonempty,queried_first_wrong,102,103,1
ALL,cost_tight,nonempty,wrong_first_final_exact,57,58,1
glm-5.3,cost_free,all,evidence_exact,454,573,119
glm-5.3,cost_free,all,exact_seen_final_wrong,178,59,-119
glm-5.3,cost_free,all,joint_correct,443,560,117
glm-5.3,cost_free,all,label_correct,459,576,117
glm-5.3,cost_free,all,missing_any,127,45,-82
glm-5.3,cost_free,all,wrong_first_final_exact,184,231,47
glm-5.3,cost_free,empty,evidence_exact,224,261,37
glm-5.3,cost_free,empty,exact_seen_final_wrong,71,34,-37
glm-5.3,cost_free,empty,joint_correct,224,261,37
glm-5.3,cost_free,empty,label_correct,224,261,37
glm-5.3,cost_free,empty,wrong_first_final_exact,86,102,16
glm-5.3,cost_free,nonempty,evidence_exact,230,312,82
glm-5.3,cost_free,nonempty,exact_seen_final_wrong,107,25,-82
glm-5.3,cost_free,nonempty,joint_correct,219,299,80
glm-5.3,cost_free,nonempty,label_correct,235,315,80
glm-5.3,cost_free,nonempty,missing_any,127,45,-82
glm-5.3,cost_free,nonempty,wrong_first_final_exact,98,129,31
glm-5.3,cost_moderate,all,evidence_exact,450,498,48
glm-5.3,cost_moderate,all,exact_seen_final_wrong,11,8,-3
glm-5.3,cost_moderate,all,extra_any,46,58,12
glm-5.3,cost_moderate,all,joint_correct,441,488,47
glm-5.3,cost_moderate,all,label_correct,504,565,61
glm-5.3,cost_moderate,all,label_correct_wrong_evidence,63,77,14
glm-5.3,cost_moderate,all,missing_any,132,106,-26
glm-5.3,cost_moderate,all,wrong_first_final_exact,157,174,17
glm-5.3,cost_moderate,empty,evidence_exact,228,252,24
glm-5.3,cost_moderate,empty,extra_any,19,23,4
glm-5.3,cost_moderate,empty,joint_correct,228,252,24
glm-5.3,cost_moderate,empty,label_correct,228,252,24
glm-5.3,cost_moderate,empty,wrong_first_final_exact,91,100,9
glm-5.3,cost_moderate,nonempty,evidence_exact,222,246,24
glm-5.3,cost_moderate,nonempty,exact_seen_final_wrong,10,7,-3
glm-5.3,cost_moderate,nonempty,extra_any,27,35,8
glm-5.3,cost_moderate,nonempty,joint_correct,213,236,23
glm-5.3,cost_moderate,nonempty,label_correct,276,313,37
glm-5.3,cost_moderate,nonempty,label_correct_wrong_evidence,63,77,14
glm-5.3,cost_moderate,nonempty,missing_any,132,106,-26
glm-5.3,cost_moderate,nonempty,wrong_first_final_exact,66,74,8
glm-5.3,cost_tight,all,evidence_exact,333,342,9
glm-5.3,cost_tight,all,extra_any,90,93,3
glm-5.3,cost_tight,all,joint_correct,324,333,9
glm-5.3,cost_tight,all,label_correct,488,503,15
glm-5.3,cost_tight,all,label_correct_wrong_evidence,164,170,6
glm-5.3,cost_tight,all,missing_any,209,205,-4
glm-5.3,cost_tight,all,wrong_first_final_exact,64,67,3
glm-5.3,cost_tight,empty,evidence_exact,194,199,5
glm-5.3,cost_tight,empty,extra_any,50,52,2
glm-5.3,cost_tight,empty,joint_correct,194,199,5
glm-5.3,cost_tight,empty,label_correct,194,199,5
glm-5.3,cost_tight,empty,wrong_first_final_exact,52,54,2
glm-5.3,cost_tight,nonempty,evidence_exact,139,143,4
glm-5.3,cost_tight,nonempty,extra_any,40,41,1
glm-5.3,cost_tight,nonempty,joint_correct,130,134,4
glm-5.3,cost_tight,nonempty,label_correct,294,304,10
glm-5.3,cost_tight,nonempty,label_correct_wrong_evidence,164,170,6
glm-5.3,cost_tight,nonempty,missing_any,209,205,-4
glm-5.3,cost_tight,nonempty,wrong_first_final_exact,12,13,1
kimi-k3,cost_free,all,evidence_exact,593,610,17
kimi-k3,cost_free,all,exact_seen_final_wrong,18,1,-17
kimi-k3,cost_free,all,joint_correct,578,594,16
kimi-k3,cost_free,all,label_correct,614,630,16
kimi-k3,cost_free,all,missing_any,40,36,-4
kimi-k3,cost_free,all,wrong_first_final_exact,265,269,4
kimi-k3,cost_free,empty,evidence_exact,274,287,13
kimi-k3,cost_free,empty,exact_seen_final_wrong,13,0,-13
kimi-k3,cost_free,empty,joint_correct,272,285,13
kimi-k3,cost_free,empty,label_correct,272,285,13
kimi-k3,cost_free,empty,wrong_first_final_exact,112,115,3
kimi-k3,cost_free,nonempty,evidence_exact,319,323,4
kimi-k3,cost_free,nonempty,exact_seen_final_wrong,5,1,-4
kimi-k3,cost_free,nonempty,joint_correct,306,309,3
kimi-k3,cost_free,nonempty,label_correct,342,345,3
kimi-k3,cost_free,nonempty,missing_any,40,36,-4
kimi-k3,cost_free,nonempty,wrong_first_final_exact,153,154,1
kimi-k3,cost_moderate,all,evidence_exact,456,477,21
kimi-k3,cost_moderate,all,exact_seen_final_wrong,10,0,-10
kimi-k3,cost_moderate,all,extra_any,69,77,8
kimi-k3,cost_moderate,all,joint_correct,442,462,20
kimi-k3,cost_moderate,all,label_correct,566,594,28
kimi-k3,cost_moderate,all,label_correct_wrong_evidence,124,132,8
kimi-k3,cost_moderate,all,missing_any,146,129,-17
kimi-k3,cost_moderate,all,wrong_first_final_exact,128,135,7
kimi-k3,cost_moderate,empty,evidence_exact,253,258,5
kimi-k3,cost_moderate,empty,exact_seen_final_wrong,3,0,-3
kimi-k3,cost_moderate,empty,extra_any,40,45,5
kimi-k3,cost_moderate,empty,joint_correct,253,258,5
kimi-k3,cost_moderate,empty,label_correct,253,258,5
kimi-k3,cost_moderate,empty,wrong_first_final_exact,90,92,2
kimi-k3,cost_moderate,nonempty,evidence_exact,203,219,16
kimi-k3,cost_moderate,nonempty,exact_seen_final_wrong,7,0,-7
kimi-k3,cost_moderate,nonempty,extra_any,29,32,3
kimi-k3,cost_moderate,nonempty,joint_correct,189,204,15
kimi-k3,cost_moderate,nonempty,label_correct,313,336,23
kimi-k3,cost_moderate,nonempty,label_correct_wrong_evidence,124,132,8
kimi-k3,cost_moderate,nonempty,missing_any,146,129,-17
kimi-k3,cost_moderate,nonempty,wrong_first_final_exact,38,43,5
kimi-k3,cost_tight,all,evidence_exact,342,349,7
kimi-k3,cost_tight,all,exact_seen_final_wrong,2,1,-1
kimi-k3,cost_tight,all,extra_any,139,142,3
kimi-k3,cost_tight,all,joint_correct,334,340,6
kimi-k3,cost_tight,all,label_correct,527,540,13
kimi-k3,cost_tight,all,label_correct_wrong_evidence,193,200,7
kimi-k3,cost_tight,all,missing_any,203,199,-4
kimi-k3,cost_tight,all,wrong_first_final_exact,44,45,1
kimi-k3,cost_tight,empty,evidence_exact,204,208,4
kimi-k3,cost_tight,empty,exact_seen_final_wrong,2,1,-1
kimi-k3,cost_tight,empty,extra_any,81,82,1
kimi-k3,cost_tight,empty,joint_correct,204,208,4
kimi-k3,cost_tight,empty,label_correct,204,208,4
kimi-k3,cost_tight,empty,wrong_first_final_exact,38,39,1
kimi-k3,cost_tight,nonempty,evidence_exact,138,141,3
kimi-k3,cost_tight,nonempty,extra_any,58,60,2
kimi-k3,cost_tight,nonempty,joint_correct,130,132,2
kimi-k3,cost_tight,nonempty,label_correct,323,332,9
kimi-k3,cost_tight,nonempty,label_correct_wrong_evidence,193,200,7
kimi-k3,cost_tight,nonempty,missing_any,203,199,-4
qwen3.8-2.4t-a95b-fp8,cost_free,all,queried_first_correct,282,280,-2
qwen3.8-2.4t-a95b-fp8,cost_free,all,queried_first_wrong,289,291,2
qwen3.8-2.4t-a95b-fp8,cost_free,all,revised_after_wrong,277,279,2
qwen3.8-2.4t-a95b-fp8,cost_free,all,wrong_first_final_exact,281,283,2
qwen3.8-2.4t-a95b-fp8,cost_free,empty,queried_first_correct,132,130,-2
qwen3.8-2.4t-a95b-fp8,cost_free,empty,queried_first_wrong,134,136,2
qwen3.8-2.4t-a95b-fp8,cost_free,empty,revised_after_wrong,127,129,2
qwen3.8-2.4t-a95b-fp8,cost_free,empty,wrong_first_final_exact,130,132,2
qwen3.8-2.4t-a95b-fp8,cost_tight,all,extra_any,144,143,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,all,wrong_first_final_exact,53,52,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,empty,queried,45,44,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,empty,queried_first_wrong,45,44,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,empty,wrong_first_final_exact,44,43,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,nonempty,extra_any,59,58,-1
qwen3.8-2.4t-a95b-fp8,cost_tight,nonempty,queried,22,23,1
qwen3.8-2.4t-a95b-fp8,cost_tight,nonempty,queried_first_wrong,16,17,1
